"CodMat","CodFam","Descri","UniMat","CosMat","Desper","Provee","Consum","FecMat","Importado"
"ACA001","02","MASTIQUE PARED / PASTA PROFESIONAL","gln","30,85","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA002","02","MASTIQUE PASTA PROFESIONAL P/PARED-TABIQ","gln","16,5","5","EPA CARACAS - LOS RUICES","","4/5/2026 12:00:00 a. m.","False"
"ACA003","02","LAMINA DE YESO DRY WALL 4' X 8'  E=1/2"" ","lam","22,02","5","FERREPLUS","","4/5/2026 12:00:00 a. m.","False"
"ACA004","02","LAMINA DE YESO P/CIELO RASO 4' X 8' X3/8","lam","21,68","5","FERREPLUS","","4/5/2026 12:00:00 a. m.","False"
"ACA005","02","LAMINA DE YESO DRY WALL 4' X 8'  X 5/8"" ","lam","42,8","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA006","15","EMPATES DE PERFILES DE ALUMINIO","pza","1,61","3","","","4/5/2026 12:00:00 a. m.","False"
"ACA007","00","LIJAS PARA CONCRETO (DISCOS)","jgo","5,97","5","CA VENEZOLANA DE PINTURAS/PINTACASA","","4/5/2026 12:00:00 a. m.","False"
"ACA008","02","LAMINA DE YESO PINTADA COLOR ROJO TEJA E","m2","12,11","2","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA009","01","ELEMENTOS DE FIJACION","und","0,11","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA010","00","MATERIAL DE FIJACION Y REMATE","sg","0,42","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA011","00","MATERIALES PARA INSTALACIONES","sg","1,08","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA012","00","MATERIALES VARIOS PARA INSTALACION","sg","0,11","2","MADERAS MATO GROSSO C.A","","4/5/2026 12:00:00 a. m.","False"
"ACA013","15","MATERIALES PARA MONTAJE DE CHAPAS METALI","gpo","0,32","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA014","02","LAMINA DE YESO 4'  X 8'  X 1/2"" (1,2 X 2","m2","7,68","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA015","00","RAMPLUG PLASTICO 1/4"" COLOR VERDE","pza","0,11","2","","","4/5/2026 12:00:00 a. m.","False"
"ACA016","00","SILICON Y ADHESIVO DOBLE FAZ PARA COLOCA","und","5,54","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA017","00","SOPORTES PARA FIJACION A PARED","und","0,26","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA018","02","LAMINA DE YESO/DRY WALL 4' X 10' X 5/8"" ","lam","49,25","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA019","02","PASTA PROFESIONAL/MASTIQUE NACIONAL 5 GA","cuñ","57,87","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA020","00","LAMINA FIBRA MINERAL 4' X 2' X 3/4"" (1,2","lam","13,22","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA021","15","DISCO DE ESMERIL PARA CORTE DE CONCRETO","pza","12,13","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA022","02","LAMINA DE YESO P/DRY WALL 4' X10' X1/2"" ","lam","31,76","5","FERREPLUS","","4/5/2026 12:00:00 a. m.","False"
"ACA023","15","DISCO PARA ESMERIL DE 7""","pza","14,31","2","","","4/5/2026 12:00:00 a. m.","False"
"ACA024","14","CONECTOR BIMETALICO KSU-31 1/0 A 350 MCM","pza","38,58","2","","","4/5/2026 12:00:00 a. m.","False"
"ACA025","15","MARCO DE HIERRO P /PUERTA 0.70 X 2.10 MT","und","77,09","1","EPA CARACAS - LOS RUICES","","4/5/2026 12:00:00 a. m.","False"
"ACA026","15","MARCO DE HIERRO DERECHO P/PUERTA 0.70 X ","und","69,44","1","","","4/5/2026 12:00:00 a. m.","False"
"ACA027","15","MARCO DE HIERRO DERECHO P/PUERTA 0.80 X ","und","83,73","1","PROARCA C.A. PRODUCTOS ARQUITECT.","","4/5/2026 12:00:00 a. m.","False"
"ACA028","15","MARCO DE HIERRO P /PUERTA 0.80 X 2.10 MT","und","87,14","1","EPA CARACAS - LOS RUICES","","4/5/2026 12:00:00 a. m.","False"
"ACA029","00","MARCO DE MADERA P/PUERTA 0.80 X 2.10 MT","und","96,98","1","","","4/5/2026 12:00:00 a. m.","False"
"ACA030","15","MARCO HIERRO P/PUERTA 2.10 X 0.90M E= 1,","und","85,87","1","EPA CARACAS - LOS RUICES","","4/5/2026 12:00:00 a. m.","False"
"ACA031","00","MARCO DE MADERA P/PUERTA 0.90 X 2.10 MT","und","109,09","2","","","4/5/2026 12:00:00 a. m.","False"
"ACA032","15","MARCO DE HIERRO DERECHO P/PUERTA 0.90 X ","und","88,13","1","","","4/5/2026 12:00:00 a. m.","False"
"ACA033","15","PARAL STUD METALICO 1 5/8"" X 2,44 M- 8' ","pza","6,07","5","EPA CARACAS - Los Próceres","","4/5/2026 12:00:00 a. m.","False"
"ACA034","15","PARAL STUD METALICO 1 5/8"" X 3,05 M-10' ","pza","6,84","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA035","15","PARAL STUD METALICO 2 1/2"" X 2,44 M-8' D","pza","5,86","5","EPA CARACAS - Los Próceres","","4/5/2026 12:00:00 a. m.","False"
"ACA036","15","PARAL STUD METALICO 2 1/2"" X 3,05 M DRY ","pza","6,62","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA037","15","PARAL STUD METALICO 3 5/8"" X 2,44 M-8' D","pza","8,81","5","EPA CARACAS - Los Próceres","","4/5/2026 12:00:00 a. m.","False"
"ACA038","15","PARAL STUD METALICO 3 5/8"" X 3,05 M-10' ","pza","9,88","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA039","15","RIEL/TRACK CANAL METALICO 1 5/8"" X 3,05 ","pza","5,21","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA040","15","RIEL/TRACK CANAL METALICO 2 1/2"" X 3,05 ","pza","6,51","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA041","15","RIEL/TRACK CANAL METALICO 3 5/8"" X 3,05 ","pza","6,39","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA042","15","RIEL/TRACK CANAL METALICO 2 1/2"" X 3.05 ","pza","6,62","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA043","15","ESQUINERO METALICO 1/2""X1 1/8"" X 2,44M-D","pza","4,41","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA044","00","ESQUINERO RIGIDO 1 1/4"" X 2.44 M IMPORTA","pza","2,39","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA045","00","ESQUINERO RIGIDO 1/2"" X1 1/4"" X 10' 3,05","pza","3,65","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA046","00","ESQUINERO PLASTICO FLEXIBLE 8' /2,44 MT","pza","4,75","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA047","01","PERFIL/CANAL OMEGA 7/8""-22,2 MM X 3.05 M","pza","5,54","5","EPA SUPER-FERRETERIA","","4/5/2026 12:00:00 a. m.","False"
"ACA048","00","SILICON TRANSPARENTE TUBO 300 ML/10ONZ","und","8,81","5","FERRETERIA DEL ESTE S.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA049","00","JUNTA DE DILATACION METALICA 1 X 3.00","pza","51,84","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA050","00","MOLDURA EN U P/DECORACION 1/2"" X 2,44 MT","pza","3,07","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA051","00","MOLDURA EN U P/DECORACION 1/2"" X 3,05 MT","pza","3,55","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA052","00","CINTA CARTON IMPORTADA 500'-152 M P/DRY ","rll","8,81","5","DISTRIBUIDORA TERMO SPAM C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA053","00","CINTA CARTON IMPORTADA 250' 126 M P/DRY ","rll","7,69","5","DISTRIBUIDORA TERMO SPAM C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA054","00","DURABOND 90 P/PARED-JUNTAS SACO 25 LBS","sco","13,22","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA055","15","MARCO DE ALUMINIO P/VENTANA","m2","55,1","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA056","02","MASTIQUE NACIONAL (PASTA PROFESIONAL) 5 ","cuñ","66,69","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA057","02","MASTIQUE IMPORTADO (PASTA PROFESIONAL) 5","cuñ","83,74","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA058","02","LAMINA FIBROCEMENTO DURAROCK 4' X 8' X 1","lam","68,08","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA059","02","LAMINA DE YESO SPLASH GRUESO 2'X4' 1.2MX","lam","6,47","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA060","02","LAMINA DE YESO SIN ACABADO 2' X 4' X 1/4","lam","4,38","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA061","02","LAMINA DE YESO LISA 2' X 4' X 1/4"" PINTU","lam","8,81","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA062","02","LAMINA DE YESO TEXTURIZADO 2' X 4' X 1/4","lam","10,79","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA063","02","LAMINA DE YESO TEXTURIZADO 2,4 X 1,2 M X","lam","36,34","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA064","02","LAMINA DE YESO VINYL CUADRITO 2' X 4' X ","lam","9,89","5","CQ DRY WALL C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA065","02","LAMINA DE YESO FISURADO 2' X 4' 1/4""","lam","4,38","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA066","02","LAMINA DE YESO VINYL 2' X 4' X 1/4"" (0.6","lam","11,03","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA067","02","LAMINA DE YESO SIN ACABADO 2' X 4' X 3/8","lam","5,4","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA068","02","PLAFOND AURATONE OMNI 2' X2' MODELO 90","lam","3,28","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA069","02","PLAFOND AURATONE 562 FISSURED 2' X 4' X ","lam","6,62","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA070","02","PLAFOND AURATONE 345 OMNI FISSURED 2' X ","lam","8,22","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA071","02","PLAFOND AURATONE 56705 NAT FISSURED 2' X","lam","8,22","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA072","02","PLAFOND AURATONE 809 SANDRIFT  2' X 2' X","lam","4,41","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA073","02","PLAFOND AURATONE MILENIA CHEX  2' X 2' X","lam","5,54","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA074","02","PLAFOND AURATONE 990 OMNI 2' X 4' X 5/8""","lam","8,22","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA075","15","DISCO ABRASIVO PARA ESMERIL 7""","pza","16,07","5","FERRETERIA DEL ESTE S.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA076","00","LAMINA FIBRA MINERAL 2' X 2' X 3/4""","lam","8,17","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA077","15","PERFIL/ANGULO DE ALUMINIO ""U"" 1/2 X 1/2""","m","3,28","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA078","00","LAMINA DE FORMICA LISA","lam","38,58","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA079","00","LAMINA FORMICA ACABADO ALUMINIO 1,22X2,4","lam","68,32","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA080","00","LAMINA DE FORMICA LISA 1,22 X 2.44 CLARA","lam","49,54","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA081","00","LAMINA DE FORMICA COLOR 1,22 X 2,44","lam","44,07","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA082","00","LAMINA DE FORMICA COLOR GRUESA 1,22 X 2,","lam","58,41","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA083","05","PLYCEM GEL O SIM. + GUANTES DESEHCABLES","und","13,43","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA084","05","CINTA P/PLYCEM/FIBROCEMENTO 150 PIES IMP","rll","9,88","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA085","05","LAMINA PLYCEM FIBROCEMENTO C/VINYL 0,6X1","lam","8,71","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA086","05","LAMINA PLYCEM 4' X8'X20MM-1,22X2,44M FIB","lam","107,91","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA087","05","LAMINA PLYCEM 3,05 X1,22MX17MM FIBROCEME","lam","122,04","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA088","05","LAMINA PLYCEM 4' X 8' X 6MM FIBROCEMENTO","lam","42,26","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA089","05","LAMINA PLYCEM 4' X 10' X 20MM FIBROCEM O","lam","137,12","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA090","05","LAMINA PLYCEM 4' X 8' X 17 MM FIBROCEM O","lam","93,88","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA091","05","LAMINA PLYCEM 2' X 2' X 6 MM FIBROCEMENT","lam","4,24","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA092","05","LAMINA PLYCEM PINTADA 2' X 4'  FIBROCEME","lam","17,44","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA093","05","LAMINA PLYCEM  2' X 4'  FIBROCEMENTO 6 M","lam","9,87","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA094","05","LAMINA PLYCEM TEXTURIZADO 2' X4'  FIBROC","lam","12,04","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA095","05","LAMINA PLYCEM 4' X 8' X 8MM  FIBROCEMENT","lam","53,61","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA096","05","LAMINA PLYCEM 4' X 8' X 10MM FIBROCEMENT","lam","66,98","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA097","05","LAMINA PLYCEM 4' X 8' X 11MM  FIBROCEMEN","lam","87,31","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA098","05","LAMINA PLYCEM 4' X10' X11MM FIBROCEMENTO","lam","104,64","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA099","00","BOCA DE VISITA PLASTICA 0,36 X 0,36 M 14","pza","26,45","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA100","16","SEPARADOR P/BLOQUE/LADRILLO DE VIDRIO","pza","0,16","2","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA101","00","BOCA DE VISITA PLASTICA 0,36 X 0,75 M 14","pza","48,45","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA102","15","MARCO P/PUERTA ALUMINIO DERECHO 0.80 MT","pza","96,98","2","","","4/5/2026 12:00:00 a. m.","False"
"ACA103","07","LADRILLO ARCILLA MACIZO DE ARCILLA 6 X 1","pza","1,29","5","EPA SUPER-FERRETERIA","","4/5/2026 12:00:00 a. m.","False"
"ACA104","15","PARAL STUD METALICO 1 5/8"" X2.44-8' CAL2","pza","5,86","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA105","15","RIEL/TRACK CANAL METALICO 1 5/8"" X 3.05 ","pza","4,3","3","","","4/5/2026 12:00:00 a. m.","False"
"ACA106","00","LAMINA FORMICA ACABADO ALUMINIO O SIM 1,","lam","72,76","5","ASERRADERO REAL C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA107","15","MARCO P/PUERTA ALUMINIO IZQUIERDO 0.80","pza","60,63","2","","","4/5/2026 12:00:00 a. m.","False"
"ACA108","15","MARCO P/PUERTA  ALUMINIO DERECHO 0.90","pza","98,09","2","","","4/5/2026 12:00:00 a. m.","False"
"ACA109","15","MARCO P/PUERTA ALUMINIO IZQUIERDO 0.90","pza","59,52","2","","","4/5/2026 12:00:00 a. m.","False"
"ACA110","15","MARCO DE HIERRO DERECHO P/PUERTA 0.70 X ","und","86,03","2","","","4/5/2026 12:00:00 a. m.","False"
"ACA111","15","MARCO DE HIERRO DERECHO P/PUERTA 0.80 X ","und","87","2","DISTRIBUIDORA TERMO SPAM C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA112","00","MARCO DE MADERA  P/PUERTA 0.80 X 2.10 MT","und","95,87","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA113","00","RAMPLUG PLASTICO 1/2"" COLOR GRIS","pza","0,11","2","","","4/5/2026 12:00:00 a. m.","False"
"ACA114","15","MARCO DE HIERRO DERECHO P/PUERTA 0.90 X ","und","108,05","2","","","4/5/2026 12:00:00 a. m.","False"
"ACA115","00","REBORDE PLASTICO 1/2"" X 8'","pza","4,41","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA116","00","REBORDE PLASTICO 3/8"" X 8'","pza","4,08","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA117","00","ESQUINERO PLASTICO FLEXIBLE 10' / 3,05 M","pza","6,62","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA118","00","REBORDE 1/2"" X  1/2""  2.44 METALICO P/DR","pza","5,54","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA119","00","ACABADOS Y FRISO","m2","5,54","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA120","15","CINTA PAPEL REFORZADA IMP. 100'/30M DRY ","rll","13,11","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA121","01","TORNILLO P/TABIQUES DRY WALL 7 X 7/16"" R","pza","0,06","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA122","01","TORNILLO P/TABIQUES DRYWALL 6 X 1""","pza","0,03","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA123","01","TORNILLO P/TABIQUES DRY WALL 6 X 1 5/8""","pza","0,11","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA124","00","PUNTILLAS DE ACERO","kgf","5,97","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA125","00","ELEMENTOS - MATERIALES DE SUSPENSION","und","0,53","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA126","13","MATERIAL DE FIJACION","sg","0,21","0","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA127","00","MATERIALES PARA ACABADO Y REMATE","sg","1,08","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA128","16","LAMINA FIBRA VIDRIO PLAFOND 1,20 X 0,60M","lam","7,69","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA129","00","CINTA DE PAPEL 250'/76M DRY WALL NACIONA","rll","7,69","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA130","00","LAMINA DE FORMICA BLANCO BRILLANTE 1,22 ","lam","41,85","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA131","00","LAMINA DE FORMICA MATE 1,22 X 2,44","lam","38,58","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA132","00","LAMINA DE FORMICA BLANCO MATE 1.22 X 2,4","lam","40,77","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA133","02","PASTA PROFESIONAL / MASTIQUE","gln","16,5","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA134","02","MATERIALES PARA FRISO (INT- EXT)","m2","0,32","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA135","13","BASE DE BLOQUE PARA LAVAMANOS","sg","132,23","0","EPA SUPER-FERRETERIA","","4/5/2026 12:00:00 a. m.","False"
"ACA136","00","CINTA DE CARTON 500'/152M DRY WALL NACIO","rll","8,58","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA137","16","CINTA FIBRA DE VIDRIO E=2"" PARA TABIQUES","rll","44,07","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA138","15","RAMPLUG HIERRO 5/16"" TIPO MARIPOSA","pza","2,72","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA139","15","RAMPLUG HIERRO 3/8"" DE EXPANSION","pza","3,28","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA140","15","DISCO PARA ESMERIL 4 1/2"" X 1/4","pza","7,38","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA141","15","DISCO DE ESMERIL PARA CORTAR CONCRETO","pza","13,22","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA142","00","RIEL GUIA DE ACERO 3,52 KG/M","m","6,62","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA143","00","MATERIALES PARA FIJACION","sg","0,53","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA144","15","ESQUINERO METALICO 1 1/4"" X 3,05 M - DRY","pza","3,28","3","","","4/5/2026 12:00:00 a. m.","False"
"ACA145","00","ACABADOS","m2","11,02","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA146","00","FLEJES DE PLASTICO P/PISO","m","2,18","5","INDUSTRIAS DE FLEJES Y GRAPAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA147","00","CIELO RASO INTERIOR COMPLETO (LIVIANO)","m2","18,73","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA148","00","GRANITO GRIS (PIEDRAS) EN SACO#","sco","20,91","5","LA CASA DEL GRANITERO C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA149","01","RAMPLUG EXPANSION MECANICA D=3/4"" L=10""","pza","7,15","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA150","00","LAMINA FORMICA ACABADO METALICO ALUMINIO","lam","72,97","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA151","00","LAMINA FORMICA ACABADO METALICO BRONCE 1","lam","73,85","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA152","00","TORNILLO, ARANDELA Y RAMPLUG","jgo","0,21","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA153","00","LAMINA FIBRA VIDRIO PLAFOND 0,6 X 0,60M ","lam","4,41","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA154","15","PERFIL ALUMINIO SECUNDARIO P/CIELO RASO ","m","1,44","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA155","13","SANITARIOS Y ACABADOS","m2","30,85","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA156","05","TECHO PLYCEM ONDUL. TEJA 0.61X1.031 E=6.","lam","11,03","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA157","05","TECHO PLYCEM ONDUL.TEJA 1.22X1.031 E=6.8","lam","20,81","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA158","05","TECHO PLYCEM ONDUL.TEJA 1.53 X1.031 E=6.","lam","26,14","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA159","05","TECHO PLYCEM ONDUL.TEJA 1.83 X 1.031 E= ","lam","37,45","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA160","05","TECHO PLYCEM ONDUL.TEJA 2.13 X1.031 E= 6","lam","38,52","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA161","05","TECHO PLYCEM ONDUL.TEJA 2.44 X1.031 E=6.","lam","44,1","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA162","05","LAMINA PLYCEM 1.22 X0.61 E=6 MM FIBROCEM","lam","11","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA163","05","LAMINA PLYCEM 2.44 X1.22 E=6MM FIBROCEM.","lam","38,67","5","","","4/5/2026 12:00:00 a. m.","False"
"ACE077","01","TUBO ACERO-CARBONO COST D=1 1/2"" E=3,68M","m","31,3","1","DISTRIBUIDORA ECHEZUMARC C.A. ACERO","","4/5/2026 12:00:00 a. m.","False"
"ACE078","01","TUBO ACERO-CARBONO 1"" E=3,38MM 2,50K/M S","m","19,02","1","SUMINISTROS LAMARCO, C.A","","4/5/2026 12:00:00 a. m.","False"
"ACE079","01","PERFIL ACERO IPN 12  - 11.10 KG/M","kgf","2,54","3","MOTASA MOTA SANCHEZ Y CIA -DEPOSITO","","4/5/2026 12:00:00 a. m.","False"
"ACE080","01","PERFIL ACERO IPN 14 (14.3 K/M)","kgf","2,41","3","","","4/5/2026 12:00:00 a. m.","False"
"ACE081","01","PERFIL ACERO IPN 300  (54.20 KG/M)","kgf","2,45","3","","","4/5/2026 12:00:00 a. m.","False"
"ACE082","01","PERFIL ACERO IPN 8 (6.10 KG/M)","m","16,69","3","MOTASA MOTA SANCHEZ Y CIA -DEPOSITO","","4/5/2026 12:00:00 a. m.","False"
"ACE083","01","ANGULO ACERO L 100 X 100 X 10 P=15,1 KG/","kgf","3,28","3","","","4/5/2026 12:00:00 a. m.","False"
"ACE084","01","ANGULO DE ACERO DE VARIAS DIMENSIONES","kgf","3,28","3","","","4/5/2026 12:00:00 a. m.","False"
"ACE085","01","ANGULO ACERO  L 75 X 75 X 8 (9 KG/M)","kgf","4,41","3","","","4/5/2026 12:00:00 a. m.","False"
"ACE086","01","BARRAS EN ACERO INOXIDABLE 1/2"" PESO:1 K","kgf","14,31","2","","","4/5/2026 12:00:00 a. m.","False"
"ACE087","01","PERFIL ACERO SIDOR IPN 180 MM X 84 MM","kgf","3,31","3","","","4/5/2026 12:00:00 a. m.","False"
"ACE088","01","PERFIL ACERO SIDOR IPN 200 MMX90 MM","kgf","2,92","3","","","4/5/2026 12:00:00 a. m.","False"
"ACE089","01","PERFIL ACERO UPN 120 (13,4 KG/M)","kgf","3,28","3","","","4/5/2026 12:00:00 a. m.","False"
"ACE090","01","PERFILES ESTRUCTURALES DE ACERO","kgf","2,72","3","","","4/5/2026 12:00:00 a. m.","False"
"ACE091","01","PERFILES P/FIJACION DE PROTECCIONES EN A","sg","16,5","0","","","4/5/2026 12:00:00 a. m.","False"
"ACE415","01","PLETINA DE HIERRO 1 1/2"" X 3/16"" L=6 M 8","pza","28,24","5","","","4/5/2026 12:00:00 a. m.","False"
"ACE416","01","PLETINA DE HIERRO 2"" X 3/16"" L=6 MT 11.3","pza","39,42","5","","","4/5/2026 12:00:00 a. m.","False"
"ACE417","01","PLETINA DE HIERRO 1"" X 1/4"" L=6 M 7,6 K/","pza","23,45","5","","","4/5/2026 12:00:00 a. m.","False"
"ACE418","01","PLETINA DE HIERRO 2"" X 3/8"" L=6 M 11,4 K","pza","35,15","5","","","4/5/2026 12:00:00 a. m.","False"
"ACE419","01","PLETINA DE HIERRO 2"" X 1/2"" L=6 M 15,20 ","pza","46,9","5","","","4/5/2026 12:00:00 a. m.","False"
"ACE420","01","ANGULO ACERO 150 X 150 X 12MM 27.3 K/M","kgf","3,28","5","","","4/5/2026 12:00:00 a. m.","False"
"ACE421","01","TUBO DE ACERO CUADRADO 200 X 200 X 5.5 M","kgf","2,8","5","","","4/5/2026 12:00:00 a. m.","False"
"ACE422","01","TUBO DE ACERO CUADRADO 200 X 200 X 7 MM ","kgf","2,69","5","","","4/5/2026 12:00:00 a. m.","False"
"ACE423","01","TUBO DE ACERO CUADRADO 220 X 220 X 7 MM ","kgf","2,69","5","","","4/5/2026 12:00:00 a. m.","False"
"ACE424","01","TUBO DE ACERO CUADRADO 260 X 260 X 9 MM ","kgf","2,72","5","","","4/5/2026 12:00:00 a. m.","False"
"ACE425","01","TUBO DE ACERO RECTANG. 300 X 100 X 5.5 M","kgf","2,62","5","","","4/5/2026 12:00:00 a. m.","False"
