"CodMat","CodFam","Descri","UniMat","CosMat","Desper","Provee","Consum","FecMat","Importado"
"MT130","00","MARCO DE MADERA  E=15 CMS P/PUERTA","m","20,91","5","","","4/5/2026 12:00:00 a. m.","False"
"MT1303","00","LAMINA P/TECHO MILTEJA O SIM  AU=0,72 MT","m","18,49","5","ATLAS TECHOS","","4/5/2026 12:00:00 a. m.","False"
"MT1309","13","JABONERA METALICA P/ATORNILLAR","pza","9,88","0","","","4/5/2026 12:00:00 a. m.","False"
"MT131","00","MARCO DE MADERA  E=20 CMS P/PUERTA","m","23,12","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1314","01","TUBO DE ACERO RECTAN 2""X1"" L=6M 1.1MM 1,","pza","33,09","5","","","4/5/2026 12:00:00 a. m.","False"
"MT1318","13","LLAVE BRONCE CHORRO P/MANGUERA 1/2"" X 3/","pza","14,31","0","MOTUSA","","4/5/2026 12:00:00 a. m.","False"
"MT1319","13","LLAVE CROMADA CHORRO P/MANGUERA 1/2"" X 3","pza","14,85","0","MOTUSA","","4/5/2026 12:00:00 a. m.","False"
"MT132","00","MARCO DE MADERA  E=10 CMS P/PUERTA","m","18,73","5","","","4/5/2026 12:00:00 a. m.","False"
"MT1320","15","PLIEGO DE LIJA 9 X 11"" GRANO MARCA 80 3-","pza","2,72","5","CA VENEZOLANA DE PINTURAS/PINTACASA","","4/5/2026 12:00:00 a. m.","False"
"MT1321","15","PLIEGO DE LIJA 9 X 11"" GRANO 150 MARCA 3","pza","3,07","5","CA VENEZOLANA DE PINTURAS/PINTACASA","","4/5/2026 12:00:00 a. m.","False"
"MT1322","15","PLIEGO DE LIJA 9 X 11"" GRANO 280 MARCA 3","pza","3,28","5","CA VENEZOLANA DE PINTURAS/PINTACASA","","4/5/2026 12:00:00 a. m.","False"
"MT1330","00","LAMINA BASE P/IMPERMEABILIZACION TECHO M","m","1,08","10","DISTRIBUIDORA IPA S.A. ASFALTICOS","","4/5/2026 12:00:00 a. m.","False"
"MT135","00","BENTONITA (1 SCO 22,68 KG X M3 - 4 USOS)","sco","44,07","10","","","4/5/2026 12:00:00 a. m.","False"
"MT1361","01","GANCHO SENCILLO METALICO CROMADO ATORNIL","pza","0,74","0","REPCA","","4/5/2026 12:00:00 a. m.","False"
"MT1362","01","GANCHO DOBLE METALICO CROMADO ATORNILLAB","pza","2,39","0","REPCA","","4/5/2026 12:00:00 a. m.","False"
"MT1368","02","PASTA PROFESIONAL/ MASTIQUE","gln","15,4","5","CA VENEZOLANA DE PINTURAS/PINTACASA","","4/5/2026 12:00:00 a. m.","False"
"MT137","15","VENTANA DE HIERRO CON ANGULOS","m2","16,5","0","METALURGICA M.B.R., C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1378","13","DUCHA TIPO TELEFONO C/LLAVE ARRESTO BROM","pza","50,73","2","REPCA","","4/5/2026 12:00:00 a. m.","False"
"MT138","15","VENTANA DE TUBERIA HIERRO BATIENTE SIN V","m2","34,99","0","HERRERIA IDEAS FERRO","","4/5/2026 12:00:00 a. m.","False"
"MT1384","13","BOCA LLAVE HF TIPO BC-2 D= 80-100 MM NRO","pza","171,94","2","","","4/5/2026 12:00:00 a. m.","False"
"MT1390","01","TORNILLO AUTORROSC. P/LAMINA C/ARANDELAS","pza","0,3","0","DISTORBERA","","4/5/2026 12:00:00 a. m.","False"
"MT1394","05","TUBO DE CONCRETO J.G. D = 0,30 M (12"") C","m","132,23","5","","","4/5/2026 12:00:00 a. m.","False"
"MT1396","05","TUBO DE CONCRETO J.G. D = 0,45 M (18"") C","m","237,56","5","CONCRETERA SANTA RITA C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT142","16","VIDRIO PLANO E= 3 MM","m2","67,31","5","CRISTALERIA SAMAR","","4/5/2026 12:00:00 a. m.","False"
"MT143","16","VIDRIO PLANO E= 4 MM","m2","79,48","5","CRISTALERIA SAMAR","","4/5/2026 12:00:00 a. m.","False"
"MT1437","14","PUENTE P/INTERRUPTOR-TOMACORRIENTE COMBI","pza","2,18","5","","","4/5/2026 12:00:00 a. m.","False"
"MT144","16","VIDRIO PLANO E= 5 MM","m2","101,38","5","CRISTALERIA SAMAR","","4/5/2026 12:00:00 a. m.","False"
"MT145","16","VIDRIO PLANO E= 6 MM","m2","112,38","5","CRISTALERIA SAMAR","","4/5/2026 12:00:00 a. m.","False"
"MT1459","01","ARANDELA GALVANIZADA D= 1/2""  PLANA","pza","0,2","0","","","4/5/2026 12:00:00 a. m.","False"
"MT146","16","VIDRIO PLANO BRONCE E= 5 MM","m2","99,2","5","CRISTALERIA SAMAR","","4/5/2026 12:00:00 a. m.","False"
"MT147","16","VIDRIO PLANO BRONCE E= 6 MM","m2","134,62","5","CRISTALERIA SAMAR","","4/5/2026 12:00:00 a. m.","False"
"MT1475","00","TEFLON (ROLLO = 10 MTS)","rll","2,18","3","","","4/5/2026 12:00:00 a. m.","False"
"MT1528","00","CODO PVC ACUED JA-JA 45 GRADOS D = 75 MM","pza","38,58","2","","","4/5/2026 12:00:00 a. m.","False"
"MT1529","00","CODO PVC ACUED JA-JA 45 GRADOS D = 110 M","pza","57,34","3","","","4/5/2026 12:00:00 a. m.","False"
"MT1530","00","CODO PVC ACUED JA-JA 45 GRADOS D = 160 M","pza","132,23","3","","","4/5/2026 12:00:00 a. m.","False"
