"CodPar","CodIns","CanIns","Contad"
"EIB268","1-1.2","2","30499"
"EIB268","19-215","1","30500"
"EIB268","24-216","0,25","30501"
"EIB268","4-3.3","0,5","30502"
"EIB269","1-1.2","2","30503"
"EIB269","11-7.2","1","30504"
"EIB269","19-215","1","30505"
"EIB269","24-216","0,25","30506"
"EIB269","4-3.3","0,2","30507"
"EIB270","1-1.2","2","30508"
"EIB270","19-215","1","30509"
"EIB270","24-216","0,25","30510"
"EIB270","8-3.5","0,2","30511"
"EIB271","1-1.2","2","30512"
"EIB271","19-215","1","30513"
"EIB271","24-216","0,25","30514"
"EIB272","1-1.1","1","30515"
"EIB272","1-1.2","2","30516"
"EIB272","19-215","1","30517"
"EIB272","24-216","1","30518"
"EIB272","4-3.3","0,2","30519"
"EIB273","1-1.1","2","30520"
"EIB273","1-1.2","1","30521"
"EIB273","19-215","1","30522"
"EIB273","24-216","0,5","30523"
"EIB273","4-3.3","0,2","30524"
"EIB274","1-1.2","3","30525"
"EIB274","13-3.6","0,25","30526"
"EIB274","19-710","2","30527"
"EIB274","24-216","0,25","30528"
"EIB275","1-1.2","1","30529"
"EIB275","11-214","1","30530"
"EIB275","19-215","1","30531"
"EIB275","24-216","0,25","30532"
"EIB275","4-3.3","0,2","30533"
"EIB276","1-1.2","1","30534"
"EIB276","11-214","1","30535"
"EIB276","19-215","1","30536"
"EIB276","24-216","0,25","30537"
"EIB276","4-3.3","0,2","30538"
"EIB277","1-1.2","1","30539"
"EIB277","19-7.9","1","30540"
"EIB277","24-711","0,25","30541"
"EIB277","4-3.3","0,2","30542"
"EIB278","1-1.1","1","30543"
"EIB278","1-1.2","1","30544"
"EIB278","19-215","1","30545"
"EIB278","24-216","0,5","30546"
"EIB279","1-1.1","1","30547"
"EIB279","1-1.2","1","30548"
"EIB279","11-214","1","30549"
"EIB279","19-215","1","30550"
"EIB279","24-216","0,25","30551"
"EIB279","4-3.3","0,2","30552"
"EIB280","1-1.1","1","30553"
"EIB280","1-1.2","1","30554"
"EIB280","11-214","1","30555"
"EIB280","19-215","1","30556"
"EIB280","24-216","0,25","30557"
"EIB280","8-3.5","0,25","30558"
"EIB281","1-1.2","1","30559"
"EIB281","11-214","1","30560"
"EIB281","19-215","1","30561"
"EIB281","24-216","1","30562"
"EIB282","1-1.1","1","30563"
"EIB282","1-1.2","2","30564"
"EIB282","19-215","1","30565"
"EIB282","24-216","1","30566"
"EIB282","4-3.3","0,2","30567"
"EIB283","1-1.1","1","30568"
"EIB283","1-1.2","2","30569"
"EIB283","19-215","1","30570"
"EIB283","24-216","1","30571"
"EIB283","4-3.3","0,2","30572"
"EIB284","1-1.1","1","30573"
"EIB284","1-1.2","1","30574"
"EIB284","19-215","1","30575"
"EIB284","24-216","1","30576"
"EIB284","4-3.3","0,2","30577"
"EIB285","1-1.2","1","30578"
"EIB285","11-214","1","30579"
"EIB285","19-215","1","30580"
"EIB285","24-216","1","30581"
"EIB286","1-1.2","1","30582"
"EIB286","11-214","1","30583"
"EIB286","19-215","1","30584"
"EIB286","24-216","1","30585"
"EIB287","1-1.2","1","30586"
"EIB287","11-214","1","30587"
"EIB287","19-215","1","30588"
"EIB287","24-216","1","30589"
"EIB287","4-3.3","1","30590"
"EIB288","1-1.2","1","30591"
"EIB288","11-214","1","30592"
"EIB288","19-215","1","30593"
"EIB288","24-216","1","30594"
"EIB288","4-3.3","1","30595"
"EIB289","1-1.2","1","30596"
"EIB289","11-214","1","30597"
"EIB289","19-215","1","30598"
"EIB289","19-710","1","30599"
"EIB289","24-216","1","30600"
"EIB289","4-3.3","1","30601"
"EIB290","1-1.1","1","30602"
"EIB290","1-1.2","2","30603"
"EIB290","19-215","1","30604"
"EIB290","19-710","3","30605"
"EIB290","24-216","1","30606"
"EIB290","4-3.3","1","30607"
"EIB291","1-1.2","3","30608"
"EIB291","13-3.6","0,25","30609"
"EIB291","19-710","2","30610"
"EIB291","24-216","0,25","30611"
"EIB292","1-1.2","2","30612"
"EIB292","13-3.6","0,25","30613"
"EIB292","19-710","2","30614"
"EIB292","24-216","0,25","30615"
"EIB293","1-1.2","2","30616"
"EIB293","13-3.6","0,25","30617"
"EIB293","19-710","2","30618"
"EIB293","24-216","0,25","30619"
"EIB294","1-1.1","3","30620"
"EIB294","1-1.2","1","30621"
"EIB294","24-216","0,5","30622"
"EIB295","1-1.1","3","30623"
"EIB295","1-1.2","1","30624"
"EIB295","24-216","0,5","30625"
"EIB297","1-1.2","1","30626"
"EIB297","19-215","1","30627"
"EIB297","24-216","0,25","30628"
"EIB298","1-1.2","1","30629"
"EIB298","19-215","1","30630"
"EIB298","24-216","0,25","30631"
"EIB299","1-1.2","1","30632"
"EIB299","19-215","1","30633"
"EIB299","24-216","0,25","30634"
"EIB300","1-1.2","1","30635"
"EIB300","19-215","1","30636"
"EIB300","24-216","0,25","30637"
"EIB301","1-1.2","1","30638"
"EIB301","19-215","1","30639"
"EIB301","24-216","0,25","30640"
"EIB302","1-1.2","1","30641"
"EIB302","19-215","1","30642"
"EIB302","24-216","0,25","30643"
"EIB303","1-1.2","1","30644"
"EIB303","19-215","1","30645"
"EIB303","24-216","0,25","30646"
"EIB304","1-1.2","2","30647"
"EIB304","19-215","1","30648"
"EIB304","24-216","0,5","30649"
"EIB304","8-3.5","0,2","30650"
"EIB305","1-1.2","1","30651"
"EIB305","19-215","1","30652"
"EIB305","24-216","0,25","30653"
"EIB305","8-3.5","0,2","30654"
"EIB306","1-1.2","1","30655"
"EIB306","19-215","1","30656"
"EIB306","24-216","0,2","30657"
"EIB306","7-3.4","0,2","30658"
"EIB307","1-1.2","2","30659"
"EIB307","19-215","1","30660"
"EIB307","24-216","0,5","30661"
"EIB307","7-3.4","0,25","30662"
"EIB308","1-1.2","2","30663"
"EIB308","19-215","1","30664"
"EIB308","24-216","0,5","30665"
"EIB308","7-3.4","0,2","30666"
"EIB309","1-1.2","1","30667"
"EIB309","19-215","1","30668"
"EIB309","24-216","1","30669"
"EIB309","7-3.4","0,2","30670"
"EIB310","1-1.1","3","30671"
"EIB310","19-2.2","1","30672"
"EIB310","25-227","0,25","30673"
"EIB310","8-3.5","0,25","30674"
"EIB311","1-1.2","2","30675"
"EIB311","19-215","1","30676"
"EIB311","24-216","0,25","30677"
"EIB311","7-3.4","0,2","30678"
"EIB312","1-1.1","4","30679"
"EIB312","1-1.2","2","30680"
"EIB312","19-215","1","30681"
"EIB312","24-216","1","30682"
"EIB312","7-3.4","1","30683"
"EIB313","1-1.1","6","30684"
"EIB313","11-1.3","1","30685"
"EIB313","24-226","0,5","30686"
"EIB314","1-1.1","5","30687"
"EIB314","13-3.6","1","30688"
"EIB314","24-516","1","30689"
"EIB315","1-1.1","4","30690"
"EIB315","11-1.3","1","30691"
"EIB315","8-3.5","1","30692"
"EIB316","1-1.1","1","30693"
"EIB316","1-1.2","1","30694"
"EIB316","PQV052","2","30695"
"EIB317","1-1.1","7","30696"
"EIB317","11-5.2","1","30697"
"EIB317","24-226","0,2","30698"
"EIB318","1-1.1","4","30699"
"EIB318","19-2.2","1","30700"
"EIB318","25-227","1","30701"
"EIB318","8-3.5","1","30702"
"EIB319","1-1.1","4","30703"
"EIB319","19-2.2","1","30704"
"EIB319","25-227","1","30705"
"EIB319","8-3.5","1","30706"
"EIB320","1-1.1","2","30707"
"EIB320","1-1.2","1","30708"
"EIB320","19-215","1","30709"
"EIB320","24-216","0,5","30710"
"EIB320","7-3.4","0,2","30711"
"EIB321","1-1.1","6","30712"
"EIB321","1-1.2","2","30713"
"EIB321","19-2.2","1","30714"
"EIB321","19-5.3","1","30715"
"EIB321","24-5.4","0,5","30716"
"EIB321","24-516","1","30717"
"EIB321","7-3.4","0,5","30718"
"EIB322","1-1.1","3","30719"
"EIB322","1-1.2","1","30720"
"EIB322","24-216","0,5","30721"
"EIB322","4-3.3","0,2","30722"
"EIB323","1-1.1","3","30723"
"EIB323","1-1.2","1","30724"
"EIB323","24-216","0,5","30725"
"EIB323","4-3.3","0,2","30726"
"EIB324","1-1.1","3","30727"
"EIB324","1-1.2","1","30728"
"EIB324","24-216","0,5","30729"
"EIB324","4-3.3","0,2","30730"
"EIB325","1-1.1","3","30731"
"EIB325","1-1.2","1","30732"
"EIB325","24-216","0,5","30733"
"EIB325","4-3.3","0,2","30734"
"EIB326","1-1.1","3","30735"
"EIB326","1-1.2","1","30736"
"EIB326","24-216","0,5","30737"
"EIB326","4-3.3","0,2","30738"
"EIB327","1-1.1","3","30739"
"EIB327","1-1.2","1","30740"
"EIB327","24-216","0,5","30741"
"EIB327","4-3.3","0,2","30742"
"EIB328","1-1.1","3","30743"
"EIB328","1-1.2","1","30744"
"EIB328","24-216","0,5","30745"
"EIB328","4-3.3","0,2","30746"
"EIB329","1-1.1","3","30747"
"EIB329","1-1.2","1","30748"
"EIB329","24-216","0,5","30749"
"EIB329","4-3.3","0,2","30750"
"EIB330","1-1.2","1","30751"
"EIB330","19-215","1","30752"
"EIB330","19-7.5","1","30753"
"EIB330","24-216","0,5","30754"
"EIB330","8-3.5","0,25","30755"
"EIB331","1-1.2","1","30756"
"EIB331","19-215","1","30757"
"EIB331","19-7.5","1","30758"
"EIB331","24-216","0,5","30759"
"EIB331","8-3.5","0,25","30760"
"EIB332","1-1.2","1","30761"
"EIB332","19-215","1","30762"
"EIB332","19-7.5","1","30763"
"EIB332","24-216","0,5","30764"
"EIB332","8-3.5","0,25","30765"
"EIB333","1-1.1","2","30766"
