"CodPar","CodIns","CanIns","Contad"
"ARB001","1-1.1","6","3674"
"ARB001","1-1.2","1","3675"
"ARB001","24-226","0,5","3676"
"ARB001","4-3.3","1","3677"
"ARB002","1-1.1","3","3678"
"ARB002","1-1.2","3","3679"
"ARB002","24-226","0,5","3680"
"ARB002","7-3.4","0,25","3681"
"ARB003","1-1.1","6","3682"
"ARB003","11-1.3","0,25","3683"
"ARB003","13-3.6","0,25","3684"
"ARB003","24-226","0,2","3685"
"ARB004","1-1.1","6","3686"
"ARB004","1-1.2","1","3687"
"ARB004","11-1.3","1","3688"
"ARB004","19-514","0,5","3689"
"ARB004","8-3.5","0,5","3690"
"ARB005","1-1.1","5","3691"
"ARB005","24-226","1","3692"
"ARB005","24-5.4","0,5","3693"
"ARB005","4-3.3","1","3694"
"ARB005","8-3.5","0,5","3695"
"ARB006","1-1.1","4","3696"
"ARB006","11-1.3","0,5","3697"
"ARB006","13-3.6","1","3698"
"ARB006","19-514","1","3699"
"ARB006","8-3.5","1","3700"
"ARB007","1-1.1","5","3701"
"ARB007","1-1.2","2","3702"
"ARB007","11-1.3","0,5","3703"
"ARB007","13-3.6","2","3704"
"ARB007","19-514","1","3705"
"ARB007","24-5.4","1","3706"
"ARB008","1-1.1","5","3707"
"ARB008","11-1.3","1","3708"
"ARB008","8-3.5","1","3709"
"ARB009","1-1.1","5","3710"
"ARB009","11-1.3","1","3711"
"ARB009","8-3.5","1","3712"
"ARB010","1-1.1","6","3713"
"ARB010","1-1.2","2","3714"
"ARB010","11-1.3","1","3715"
"ARB010","19-5.3","0,5","3716"
"ARB010","8-3.5","1","3717"
"ARB011","1-1.1","5","3718"
"ARB011","11-1.3","0,5","3719"
"ARB011","19-5.3","0,2","3720"
"ARB011","19-514","0,5","3721"
"ARB011","8-3.5","1","3722"
"ARB012","1-1.1","5","3723"
"ARB012","11-1.3","1","3724"
"ARB012","13-3.6","1","3725"
"ARB013","1-1.1","5","3726"
"ARB013","11-1.3","1","3727"
"ARB013","19-514","0,25","3728"
"ARB013","2-5.1","1","3729"
"ARB013","8-3.5","1","3730"
"ARB014","1-1.1","5","3731"
"ARB014","11-1.3","1","3732"
"ARB014","19-514","1","3733"
"ARB014","8-3.5","0,5","3734"
"ARB015","1-1.1","5","3735"
"ARB015","11-1.3","1","3736"
"ARB015","2-5.1","1","3737"
"ARB015","8-3.5","1","3738"
"ARB016","1-1.1","6","3739"
"ARB016","11-1.3","1","3740"
"ARB016","7-3.4","0,25","3741"
"ARB017","1-1.1","6","3742"
"ARB017","11-1.3","1","3743"
"ARB017","4-3.3","0,25","3744"
"ARB018","1-1.1","6","3745"
"ARB018","11-1.3","1","3746"
"ARB018","7-3.4","0,25","3747"
"ARB019","1-1.2","3","3748"
"ARB019","11-1.3","1","3749"
"ARB019","7-3.4","0,25","3750"
"ARB020","1-1.1","5","3751"
"ARB020","1-1.2","1","3752"
"ARB020","24-226","1","3753"
"ARB020","7-3.4","1","3754"
"ARB021","1-1.1","5","3755"
"ARB021","11-1.3","1","3756"
"ARB022","1-1.1","6","3757"
"ARB022","11-1.3","1","3758"
"ARB023","1-1.1","6","3759"
"ARB023","11-1.3","1","3760"
"ARB024","1-1.1","5","3761"
"ARB024","11-1.3","1","3762"
"ARB025","1-1.1","6","3763"
"ARB025","11-1.3","1","3764"
"ARB025","13-3.6","1,5","3765"
"ARB025","2-5.1","0,5","3766"
"ARB025","4-3.3","0,25","3767"
"ARB026","1-1.1","8","3768"
"ARB026","1-1.2","0,5","3769"
"ARB026","11-1.3","1","3770"
"ARB026","13-3.6","1,5","3771"
"ARB026","4-3.3","0,25","3772"
"ARB027","1-1.1","8","3773"
"ARB027","11-1.3","1","3774"
"ARB027","13-3.6","1,5","3775"
"ARB027","18-5.9","0,5","3776"
"ARB027","2-5.1","0,5","3777"
"ARB027","4-3.3","0,25","3778"
"ARB028","1-1.1","5","3779"
"ARB028","11-1.3","1","3780"
"ARB028","8-3.5","1","3781"
"ARB029","1-1.1","5","3782"
"ARB029","11-1.3","1","3783"
"ARB029","8-3.5","1","3784"
"ARB031","1-1.1","2","3785"
"ARB031","11-1.3","1","3786"
"ARB032","1-1.1","5","3787"
"ARB032","11-1.3","1","3788"
"ARB032","11-5.2","1","3789"
"ARB033","1-1.1","3","3790"
"ARB033","1-1.2","1","3791"
"ARB033","11-1.3","1","3792"
"ARB033","7-3.4","0,5","3793"
"ARB034","1-1.1","5","3794"
"ARB034","1-1.2","1","3795"
"ARB034","24-226","1","3796"
"ARB034","7-3.4","1","3797"
"ARB035","1-1.1","5","3798"
"ARB035","1-1.2","1","3799"
"ARB035","24-226","1","3800"
"ARB035","7-3.4","1","3801"
"ARB036","1-1.1","5","3802"
"ARB036","1-1.2","1","3803"
"ARB036","24-226","1","3804"
"ARB036","7-3.4","1","3805"
"ARB037","1-1.1","5","3806"
"ARB037","1-1.2","1","3807"
"ARB037","24-226","1","3808"
"ARB037","7-3.4","1","3809"
"ARB038","1-1.1","5","3810"
"ARB038","1-1.2","1","3811"
"ARB038","24-226","1","3812"
"ARB038","7-3.4","1","3813"
"ARB039","1-1.1","5","3814"
"ARB039","1-1.2","1","3815"
"ARB039","24-226","1","3816"
"ARB039","7-3.4","1","3817"
"ARB040","1-1.1","5","3818"
"ARB040","1-1.2","1","3819"
"ARB040","24-226","1","3820"
"ARB040","7-3.4","1","3821"
"ARB041","1-1.1","6","3822"
"ARB041","11-1.3","1","3823"
"ARB041","8-3.5","1","3824"
"B01001","1-1.1","1","3825"
"B01001","11-5.2","1","3826"
"B01001","24-226","0,5","3827"
"B01002","1-1.1","1","3828"
"B01002","11-5.2","1","3829"
"B01002","24-226","0,5","3830"
"B01003","1-1.1","1","3831"
"B01003","19-7.3","1","3832"
"B01003","25-227","0,25","3833"
"B01004","1-1.1","3","3834"
"B01004","11-1.3","0,25","3835"
"B01004","11-5.2","1","3836"
"B01005","1-1.1","3","3837"
"B01005","11-1.3","1","3838"
"B01005","3-4.1","1","3839"
"B01006","1-1.1","3","3840"
"B01006","11-1.3","0,5","3841"
"B01007","1-1.1","4","3842"
"B01007","24-226","0,5","3843"
"B01008","1-1.1","3","3844"
"B01008","24-226","0,5","3845"
"B01009","10-7.1","1","3846"
"B01009","1-1.1","1","3847"
"B01009","1-1.2","1","3848"
"B01009","11-1.3","1","3849"
"B01009","11-5.2","1","3850"
"B01009","24-226","0,5","3851"
"B01009","3-4.1","2","3852"
"B01010","1-1.1","4","3853"
"B01010","25-227","0,5","3854"
"B01011","1-1.1","6","3855"
"B01011","25-227","0,5","3856"
"B01011","3-4.1","1","3857"
"B01012","1-1.1","4","3858"
"B01012","11-1.3","0,5","3859"
"B01012","24-226","0,25","3860"
"B01013","1-1.1","5","3861"
"B01013","11-1.3","0,5","3862"
"B01013","24-226","0,5","3863"
"B01014","1-1.1","5","3864"
"B01014","19-2.2","1","3865"
"B01014","25-227","1","3866"
"B01015","1-1.1","5","3867"
"B01015","11-1.3","0,5","3868"
"B01016","1-1.1","2","3869"
"B01016","11-1.3","0,25","3870"
"B01016","19-2.5","1","3871"
"B01017","1-1.1","4","3872"
"B01017","11-1.3","0,5","3873"
"B01018","1-1.1","3","3874"
"B01018","11-1.3","0,5","3875"
"B01019","1-1.2","1","3876"
"B01019","19-215","1","3877"
"B01019","24-216","0,25","3878"
"B01020","1-1.1","1","3879"
"B01020","11-1.3","0,5","3880"
"B01020","19-212","1","3881"
"B01021","1-1.2","1","3882"
"B01021","19-215","1","3883"
"B01021","24-216","0,25","3884"
"B01022","1-1.2","1","3885"
"B01022","19-215","1","3886"
"B01022","24-216","0,25","3887"
"B01023","1-1.1","3","3888"
"B01023","11-1.3","0,25","3889"
"B01024","1-1.1","3","3890"
"B01024","11-1.3","0,25","3891"
"B01025","1-1.1","3","3892"
"B01025","11-1.3","1","3893"
"B01025","11-7.2","1","3894"
"B01025","24-226","0,2","3895"
"B01026","10-7.1","2","3896"
"B01026","25-227","0,25","3897"
"B01027","1-1.1","4","3898"
"B01027","24-226","0,5","3899"
"B01028","1-1.1","3","3900"
"B01028","1-1.2","1","3901"
"B01028","11-7.2","1","3902"
"B01028","24-226","1","3903"
"B01029","1-1.1","2","3904"
"B01029","24-226","0,25","3905"
"B01030","1-1.1","1","3906"
"B01030","1-1.2","1","3907"
"B01030","24-226","0,25","3908"
"B01031","1-1.2","1","3909"
"B01031","19-2.5","1","3910"
"B01031","24-2.7","1","3911"
"B01032","1-1.1","2","3912"
"B01032","1-1.2","2","3913"
"B01032","19-7.9","1","3914"
"B01032","24-226","1","3915"
"B01033","1-1.2","1","3916"
"B01033","19-215","1","3917"
"B01033","24-216","0,25","3918"
"B01034","1-1.1","2","3919"
"B01034","24-226","0,5","3920"
"B01035","1-1.2","1","3921"
"B01035","19-215","1","3922"
"B01035","24-216","0,5","3923"
"B01036","1-1.2","1","3924"
"B01036","19-2.5","1","3925"
"B01036","24-2.7","0,25","3926"
"B01037","1-1.1","2","3927"
"B01037","1-1.2","2","3928"
"B01037","19-7.9","1","3929"
"B01037","24-226","0,5","3930"
"B01038","1-1.1","2","3931"
"B01038","1-1.2","1","3932"
"B01038","19-7.3","1","3933"
"B01038","19-7.9","1","3934"
"B01038","25-6.7","0,25","3935"
"B01039","1-1.1","4","3936"
"B01039","19-7.3","1","3937"
"B01039","24-226","1","3938"
"B01040","1-1.1","1","3939"
"B01040","1-1.2","1","3940"
"B01040","25-227","0,25","3941"
"B01041","10-7.1","1","3942"
"B01041","1-1.1","4","3943"
"B01041","24-226","0,5","3944"
"B01042","1-1.1","1","3945"
"B01042","1-1.2","1","3946"
"B01042","25-227","0,25","3947"
"B01043","1-1.1","1","3948"
"B01043","11-214","1","3949"
"B01043","24-216","1","3950"
"B01044","1-1.1","3","3951"
"B01044","1-1.2","1","3952"
"B01044","24-226","0,25","3953"
"B01045","1-1.1","2","3954"
"B01045","1-1.2","1","3955"
"B01045","24-226","0,5","3956"
"B01046","1-1.2","2","3957"
"B01046","19-215","1","3958"
"B01046","24-216","0,5","3959"
"B01046","4-3.3","0,25","3960"
"B01047","1-1.1","2","3961"
"B01047","24-226","0,5","3962"
"B01048","1-1.1","4","3963"
"B01048","24-226","0,5","3964"
"B01049","1-1.1","4","3965"
"B01049","22-2.6","0,5","3966"
"B01050","1-1.1","4","3967"
"B01050","24-226","0,25","3968"
"B01051","1-1.2","1","3969"
"B01051","19-215","1","3970"
"B01051","24-216","0,25","3971"
"B01052","1-1.1","1","3972"
"B01052","1-1.2","2","3973"
"B01052","25-227","0,25","3974"
"B01053","1-1.1","2","3975"
"B01053","24-226","0,25","3976"
"B01054","1-1.1","3","3977"
"B01054","24-226","0,5","3978"
"B01055","1-1.1","4","3979"
"B01055","22-2.6","0,25","3980"
"B01056","1-1.1","2","3981"
"B01056","24-226","0,25","3982"
"B01057","1-1.1","1","3983"
"B01057","11-214","1","3984"
"B01057","24-216","0,25","3985"
"B01058","1-1.1","1","3986"
"B01058","11-214","1","3987"
"B01058","19-514","1","3988"
"B01058","24-216","0,25","3989"
"B01059","1-1.1","2","3990"
"B01059","22-2.6","0,25","3991"
"B01060","1-1.1","2","3992"
"B01060","24-226","0,25","3993"
"B01061","1-1.1","2","3994"
"B01061","1-1.2","1","3995"
"B01061","19-2.2","1","3996"
"B01061","25-227","1","3997"
"B01062","10-7.1","1","3998"
"B01062","1-1.2","2","3999"
"B01062","11-7.2","1","4000"
"B01062","25-227","0,5","4001"
"B01062","8-3.5","0,5","4002"
"B01063","1-1.1","3","4003"
"B01063","11-214","1","4004"
"B01063","24-216","1","4005"
"B01064","1-1.1","2","4006"
"B01064","11-214","1","4007"
"B01064","24-226","1","4008"
"B01065","1-1.1","2","4009"
"B01065","11-7.2","1","4010"
"B01065","22-2.6","0,5","4011"
"B01066","1-1.2","2","4012"
"B01066","11-7.2","2","4013"
"B01066","25-227","1","4014"
"B01067","1-1.2","1","4015"
"B01067","19-7.9","1","4016"
"B01067","25-227","0,25","4017"
"B01068","1-1.1","1","4018"
"B01068","19-2.2","1","4019"
"B01068","25-227","0,25","4020"
"B01069","1-1.1","1","4021"
"B01069","19-2.2","1","4022"
"B01069","25-227","0,25","4023"
"B01070","1-1.1","4","4024"
"B01070","22-2.6","0,5","4025"
"B01071","1-1.1","3","4026"
"B01071","24-226","0,5","4027"
"B01072","1-1.1","3","4028"
"B01072","24-226","0,5","4029"
"B01073","1-1.1","3","4030"
"B01073","24-226","0,25","4031"
"B01074","1-1.1","4","4032"
"B01074","24-226","0,5","4033"
"B01075","1-1.1","1","4034"
"B01075","19-2.2","1","4035"
"B01075","25-227","0,25","4036"
"B01076","1-1.1","2","4037"
"B01076","1-1.2","1","4038"
"B01076","25-227","0,25","4039"
"B01077","1-1.1","1","4040"
"B01077","1-1.2","2","4041"
"B01077","25-227","0,5","4042"
"B01078","1-1.1","2","4043"
"B01078","1-1.2","1","4044"
"B01078","25-227","0,25","4045"
"B01079","1-1.1","2","4046"
"B01079","1-1.2","1","4047"
"B01079","25-227","0,25","4048"
"B01080","1-1.1","3","4049"
"B01080","24-226","0,25","4050"
"B01081","1-1.1","3","4051"
"B01081","24-226","0,25","4052"
"B01082","1-1.1","4","4053"
"B01082","11-214","1","4054"
"B01082","24-216","1","4055"
"B01083","1-1.1","1","4056"
"B01083","11-7.6","1","4057"
"B01083","25-227","0,5","4058"
"B01084","1-1.1","1","4059"
"B01084","19-2.2","1","4060"
"B01084","25-227","0,25","4061"
"B01085","1-1.2","2","4062"
"B01085","19-215","1","4063"
"B01085","24-216","0,2","4064"
"B01085","4-3.3","0,2","4065"
"B01086","1-1.1","7","4066"
"B01086","11-1.3","0,5","4067"
"B01086","19-514","0,5","4068"
"B01086","24-226","0,2","4069"
"B01087","1-1.1","2","4070"
"B01087","24-226","0,25","4071"
"B01088","1-1.1","3","4072"
"B01088","24-226","0,25","4073"
"B01089","1-1.1","2","4074"
"B01089","24-226","0,25","4075"
"B01090","1-1.1","3","4076"
"B01090","24-225","0,25","4077"
"B01091","1-1.1","1","4078"
"B01091","1-1.2","1","4079"
"B01091","19-221","1","4080"
"B01091","24-222","0,5","4081"
"B01092","1-1.1","2","4082"
"B01092","1-1.2","1","4083"
"B01092","19-212","1","4084"
"B01092","25-227","1","4085"
"B01093","1-1.1","2","4086"
"B01093","24-226","0,25","4087"
"B01094","1-1.2","1","4088"
"B01094","24-226","0,25","4089"
"B01095","1-1.1","2","4090"
"B01095","22-2.6","0,25","4091"
"B01096","1-1.1","3","4092"
"B01096","24-226","0,25","4093"
"B01097","1-1.1","2","4094"
"B01097","24-226","0,25","4095"
"B01098","1-1.1","2","4096"
"B01098","11-211","1","4097"
"B01098","24-213","0,25","4098"
"B01099","1-1.1","3","4099"
"B01099","24-226","0,5","4100"
"B01100","1-1.1","3","4101"
"B01100","24-226","0,5","4102"
"B01101","1-1.1","4","4103"
"B01101","25-227","0,2","4104"
"B01101","3-8.1","1","4105"
"B01101","DTC005","1","4106"
"B01102","1-1.1","4","4107"
"B01102","1-1.2","1","4108"
"B01102","11-214","1","4109"
"B01102","24-216","1","4110"
"B01103","1-1.2","1","4111"
"B01103","11-214","1","4112"
"B01103","24-216","0,25","4113"
"B01104","1-1.1","4","4114"
"B01104","1-1.2","2","4115"
"B01104","11-1.3","0,5","4116"
"B01104","24-226","0,5","4117"
"B01104","3-4.1","2","4118"
"B01105","1-1.1","2","4119"
"B01105","24-226","0,25","4120"
"B01106","1-1.1","3","4121"
"B01106","24-226","0,5","4122"
"B01106","3-4.1","1","4123"
"B01107","1-1.1","6","4124"
"B01107","24-226","1","4125"
"B01107","8-3.5","1","4126"
"B01108","1-1.1","3","4127"
"B01108","24-226","0,25","4128"
"B01109","1-1.1","1","4129"
"B01109","1-1.2","1","4130"
"B01109","19-7.9","1","4131"
"B01109","24-711","0,2","4132"
"B01109","4-3.3","0,5","4133"
"B01110","1-1.1","4","4134"
"B01110","11-1.3","1","4135"
"B01110","24-226","0,2","4136"
"B01110","3-4.1","2","4137"
"B01111","1-1.1","6","4138"
"B01111","25-227","0,5","4139"
"B01111","3-4.1","1","4140"
"B01112","1-1.1","5","4141"
"B01112","22-2.6","0,5","4142"
"B02001","1-1.1","2","4143"
"B02001","11-1.3","0,25","4144"
"B02001","11-5.2","1","4145"
"B02001","24-226","0,25","4146"
"B02002","1-1.1","2","4147"
"B02002","1-1.2","1","4148"
"B02002","19-2.2","2","4149"
"B02002","25-227","1","4150"
"B02002","8-3.5","0,25","4151"
"B02003","1-1.1","4","4152"
"B02003","11-2.4","0,25","4153"
"B02003","19-2.2","1","4154"
"B02003","25-227","0,25","4155"
"B02003","8-3.5","0,25","4156"
"B02004","1-1.2","2","4157"
"B02004","11-2.8","1","4158"
"B02004","19-2.9","2","4159"
"B02004","24-210","0,25","4160"
"B02005","1-1.1","7","4161"
"B02005","1-1.2","1","4162"
"B02005","25-227","1","4163"
"B02005","8-3.5","0,25","4164"
"B02006","1-1.1","9","4165"
"B02006","1-1.2","1","4166"
"B02006","11-228","1","4167"
"B02006","25-227","1","4168"
"B02006","8-3.5","0,25","4169"
"B02007","1-1.1","7","4170"
"B02007","1-1.2","1","4171"
"B02007","19-2.2","1","4172"
"B02007","25-227","1","4173"
"B02007","6-2.29","1","4174"
"B02008","1-1.1","6","4175"
"B02008","25-227","1","4176"
"B02008","6-2.29","1","4177"
"B02009","1-1.1","6","4178"
"B02009","19-2.2","1","4179"
"B02009","25-227","1","4180"
"B02009","6-2.29","1","4181"
"B02010","1-1.1","6","4182"
"B02010","1-1.2","1","4183"
"B02010","19-2.2","1","4184"
"B02010","25-227","1","4185"
"B02010","6-2.29","1","4186"
"B02011","1-1.1","6","4187"
"B02011","1-1.2","1","4188"
"B02011","11-230","1","4189"
"B02011","19-2.2","1","4190"
"B02011","25-227","0,25","4191"
"B02012","1-1.1","1","4192"
"B02012","1-1.2","2","4193"
"B02012","19-2.5","1","4194"
"B02012","24-2.7","1","4195"
"B02013","1-1.1","1","4196"
"B02013","1-1.2","2","4197"
"B02013","19-2.5","2","4198"
"B02013","24-2.7","0,25","4199"
"B02013","8-3.5","0,5","4200"
"B02014","1-1.1","5","4201"
"B02014","1-1.2","1","4202"
"B02014","11-5.2","2","4203"
"B02014","24-226","1","4204"
"B02015","1-1.1","5","4205"
"B02015","11-1.3","1","4206"
"B02015","24-226","0,2","4207"
"B02016","1-1.1","4","4208"
"B02016","11-5.2","2","4209"
"B02016","13-3.6","1","4210"
"B02016","24-5.4","2","4211"
"B02016","24-516","1","4212"
"B02016","25-227","1","4213"
"B02017","1-1.1","6","4214"
"B02017","11-1.3","1","4215"
"B02017","25-227","1","4216"
"B03001","1-1.2","2","4217"
"B03001","19-2.2","1","4218"
"B03001","24-226","0,25","4219"
"B03001","8-3.5","0,25","4220"
"B03002","10-7.1","1","4221"
"B03002","1-1.2","2","4222"
"B03002","19-7.3","1","4223"
"B03002","25-227","0,25","4224"
"B03003","1-1.1","1","4225"
"B03003","1-1.2","2","4226"
"B03003","19-7.3","1","4227"
"B03003","25-227","1","4228"
"B03004","1-1.1","2","4229"
"B03004","11-7.2","2","4230"
"B03004","19-7.5","1","4231"
"B03004","25-227","1","4232"
"B03004","8-3.5","1","4233"
"B03005","1-1.1","2","4234"
"B03005","11-7.2","2","4235"
"B03005","19-7.5","1","4236"
"B03005","25-227","1","4237"
"B03005","8-3.5","1","4238"
"B03006","1-1.2","2","4239"
"B03006","19-7.3","1","4240"
"B03006","19-7.5","1","4241"
"B03006","25-227","0,25","4242"
"B03006","8-3.5","0,25","4243"
"B03007","1-1.1","2","4244"
"B03007","1-1.2","2","4245"
"B03007","24-210","1","4246"
"B03008","1-1.1","2","4247"
"B03008","11-7.2","1","4248"
"B03008","19-7.3","1","4249"
"B03008","19-7.5","1","4250"
"B03008","25-227","1","4251"
"B03008","8-3.5","0,25","4252"
"B03009","1-1.2","2","4253"
"B03009","11-2.1","1","4254"
"B03009","11-7.2","1","4255"
"B03009","19-7.3","1","4256"
"B03009","25-227","0,5","4257"
"B03010","1-1.1","2","4258"
"B03010","1-1.2","1","4259"
"B03010","11-7.2","1","4260"
"B03010","19-7.3","1","4261"
"B03010","25-227","1","4262"
"B03011","1-1.1","2","4263"
"B03011","1-1.2","1","4264"
"B03011","11-7.2","1","4265"
"B03011","19-7.3","1","4266"
"B03011","25-227","1","4267"
"B03012","1-1.2","2","4268"
"B03012","19-2.2","1","4269"
"B03012","24-226","0,5","4270"
"B03013","1-1.2","2","4271"
"B03013","19-2.2","1","4272"
"B03013","24-226","0,5","4273"
"B03014","1-1.2","1","4274"
"B03014","19-2.2","1","4275"
"B03014","25-227","0,25","4276"
"B03015","1-1.1","2","4277"
"B03015","1-1.2","2","4278"
"B03015","11-7.2","2","4279"
"B03015","25-227","0,5","4280"
"B03016","1-1.1","1","4281"
"B03016","1-1.2","2","4282"
"B03016","19-212","1","4283"
"B03016","24-213","1","4284"
"B03017","1-1.2","2","4285"
"B03017","19-2.2","1","4286"
"B03017","24-226","0,5","4287"
"B03018","1-1.1","2","4288"
"B03018","1-1.2","1","4289"
"B03018","11-7.2","2","4290"
"B03018","25-227","0,5","4291"
"B03019","1-1.1","2","4292"
"B03019","1-1.2","2","4293"
"B03019","11-7.2","2","4294"
"B03019","19-7.3","1","4295"
"B03019","25-227","1","4296"
"B03020","1-1.1","1","4297"
"B03020","1-1.2","1","4298"
"B03020","19-2.2","1","4299"
"B03020","25-227","0,5","4300"
"B03020","7-3.4","0,25","4301"
"B03021","1-1.1","1","4302"
"B03021","1-1.2","1","4303"
"B03021","19-2.2","1","4304"
"B03021","25-227","0,25","4305"
"B03021","7-3.4","0,25","4306"
"B03022","1-1.2","2","4307"
"B03022","19-2.2","1","4308"
"B03022","24-226","0,5","4309"
"B03023","1-1.2","2","4310"
"B03023","19-2.2","1","4311"
"B03023","24-226","0,5","4312"
"B03024","1-1.2","2","4313"
"B03024","11-7.2","1","4314"
"B03024","19-7.3","1","4315"
"B03024","25-227","0,5","4316"
"B03025","1-1.1","1","4317"
"B03025","1-1.2","1","4318"
"B03025","11-7.2","1","4319"
"B03025","24-226","0,5","4320"
"B03026","1-1.1","2","4321"
"B03026","1-1.2","1","4322"
"B03026","11-7.2","2","4323"
"B03026","25-227","0,5","4324"
"B03027","1-1.1","2","4325"
"B03027","1-1.2","1","4326"
"B03027","11-7.2","2","4327"
"B03027","25-227","0,5","4328"
"B03028","1-1.1","2","4329"
"B03028","1-1.2","1","4330"
"B03028","11-7.2","2","4331"
"B03028","25-227","0,5","4332"
"B03029","1-1.2","2","4333"
"B03029","19-2.2","1","4334"
"B03029","24-226","0,5","4335"
"B03030","1-1.1","2","4336"
"B03030","1-1.2","1","4337"
"B03030","19-2.2","1","4338"
"B03030","25-227","0,5","4339"
"B03031","1-1.1","2","4340"
"B03031","11-7.2","1","4341"
"B03031","19-7.3","1","4342"
"B03031","19-7.5","1","4343"
"B03031","25-227","1","4344"
"B03031","8-3.5","0,25","4345"
"B03032","1-1.1","2","4346"
"B03032","1-1.2","1","4347"
"B03032","11-7.2","1","4348"
"B03032","19-7.3","1","4349"
"B03032","25-227","1","4350"
"B03032","8-3.5","1","4351"
"B03033","1-1.1","2","4352"
"B03033","1-1.2","1","4353"
"B03033","11-7.2","1","4354"
"B03033","19-7.3","1","4355"
"B03033","25-227","1","4356"
"B03033","8-3.5","1","4357"
"B03034","1-1.1","2","4358"
"B03034","1-1.2","1","4359"
"B03034","11-7.2","2","4360"
"B03034","25-227","0,5","4361"
"B03035","1-1.2","2","4362"
"B03035","11-214","1","4363"
"B03035","19-215","1","4364"
"B03035","24-216","0,25","4365"
"B03035","8-3.5","0,5","4366"
"B03036","1-1.2","2","4367"
"B03036","11-214","1","4368"
"B03036","19-215","1","4369"
"B03036","24-216","0,25","4370"
"B03036","8-3.5","0,25","4371"
"B03037","1-1.2","2","4372"
"B03037","11-214","1","4373"
"B03037","19-215","1","4374"
"B03037","24-216","0,25","4375"
"B03037","8-3.5","0,5","4376"
"B03038","1-1.1","1","4377"
"B03038","1-1.2","1","4378"
"B03038","19-7.3","1","4379"
"B03038","24-226","0,2","4380"
"B03039","1-1.1","3","4381"
"B03039","19-7.3","1","4382"
"B03039","25-227","1","4383"
"B03040","1-1.1","2","4384"
"B03040","1-1.2","1","4385"
"B03040","19-7.5","1","4386"
"B03040","25-227","1","4387"
"B03040","8-3.5","1","4388"
"B03041","1-1.1","1","4389"
"B03041","1-1.2","1","4390"
"B03041","19-7.3","1","4391"
"B03041","24-711","1","4392"
"B03041","7-3.4","0,2","4393"
"B03042","1-1.1","2","4394"
"B03042","1-1.2","2","4395"
"B03042","19-7.3","1","4396"
"B03042","19-7.5","1","4397"
"B03042","25-227","0,25","4398"
"B03042","8-3.5","0,25","4399"
"B04001","1-1.1","1","4400"
"B04001","1-1.2","1","4401"
"B04001","19-2.2","1","4402"
"B04001","25-227","0,25","4403"
"B04002","1-1.1","4","4404"
"B04002","19-224","1","4405"
"B04002","24-225","0,5","4406"
"B04003","1-1.1","2","4407"
"B04003","11-223","1","4408"
"B04003","25-227","0,5","4409"
"B04004","1-1.2","1","4410"
"B04004","19-221","1","4411"
"B04004","24-222","0,25","4412"
"B04005","1-1.1","2","4413"
"B04005","1-1.2","2","4414"
"B04005","11-228","1","4415"
"B04005","19-2.2","1","4416"
"B04005","24-2.3","0,25","4417"
"B04005","8-3.5","0,25","4418"
"B04006","1-1.1","2","4419"
"B04006","1-1.2","1","4420"
"B04006","11-228","1","4421"
"B04006","19-224","1","4422"
"B04006","24-225","0,5","4423"
"B04006","8-3.5","0,5","4424"
"B05001","1-1.1","5","4425"
"B05001","25-227","0,25","4426"
"B05002","1-1.1","2","4427"
"B05002","1-1.2","1","4428"
"B05002","19-2.2","1","4429"
"B05002","25-227","0,25","4430"
"B05003","1-1.1","3","4431"
"B05003","24-226","0,5","4432"
"B05004","1-1.1","1","4433"
"B05004","1-1.2","1","4434"
"B05004","24-219","0,5","4435"
"B05005","1-1.1","1","4436"
"B05005","24-226","0,25","4437"
"B05006","1-1.1","2","4438"
"B05006","1-1.2","1","4439"
"B05006","19-2.2","2","4440"
"B05006","25-227","0,25","4441"
"B05007","1-1.1","2","4442"
"B05007","1-1.2","1","4443"
"B05007","19-2.2","2","4444"
"B05007","25-227","0,5","4445"
"B05008","1-1.1","2","4446"
"B05008","1-1.2","1","4447"
"B05008","19-2.2","1","4448"
"B05008","25-227","0,25","4449"
"B05009","1-1.1","2","4450"
"B05009","1-1.2","1","4451"
"B05009","19-2.2","1","4452"
"B05009","25-227","0,25","4453"
"B05010","1-1.1","1","4454"
"B05010","1-1.2","1","4455"
"B05010","19-2.2","1","4456"
"B05010","24-2.3","0,5","4457"
"B05011","1-1.1","1","4458"
"B05011","1-1.2","1","4459"
"B05011","11-228","0,5","4460"
"B05011","19-2.2","2","4461"
"B05011","24-226","1","4462"
"B05012","1-1.1","1","4463"
"B05012","1-1.2","1","4464"
"B05012","11-228","1","4465"
"B05012","19-2.2","2","4466"
"B05012","24-226","1","4467"
"B05012","8-3.5","0,25","4468"
"B05013","1-1.1","1","4469"
"B05013","1-1.2","1","4470"
"B05013","11-228","1","4471"
"B05013","19-2.2","2","4472"
"B05013","24-226","0,5","4473"
"B05013","8-3.5","0,25","4474"
"B05014","1-1.1","1","4475"
"B05014","1-1.2","1","4476"
"B05014","11-228","1","4477"
"B05014","19-2.2","2","4478"
"B05014","24-226","0,5","4479"
"B05014","8-3.5","0,25","4480"
"B05015","1-1.1","1","4481"
"B05015","1-1.2","2","4482"
"B05015","19-2.2","2","4483"
"B05015","24-226","0,25","4484"
"B05016","1-1.1","1","4485"
"B05016","1-1.2","2","4486"
"B05016","11-228","1","4487"
"B05016","19-2.2","2","4488"
