"CodMan","CodFam","Descri","Salari","Superv","FecMan"
"GAS004","01","GASTOS DE TRASLADO INTERNO EN SITIO UNA ","33,24","","4/5/2026 12:00:00 a. m."
"GAS005","01","TRASLADO CARACAS AL SITIO DE LA OBRA 200","44,32","","4/5/2026 12:00:00 a. m."
"GAS006","01","TRASLADO CARACAS AL SITIO DE LA OBRA > 5","49,86","","4/5/2026 12:00:00 a. m."
"LAB001","01","AUXILIAR DE LABORATORISTA","13,14","","4/5/2026 12:00:00 a. m."
"LAB002","01","LABORATORISTA I","13,14","","4/5/2026 12:00:00 a. m."
"LAB003","01","LABORATORISTA II","16,17","","4/5/2026 12:00:00 a. m."
"LAB005","01","LABORATORISTA JEFE","25,26","","4/5/2026 12:00:00 a. m."
"LAB006","01","INGENIERO DE SUELOS CIV P-7","43,27","","4/5/2026 12:00:00 a. m."
"LIB001","01","JEFE DE PLANTA","10,1","","4/5/2026 12:00:00 a. m."
"LIB002","01","CAPATAZ DE FABRICACION","10,1","","4/5/2026 12:00:00 a. m."
"LIB003","01","CAPATAZ DE GALVANIZADO","15,16","","4/5/2026 12:00:00 a. m."
"LIB004","01","GALVANIZADOR NIVEL -N7","3,52","","4/5/2026 12:00:00 a. m."
"LIB005","01","TAPICERO ESPECIALIZADO","15,16","","4/5/2026 12:00:00 a. m."
"LIB006","01","AYUDANTE DE TAPICERO","10,1","","4/5/2026 12:00:00 a. m."
"MET001","01","AISLADOR - METOR -C1","2,14","","4/5/2026 12:00:00 a. m."
"MET002","01","ALBAÑIL - METOR -C2","1,98","","4/5/2026 12:00:00 a. m."
"MET003","01","ANDAMIERO - METOR -C1","2,14","","4/5/2026 12:00:00 a. m."
"MET004","01","CABILLERO - METOR -C2","1,98","","4/5/2026 12:00:00 a. m."
"MET005","01","CAPATAZ - METOR -C1","2,14","","4/5/2026 12:00:00 a. m."
"MET006","01","CARPINTERO - METOR -C2","1,98","","4/5/2026 12:00:00 a. m."
"MET007","01","CHOFER - METOR -C2","1,98","","4/5/2026 12:00:00 a. m."
"MET008","01","ELECTRICISTA - METOR  C1","2,14","","4/5/2026 12:00:00 a. m."
"MET009","01","AYUDANTE - METOR -C3","1,83","","4/5/2026 12:00:00 a. m."
"MET010","01","INSPECTOR SHA / SSA METOR -C1","2,14","","4/5/2026 12:00:00 a. m."
"MET011","01","INSTRUMENTISTA - METOR C1","2,14","","4/5/2026 12:00:00 a. m."
"MET012","01","JARDINERO - METOR -C3","1,83","","4/5/2026 12:00:00 a. m."
"MET013","01","LIMPIADOR - METOR -C3","1,83","","4/5/2026 12:00:00 a. m."
"MET014","01","MECANICO - METOR C1","2,14","","4/5/2026 12:00:00 a. m."
"MET015","01","MECANICO DE REFRIGERACION- METOR C1","2,14","","4/5/2026 12:00:00 a. m."
"MET016","01","OBRERO - SECTOR PETROQUIMICO","1,83","","4/5/2026 12:00:00 a. m."
"MET017","01","OPERADOR DE GRUAS - METOR C1","2,14","","4/5/2026 12:00:00 a. m."
"MET018","01","OPERADOR DE MONTACARGAS - METOR C1","2,14","","4/5/2026 12:00:00 a. m."
"MET019","01","PINTOR - METOR -C2","1,98","","4/5/2026 12:00:00 a. m."
"MET020","01","PLOMERO - METOR -C2","1,98","","4/5/2026 12:00:00 a. m."
"MET021","01","SAMBLACISTA - METOR -C2","1,98","","4/5/2026 12:00:00 a. m."
"MET022","01","SOLDADOR - METOR -C1","2,14","","4/5/2026 12:00:00 a. m."
"MET023","01","TORNERO - METOR -C1","2,14","","4/5/2026 12:00:00 a. m."
"MET024","01","VIGILANTE - METOR -C2","1,98","","4/5/2026 12:00:00 a. m."
"MET025","01","LOGISTICA Y BIOSEGURIDAD (ANEXAR LISTADO","0","","4/5/2026 12:00:00 a. m."
"MET026","01","FABRICADOR DE ESTRUCTURAS METALICAS METO","2,14","","4/5/2026 12:00:00 a. m."
"MET027","01","OBRERO - AYUDANTE METOR -C3","1,83","","4/5/2026 12:00:00 a. m."
"MET028","01","CHOFER - METOR /F1 -C2","1,98","","4/5/2026 12:00:00 a. m."
"MET029","01","INSPECTOR SHA / SSA /F1 -C1","2,14","","4/5/2026 12:00:00 a. m."
"MET030","01","MECANICO - METOR /F1 - C1","2,14","","4/5/2026 12:00:00 a. m."
"MET031","01","OPERADOR DE GRUAS - METOR /F1 -  C1","2,14","","4/5/2026 12:00:00 a. m."
"MET032","01","OPERADOR DE MONTACARGAS - METOR /F1 -C1","2,14","","4/5/2026 12:00:00 a. m."
"MET033","01","PINTOR - METOR /F1 -C2","1,98","","4/5/2026 12:00:00 a. m."
"MET034","01","SOLDADOR - METOR / F1 -C1","2,14","","4/5/2026 12:00:00 a. m."
"MET035","01","FABRICADOR DE ESTRUCTURAS METALICAS/ F1-","2,14","","4/5/2026 12:00:00 a. m."
"MET036","01","OBRERO - AYUDANTE METOR/ F1 -C3","1,83","","4/5/2026 12:00:00 a. m."
"MET037","01","OPERADOR - METOR -C1","2,14","","4/5/2026 12:00:00 a. m."
"PAN001","01","PEON - AYUDANTE /INVERSION PRIVADA-PANAM","0","","4/5/2026 12:00:00 a. m."
"PAN002","01","PRINCIPIANTE /INVERSION PRIVADA-PANAMA $","0","","4/5/2026 12:00:00 a. m."
"PAN003","01","CALIFICADO /INVERSION PRIVADA-PANAMA $","0","","4/5/2026 12:00:00 a. m."
"PAN004","01","ESPECIALIZADO /SECTOR PRIVADO PANAMA $","0","","4/5/2026 12:00:00 a. m."
"PAN005","01","PEON - AYUDANTE /INVERSION PUBLICA-PANAM","0","","4/5/2026 12:00:00 a. m."
"PAN006","01","PRINCIPIANTE /INVERSION PUBLICA-PANAMA $","0","","4/5/2026 12:00:00 a. m."
"PAN007","01","CALIFICADO /INVERSION PUBLICA-PANAMA $","0","","4/5/2026 12:00:00 a. m."
"PAN008","01","SOLDADOR DE CAMPO/-PANAMA $","0","","4/5/2026 12:00:00 a. m."
"PAN009","01","SOLDADOR DE TALLER/-PANAMA $","0","","4/5/2026 12:00:00 a. m."
"PE$001","01","TRABAJADOR SECTOR  PETROLERO N01 ($ VE)","0,03","","4/5/2026 12:00:00 a. m."
"PE$002","01","TRABAJADOR SECTOR  PETROLERO N2 ($ VE)","0,03","","4/5/2026 12:00:00 a. m."
"PE$003","01","TRABAJADOR SECTOR  PETROLERO N3 ($ VE)","0,04","","4/5/2026 12:00:00 a. m."
"PE$004","01","TRABAJADOR SECTOR  PETROLERO N4 ($ VE)","0,04","","4/5/2026 12:00:00 a. m."
"PE$005","01","TRABAJADOR SECTOR  PETROLERO N5 ($ VE)","0,05","","4/5/2026 12:00:00 a. m."
"PE$006","01","TRABAJADOR SECTOR  PETROLERO N6 ($ VE)","0,05","","4/5/2026 12:00:00 a. m."
"PE$007","01","TRABAJADOR SECTOR  PETROLERO N7 ($ VE)","0,06","","4/5/2026 12:00:00 a. m."
"PE$008","01","TRABAJADOR SECTOR  PETROLERO N8 ($ VE)","0,07","","4/5/2026 12:00:00 a. m."
"PE$009","01","TRABAJADOR SECTOR  PETROLERO N9 ($ VE)","0,08","","4/5/2026 12:00:00 a. m."
"PE$010","01","TRABAJADOR SECTOR  PETROLERO N10 ($ VE)","0,08","","4/5/2026 12:00:00 a. m."
"PEB001","01","TRABAJADOR PETROLERO N01 (MERCADO BS VE)","3,03","","4/5/2026 12:00:00 a. m."
"PEB002","01","TRABAJADOR PETROLERO N10 (MERCADO BS VE)","8,59","","4/5/2026 12:00:00 a. m."
"PEB003","01","TRABAJADOR PETROLERO N2 (MERCADO BS VE)","3,54","","4/5/2026 12:00:00 a. m."
"PEB004","01","TRABAJADOR PETROLERO N3 (MERCADO BS VE)","4,04","","4/5/2026 12:00:00 a. m."
"PEB005","01","TRABAJADOR PETROLERO N4 (MERCADO BS VE)","4,55","","4/5/2026 12:00:00 a. m."
"PEB006","01","TRABAJADOR PETROLERO N5 (MERCADO BS VE)","5,05","","4/5/2026 12:00:00 a. m."
"PEB007","01","TRABAJADOR PETROLERO N6 (MERCADO BS VE)","5,56","","4/5/2026 12:00:00 a. m."
"PEB008","01","TRABAJADOR PETROLERO N7 (MERCADO BS VE)","6,06","","4/5/2026 12:00:00 a. m."
"PEB009","01","TRABAJADOR PETROLERO N8 (MERCADO BS VE)","7,58","","4/5/2026 12:00:00 a. m."
"PEB010","01","TRABAJADOR PETROLERO N9 (MERCADO BS VE)","8,08","","4/5/2026 12:00:00 a. m."
"PER001","01","OPERARIO- PERU $ (JORNAL BASICO)","0","","4/5/2026 12:00:00 a. m."
"PER002","01","OFICIAL- PERU $ (JORNAL BASICO)","0","","4/5/2026 12:00:00 a. m."
"PER003","01","PEON - PERU (JORNAL BASICO)","0","","4/5/2026 12:00:00 a. m."
"PET001","01","ACEITERO DE BARCO (SECTOR PETROLERO) N4","1,03","","4/5/2026 12:00:00 a. m."
"PET002","01","AFORADOR DE TANQUES (SECTOR PETROLERO) N","1,09","","4/5/2026 12:00:00 a. m."
"PET003","01","AISLADOR ""A"" (SECTOR PETROLERO) N6","1,07","","4/5/2026 12:00:00 a. m."
"PET004","01","AISLADOR ""B"" (SECTOR PETROLERO) N4","1,03","","4/5/2026 12:00:00 a. m."
"PET005","01","ALBAÑIL ""A""  (SECTOR PETROLERO) N8","1,11","","4/5/2026 12:00:00 a. m."
"PET006","01","ALBAÑIL ""B"" (SECTOR PETROLERO) N5","1,05","","4/5/2026 12:00:00 a. m."
"PET007","01","ALBAÑIL AYUDANTE (SECTOR PETROLERO) N2","0,99","","4/5/2026 12:00:00 a. m."
"PET008","01","APAREJADOR REFINERIA ""A"" (SECT PETROLERO","1,14","","4/5/2026 12:00:00 a. m."
"PET009","01","APAREJADOR REFINERIA ""B"" (SECT PETROLERO","1,11","","4/5/2026 12:00:00 a. m."
"PET010","01","ARMADOR CABRIAS ""A"" (SECTOR PETROLERO) N","1,09","","4/5/2026 12:00:00 a. m."
"PET011","01","ARMADOR CABRIAS ""B"" (SECTOR PETROLERO) N","1,03","","4/5/2026 12:00:00 a. m."
"PET012","01","ARMADOR TUBERIAS ""A"" (SECTOR PETROLERO) ","1,14","","4/5/2026 12:00:00 a. m."
"PET013","01","ARMADOR TUBERIAS ""B"" (SECTOR PETROLERO) ","1,11","","4/5/2026 12:00:00 a. m."
"PET014","01","ARMADOR TUBERIAS ""C"" (SECTOR PETROLERO) ","1,07","","4/5/2026 12:00:00 a. m."
"PET015","01","ARMADOR TUBERIAS AYUD. (SECTOR PETROLERO","1,01","","4/5/2026 12:00:00 a. m."
"PET016","01","AUXILIAR COMISARIATO (SECTOR PETROLERO) ","0,99","","4/5/2026 12:00:00 a. m."
"PET017","01","BOMBERO CONTRA INCENDIO ""A"" (SECT. PETRO","1,11","","4/5/2026 12:00:00 a. m."
"PET018","01","BOMBERO CONTRA INCENDIO ""B"" (SECT. PETRO","1,07","","4/5/2026 12:00:00 a. m."
"PET019","01","BUZO INDUSTRIAL (SECTOR PETROLERO) N8","1,11","","4/5/2026 12:00:00 a. m."
"PET020","01","CABILLERO (SECTOR PETROLERO) N3","1,01","","4/5/2026 12:00:00 a. m."
"PET021","01","CABILLERO AYUDANTE (SECTOR PETROLERO) N2","0,99","","4/5/2026 12:00:00 a. m."
"PET022","01","CABILLERO B (SECTOR PETROLERO) N2","0,99","","4/5/2026 12:00:00 a. m."
"PET023","01","CAMARERO ""A"" (SECTOR PETROLERO) N01-","0,97","","4/5/2026 12:00:00 a. m."
"PET024","01","CAPORAL ""A"" (SECTOR PETROLERO) N8","1,11","","4/5/2026 12:00:00 a. m."
"PET025","01","CAPORAL ""B"" (SECTOR PETROLERO) N6","1,07","","4/5/2026 12:00:00 a. m."
"PET026","01","CARPINTERO ""A"" (SECTOR PETROLERO) N8","1,11","","4/5/2026 12:00:00 a. m."
"PET027","01","CARPINTERO ""B"" (SECTOR PETROLERO) N5","1,05","","4/5/2026 12:00:00 a. m."
"PET028","01","CARRETERO/CADENERO TALADRO (SECT. PETROL","1,05","","4/5/2026 12:00:00 a. m."
"PET029","01","CHOFER ""A"" (SECTOR PETROLERO) N7","1,09","","4/5/2026 12:00:00 a. m."
"PET030","01","CHOFER ""B"" (SECTOR PETROLERO) N5","1,05","","4/5/2026 12:00:00 a. m."
"PET031","01","CHOFER ABASTECEDOR AEROPUERTO (SECT PETR","1,16","","4/5/2026 12:00:00 a. m."
"PET032","01","CHOFER COBRADOR ESPECIAL (SECTOR PETROLE","1,05","","4/5/2026 12:00:00 a. m."
"PET033","01","CHOFER ESPECIAL VEH. 30 TON (SECT PETROL","1,11","","4/5/2026 12:00:00 a. m."
"PET034","01","COCINERO ""A"" (SECTOR PETROLERO) N9","1,14","","4/5/2026 12:00:00 a. m."
"PET035","01","COCINERO ""B"" (SECTOR PETROLERO) N8","1,11","","4/5/2026 12:00:00 a. m."
"PET036","01","COCINERO ""C"" (SECTOR PETROLERO) N5","1,05","","4/5/2026 12:00:00 a. m."
"PET037","01","DESPACHADOR HERRAMIEMTAS ""A"" (SECT PETRO","1,07","","4/5/2026 12:00:00 a. m."
"PET038","01","DESPACHADOR HERRAMIENTAS ""B"" (SECT PETRO","1,01","","4/5/2026 12:00:00 a. m."
"PET039","01","DINAMITERO (SECTOR PETROLERO) N8","1,11","","4/5/2026 12:00:00 a. m."
"PET040","01","ELECTRICISTA ""A"" (SECTOR PETROLERO) N9","1,14","","4/5/2026 12:00:00 a. m."
"PET041","01","ELECTRICISTA ""B"" (SECTOR PETROLERO) N8","1,11","","4/5/2026 12:00:00 a. m."
"PET042","01","ELECTRICISTA ""C"" (SECTOR PETROLERO) N6","1,07","","4/5/2026 12:00:00 a. m."
"PET043","01","ELECTRICISTA AYUDANTE (SECTOR PETROLERO)","1,01","","4/5/2026 12:00:00 a. m."
"PET044","01","EMBARC. DESEMB. DE PETROLEO (SECTOR PETR","1,03","","4/5/2026 12:00:00 a. m."
"PET045","01","ENCUELLADOR (SECTOR PETROLERO) N6","1,07","","4/5/2026 12:00:00 a. m."
"PET046","01","ESTIBADOR (SECTOR PETROLERO) N01-","0,97","","4/5/2026 12:00:00 a. m."
"PET047","01","FABRICADOR DE ESTRUCT METAL. AYUD (SECT ","1,01","","4/5/2026 12:00:00 a. m."
"PET048","01","FABRICADOR DE ESTR. METALICA ""A"" (SECT P","1,14","","4/5/2026 12:00:00 a. m."
"PET049","01","FABRICADOR DE ESTR METALICA ""B"" (SECT PE","1,11","","4/5/2026 12:00:00 a. m."
"PET050","01","FABRICADOR DE ESTR. METALICA ""C"" (SECT. ","1,09","","4/5/2026 12:00:00 a. m."
"PET051","01","INSTALADOR GAS ""A"" (SECTOR PETROLERO) N7","1,09","","4/5/2026 12:00:00 a. m."
"PET052","01","INSTALADOR GAS ""B"" (SECTOR PETROLERO) N6","1,07","","4/5/2026 12:00:00 a. m."
"PET053","01","LIMPIADOR (SECTOR PETROLERO) N2","0,99","","4/5/2026 12:00:00 a. m."
"PET054","01","MAESTRO DE VOLADURAS (SECTOR PETROLERO) ","1,16","","4/5/2026 12:00:00 a. m."
"PET055","01","MAQUINISTA UNIDADES PESADAS (SECTOR PETR","1,11","","4/5/2026 12:00:00 a. m."
"PET056","01","MARINERO (SECTOR PETROLERO) N3","1,01","","4/5/2026 12:00:00 a. m."
"PET057","01","MECANICO AUTOMOTRIZ ""A"" (SECTOR PETROLER","1,14","","4/5/2026 12:00:00 a. m."
"PET058","01","MECANICO AUTOMOTRIZ ""B"" (SECTOR PETROLER","1,11","","4/5/2026 12:00:00 a. m."
"PET059","01","MECANICO AUTOMOTRIZ ""C"" (SECTOR PETROLER","1,07","","4/5/2026 12:00:00 a. m."
"PET060","01","MECANICO AYUDANTE (SECTOR PETROLERO) N3","1,01","","4/5/2026 12:00:00 a. m."
"PET061","01","INSTRUMENTISTA AYUDANTE (SECTOR PETROLER","1,01","","4/5/2026 12:00:00 a. m."
"PET062","01","INSTRUMENTISTA MANTENIMIENTO A (SECT PET","1,16","","4/5/2026 12:00:00 a. m."
"PET063","01","INSTRUMENTISTA DE MANTENIMIENTO B (SECT ","1,14","","4/5/2026 12:00:00 a. m."
"PET064","01","INSTRUMENTISTA DE MANTENIMIENTO C (SECT ","1,09","","4/5/2026 12:00:00 a. m."
"PET065","01","MECANICO DE REFRIGERACION ""A"" (SECT PETR","1,14","","4/5/2026 12:00:00 a. m."
"PET066","01","MECANICO DE REFRIGERACION ""B"" (SECT PETR","1,11","","4/5/2026 12:00:00 a. m."
"PET067","01","MECANICO DE REFRIGERACION ""C"" (SECT PETR","1,07","","4/5/2026 12:00:00 a. m."
"PET068","01","MECANICO DE REFRIGERACION AYUD (SECT PET","1,05","","4/5/2026 12:00:00 a. m."
"PET069","01","MOLDEADOR DE PARAFINA (SECTOR PETROLERO)","1,01","","4/5/2026 12:00:00 a. m."
"PET070","01","MOTORISTA (SECTOR PETROLERO) N5","1,05","","4/5/2026 12:00:00 a. m."
"PET071","01","MOTORISTA REMOLCADOR (SECTOR PETROLERO) ","1,11","","4/5/2026 12:00:00 a. m."
"PET072","01","OBRERO (SECTOR PETROLERO) N3","1,01","","4/5/2026 12:00:00 a. m."
"PET073","01","OBRERO DE COMEDOR (SECTOR PETROLERO) N3","1,01","","4/5/2026 12:00:00 a. m."
"PET074","01","OBRERO DE SISMOGRAFO (SECTOR PETROLERO) ","1,09","","4/5/2026 12:00:00 a. m."
"PET075","01","OBRERO DE TALADRO (SECTOR PETROLERO) N4","1,03","","4/5/2026 12:00:00 a. m."
"PET076","01","OFICIAL IMPERMEABILIZADOR ""A"" (SECTOR PE","1,11","","4/5/2026 12:00:00 a. m."
"PET077","01","OPERADOR EQUIPO LIMPIAR POZOS (SEC PETRO","1,16","","4/5/2026 12:00:00 a. m."
"PET078","01","OPERADOR EQUIPO LIMP. POZOS AYUD. (SECT ","1,09","","4/5/2026 12:00:00 a. m."
"PET079","01","OPERADOR DE GRUA PESADA MOVIBLE (SECT PE","1,11","","4/5/2026 12:00:00 a. m."
"PET080","01","OPER. INST. AGRIMENSURA ""A"" (SECTOR PETR","1,09","","4/5/2026 12:00:00 a. m."
"PET081","01","OPER. INST. AGRIMENSURA ""B"" (SECTOR PETR","1,05","","4/5/2026 12:00:00 a. m."
"PET082","01","CABILLERO A (SECTOR PETROLERO) N8","1,11","","4/5/2026 12:00:00 a. m."
"PET083","01","OPERADOR DE PLANTA ""A"" (SECTOR PETROLERO","1,16","","4/5/2026 12:00:00 a. m."
"PET084","01","OPERADOR DE PLANTA ""B"" (SECTOR PETROLERO","1,14","","4/5/2026 12:00:00 a. m."
"PET085","01","OPERADOR RETROEXCAV/CARGADORA (SECT PET)","1,11","","4/5/2026 12:00:00 a. m."
"PET086","01","OPERADOR TRACTOR CADENAS MOV. TIERRA (SE","1,09","","4/5/2026 12:00:00 a. m."
"PET087","01","OPERAD. TRACTOR PLUMA LAT.SIDEBOOM  (SEC","1,11","","4/5/2026 12:00:00 a. m."
"PET088","01","OPERADOR DE PRODUCCION ""A"" (SECTOR PETRO","1,16","","4/5/2026 12:00:00 a. m."
"PET089","01","OPERADOR DE PRODUCCION ""B"" (SECTOR PETRO","1,14","","4/5/2026 12:00:00 a. m."
"PET090","01","OPERADOR DE PRODUCCION ""C"" (SECTOR PETRO","1,11","","4/5/2026 12:00:00 a. m."
"PET091","01","OPERADOR DE PRODUCCION ""D"" (SECTOR PETRO","1,09","","4/5/2026 12:00:00 a. m."
"PET092","01","OPERADOR DE PRODUCCION ""E"" (SECTOR PETRO","1,07","","4/5/2026 12:00:00 a. m."
"PET093","01","OPERADOR DE REFINACION ""A"" (SECTOR PETRO","1,16","","4/5/2026 12:00:00 a. m."
"PET094","01","OPERADOR DE REFINACION ""B"" (SECTOR PETRO","1,14","","4/5/2026 12:00:00 a. m."
"PET095","01","OPERADOR DE REFINACION ""C"" (SECTOR PETRO","1,11","","4/5/2026 12:00:00 a. m."
"PET096","01","OPERADOR DE REFINACION ""D"" (SECTOR PETRO","1,09","","4/5/2026 12:00:00 a. m."
"PET097","01","OPERADOR DE REFINACION ""E"" (SECTOR PETRO","1,07","","4/5/2026 12:00:00 a. m."
"PET098","01","MECANICO DE MANTENIMIENTO ""A"" (SECT PETR","1,16","","4/5/2026 12:00:00 a. m."
"PET099","01","MECANICO DE MANTENIMIENTO ""B"" (SECTOR PE","1,14","","4/5/2026 12:00:00 a. m."
"PET100","01","MECANICO DE MANTENIMIENTO ""C"" (SECTOR PE","1,09","","4/5/2026 12:00:00 a. m."
"PET101","01","MECANICO DE MANTENIMIENTO AYUD. (SECTOR ","1,05","","4/5/2026 12:00:00 a. m."
"PET102","01","OPERADOR DE EQUIPOS ""A"" (SECTOR PETROLER","1,11","","4/5/2026 12:00:00 a. m."
"PET103","01","OPERADOR DE EQUIPOS ""B"" (SECTOR PETROLER","1,07","","4/5/2026 12:00:00 a. m."
"PET104","01","OPERADOR DE EQUIPOS ""C"" (SECTOR PETROLER","1,03","","4/5/2026 12:00:00 a. m."
"PET105","01","OPERADOR DE GRUA FLOTANTE ""A"" (SECTOR PE","1,14","","4/5/2026 12:00:00 a. m."
"PET106","01","OPERADOR DE GRUA FLOTANTE ""B"" (SECTOR PE","1,11","","4/5/2026 12:00:00 a. m."
"PET107","01","OPERADOR DE GRUA PESADA (SECTOR PETROLER","1,14","","4/5/2026 12:00:00 a. m."
"PET108","01","OPERARIO ""A"" (SECTOR PETROLERO) N8","1,11","","4/5/2026 12:00:00 a. m."
"PET109","01","OPERARIO ""B"" (SECTOR PETROLERO) N3","1,01","","4/5/2026 12:00:00 a. m."
"PET110","01","OPERADOR EQUIP. MOVER TIERRA ""A"" (SECT P","1,14","","4/5/2026 12:00:00 a. m."
"PET111","01","OPERADOR EQUIP. MOVER TIERRA ""B"" (SECT P","1,11","","4/5/2026 12:00:00 a. m."
"PET112","01","OPERADOR EQUIP. MOVER TIERRA ""C"" (SECT P","1,09","","4/5/2026 12:00:00 a. m."
"PET113","01","PATRON (SECTOR PETROLERO) N8","1,11","","4/5/2026 12:00:00 a. m."
"PET114","01","PATRON DE LANCHA REMOLCADOR (SECTOR PETR","1,14","","4/5/2026 12:00:00 a. m."
"PET115","01","PERFORADOR (SECTOR PETROL) N10","1,16","","4/5/2026 12:00:00 a. m."
"PET116","01","PERFORADOR AYUDANTE (SECTOR PETROLERO) N","1,07","","4/5/2026 12:00:00 a. m."
"PET117","01","PINTOR ""A"" (SECTOR PETROLERO) N5","1,05","","4/5/2026 12:00:00 a. m."
"PET118","01","PINTOR ""B"" (SECTOR PETROLERO) N2","0,99","","4/5/2026 12:00:00 a. m."
"PET119","01","PLOMERO (SECTOR PETROLERO) N5","1,05","","4/5/2026 12:00:00 a. m."
"PET120","01","PLOMERO AYUDANTE (SECTOR PETROLERO) N2","0,99","","4/5/2026 12:00:00 a. m."
"PET121","01","REPAR. EQUIPO COMUNICACION ""A"" (SECT. PE","1,16","","4/5/2026 12:00:00 a. m."
"PET122","01","REPAR. EQUIPO COMUNICACION ""B"" (SECT. PE","1,11","","4/5/2026 12:00:00 a. m."
"PET123","01","REPAR. EQUIPO COMUNICACION ""C"" (SECT. PE","1,07","","4/5/2026 12:00:00 a. m."
"PET124","01","REPAR. EQUIPO COMUNICACION AYUD. (SECT. ","1,01","","4/5/2026 12:00:00 a. m."
"PET125","01","REPARADOR DE POZO DE PRODUCCION (SECT PE","1,16","","4/5/2026 12:00:00 a. m."
"PET126","01","REVISOR DE POZO DE PRODUCCION (SECTOR PE","1,05","","4/5/2026 12:00:00 a. m."
"PET127","01","SOLDADOR ""A"" (SECTOR PETROLERO) N10","1,16","","4/5/2026 12:00:00 a. m."
"PET128","01","SOLDADOR ""B"" (SECTOR PETROLERO) N8","1,11","","4/5/2026 12:00:00 a. m."
"PET129","01","SOLDADOR ""C"" (SECTOR PETROLERO) N6","1,07","","4/5/2026 12:00:00 a. m."
"PET130","01","SOLDADOR AYUDANTE (SECTOR PETROLERO) N3","1,01","","4/5/2026 12:00:00 a. m."
"PET131","01","SOPLADOR/SAMBLASISTA SANDBLASTING (SECT ","1,03","","4/5/2026 12:00:00 a. m."
"PET132","01","TIMONEL (SECTOR PETROLERO) N4","1,03","","4/5/2026 12:00:00 a. m."
"PET133","01","VIGILANTE ""A"" (SECTOR PETROLERO) N6","1,07","","4/5/2026 12:00:00 a. m."
"PET134","01","VIGILANTE ""B"" (SECTOR PETROLERO) N5","1,05","","4/5/2026 12:00:00 a. m."
"PET135","01","MANTENEDOR INST. DE REFINERIA (SECT PETR","1,05","","4/5/2026 12:00:00 a. m."
"PET136","01","OPERADOR EQUIPO LIMP. POZOS ""B"" (SECT PE","1,11","","4/5/2026 12:00:00 a. m."
"PET137","01","OPERADOR DE VIBROCOMPACTADORA (SECT PETR","1,11","","4/5/2026 12:00:00 a. m."
"PET138","01","ALBAÑIL REFRACTARIO (SECTOR PETROLERO) N","1,11","","4/5/2026 12:00:00 a. m."
"PET139","01","ANDAMIERO (SECTOR PETROLERO) N7","1,09","","4/5/2026 12:00:00 a. m."
"PET140","01","APAREJADOR EQUIPO IZAMIENTO CARGA (SECT ","1,14","","4/5/2026 12:00:00 a. m."
"PET141","01","OPER. DE MOVIMIENTO DE PETROLEO (SECTOR ","1,14","","4/5/2026 12:00:00 a. m."
"PET142","01","OPERADOR PAVIMENTADORA FINISHER (SECT PE","1,16","","4/5/2026 12:00:00 a. m."
"PET143","01","OPERARIO PROYECTISTA REFRACTARIO (SECT P","1,11","","4/5/2026 12:00:00 a. m."
"PET144","01","OPERADOR DE PLANTA ""C"" (SECTOR PETROLERO","1,11","","4/5/2026 12:00:00 a. m."
"PET145","01","OPERADOR DE PLANTA ""D"" (SECTOR PETROLERO","1,09","","4/5/2026 12:00:00 a. m."
"PET146","01","OPERADOR DE PLANTA ""E"" (SECTOR PETROLERO","1,07","","4/5/2026 12:00:00 a. m."
"PET147","01","PERFORADOR SISMOGRAFO MECANIZADO (SECT P","1,11","","4/5/2026 12:00:00 a. m."
"PET148","01","REPARADOR CABLE SISMOGRAFICO (SEC PETROL","1,01","","4/5/2026 12:00:00 a. m."
"PET149","01","PERFORADOR SISMOGRAFO PORTATIL (SECT PET","1,11","","4/5/2026 12:00:00 a. m."
"PET150","01","TAQUEADOR SISMOGRAFICO (SECTOR PETROLERO","1,11","","4/5/2026 12:00:00 a. m."
"PET151","01","TUBERO FABRICADOR AYUDANTE (SECTOR PETRO","1,01","","4/5/2026 12:00:00 a. m."
"PET152","01","CHOFER CAMION 350 (SECTOR PETROLERO) N5","1,05","","4/5/2026 12:00:00 a. m."
"PET153","01","CHOFER SISMOGRAFICO (SECTOR PETROLERO) N","1,09","","4/5/2026 12:00:00 a. m."
"PET154","01","ESPESORISTA (SECTOR PETROLERO) N3","1,01","","4/5/2026 12:00:00 a. m."
"PET155","01","FABRICADOR DE TUBERIA (SECTOR PETROLERO)","1,09","","4/5/2026 12:00:00 a. m."
"PET156","01","ARMADOR/FABRICADOR ""A"" (SECTOR PETROLERO","1,14","","4/5/2026 12:00:00 a. m."
"PET157","01","ARMADOR/FABRICADOR ""B"" (SECTOR PETROLERO","1,11","","4/5/2026 12:00:00 a. m."
"PET158","01","ARMADOR/FABRICADOR AYUDANTE (SECTOR PETR","1,01","","4/5/2026 12:00:00 a. m."
"PET159","01","ARMADOR/FABRICADOR ""C"" (SECTOR PETROLERO","1,07","","4/5/2026 12:00:00 a. m."
"PET160","01","AYUDANTE BUZO INDUSTRIAL (SECTOR PETROLE","1,01","","4/5/2026 12:00:00 a. m."
"PET161","01","CHEQUEADOR DE SISMOGRAFO (SECTOR PETROLE","1,11","","4/5/2026 12:00:00 a. m."
"PET162","01","CHOFER TRANSP. DE COMBUSTIBLE (SECT PETR","1,16","","4/5/2026 12:00:00 a. m."
