"CodEqu","CodFam","Descri","CosEqu","CosDia","Deprec","Transp","FecEqu","Dep01","Provee","Man01","Rep01","TipEqu"
"CON039","00","EQUIPO MENOR PARA  ALCANT. CONCRETO/MORT","6,61","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"CON040","00","BOMBA PARA CONCRETO 25 M3/HR","132133,14","","0,0025","","4/5/2026 12:00:00 a. m.","1","RESANSIL C.A","","",""
"CON041","00","VIBRADOR PARA CONCRETO","880,87","","0,0095","","4/5/2026 12:00:00 a. m.","1","","","",""
"CON042","00","HORA DE PLANTA CONCRETO PC-750-18 M3/HR ","16846,97","","0,00112","","4/5/2026 12:00:00 a. m.","1","MAQUINARIAS GIANPRO C.A. - ALQUILER","","",""
"CON043","00","CORTADORA DE CABILLA HASTA D=1 3/8"" AUTO","1989,71","","0,003","","4/5/2026 12:00:00 a. m.","1","MAQUINARIAS GIANPRO C.A. - ALQUILER","","",""
"CON044","00","DOBLADORA DE CABILLA CON DIAMETRO INFERI","561,56","","0,01","","4/5/2026 12:00:00 a. m.","1","","","",""
"CON045","00","CORTADORA DE CABILLAS","9,88","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"CON046","00","EQUIPO P/ENCOFRADO ELEMENT. ESTRUCTURALE","4,4","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"CON047","00","CARRETON BUGGY 180 LT RUEDAS DE GOMA","1321,31","","0,005","","4/5/2026 12:00:00 a. m.","1","MAQUINARIAS GIANPRO C.A. - ALQUILER","","",""
"CON048","00","MEZCLADORA P/CONCRETO TROMPO 360 LT","99,12","","1","","4/5/2026 12:00:00 a. m.","1","DM Y ESTRUCTURAS C.A. (Andamios)","","",""
"CON049","00","MOTOCARRETON / MOTOCARRETILLA","165,19","","1","","4/5/2026 12:00:00 a. m.","1","SERVICIOS SOTICA CA /MAQUINARIA","","",""
"CON050","00","SILO SUMINISTRADO POR CEMENTERA LAPSO TO","143,12","","1","","4/5/2026 12:00:00 a. m.","1","VENEZOLANA DE CEMENTOS SACA","","",""
"CON051","00","MEZCLADORA P/CONCRETO TROMPO 360 L 8HP G","3853,91","","0,007","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"CON052","00","CIZALLA UNIVERSAL PUNZADORA OMERA 3HP O ","847,83","","0,003","","4/5/2026 12:00:00 a. m.","1","","","",""
"CON053","00","CIZALLA MANUAL P/CORTE DE ACERO/CABILLA","847,83","","0,02","","4/5/2026 12:00:00 a. m.","1","","","",""
"CON054","00","EQUIPO MEDIANO CABILLERO","4,4","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"CON055","00","EQUIPO MENOR PARA TENSADO Y ARMADO C/U","5,53","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"CON056","00","DESGASTE DE CORTADORA DE CONCRETO CADA M","7,69","","1","","4/5/2026 12:00:00 a. m.","1","ALQUIHERRAMIENTAS 2112 C.A.","","",""
"CON057","00","BOMBA DE PLUMA-JIRAFA P/CONCRETO","330,32","","1","","4/5/2026 12:00:00 a. m.","1","VENEZOLANA DE CEMENTOS SACA","","",""
"CON058","00","BOMBA ESTACIONARIA P/CONCRETO","220,22","","1","","4/5/2026 12:00:00 a. m.","1","VENEZOLANA DE CEMENTOS SACA","","",""
"CON059","00","BOMBA DE PLUMA-JIRAFA P/CONCRETO HASTA 4","407,41","","1","","4/5/2026 12:00:00 a. m.","1","VENEZOLANA DE CEMENTOS SACA","","",""
"CON060","00","MEZCLADORA P/CONCRETO 6 HP (DIESEL)","5505,55","","0,009","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"CON061","00","CORTADORA DE CONCRETO 14"" TIPO CARRO","275,29","","1","","4/5/2026 12:00:00 a. m.","1","DISTRIBUIDORA DIMPERCA C.A.","","",""
"CON062","00","DOBLADORA MANUAL DE CABILLA / ESTRIBOS","418,42","","0,00672","","4/5/2026 12:00:00 a. m.","1","","","",""
"CON063","00","DOBLADORA MANUAL CABILLA DIAMETRO INFERI","6,61","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"CON064","00","DOBLADORA AUTOMATICA DE CABILLAS HASTA D","14,3","","1","","4/5/2026 12:00:00 a. m.","1","MAQUINARIAS GIANPRO C.A. - ALQUILER","","",""
"CON065","00","PROYECTOR DE CONCRETO / EQUIPO GUNITE","110,11","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"COP001","00","TRACTOR CAT D-9 R US SIN RIPPER O SIMILA","998684,36","","0,003306","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP002","00","TRACTOR CAT D-9 R DS CON RIPPER O SIM","1461172,38","","0,002858","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP003","00","TRACTOR CAT D-8 R US SIN RIPPER O SIM","770776,7","","0,003065","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP004","00","TRACTOR CAT D-8 R US CON RIPPER O SIM","825832,18","","0,003168","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP005","00","TRACTOR CAT D-7 R O SIM ","715721,21","","0,002948","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP006","00","CARGADOR DE ORUGAS CAT 933-C 1,3 CY O SI","132133,14","","0,003541","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP007","00","CARGADOR DE ORUGAS CAT 963-B 3,0 M3 O SI","821442,03","","0,002804","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP008","00","CARGADOR DE ORUGAS CAT 953-C 2,25 CY O S","625557,95","","0,002734","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP009","00","CARGADOR DE CAUCHOS CAT 966-F (5,00 C Y)","308165,11","","0,00354","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP010","00","CARGADOR DE CAUCHOS CAT 950-F (4,00 C.Y)","211413,01","","0,003522","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP011","00","CARGADOR DE CAUCHOS CAT 988-F (8,0 CYD) ","590194,72","","0,003502","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP012","00","CARGADOR DE ORUGAS CAT 973 (3,75 CY) SIM","633049,89","","0,003381","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP013","00","MOTOTRAILLA CAT 631E (31 YD3)","1737550,87","","0,002661","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP014","00","BALLENA CAT 613-11 CY CISTERNA","440443,82","","0,003432","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP015","00","MOTONIVELADORA (PATROL) CAT 140 H","553081,84","","0,002511","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP016","00","MOTONIVELADORA (PATROL) CAT 12-H O SIM.","509593,48","","0,00252","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP017","00","EXCAVADORA CAT 325 BL O SIM (1,5 M3)","588873,39","","0,003106","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP018","00","EXCAVADORA CAT 320 B O SIM (1,4 M3)","483387,08","","0,002989","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP019","00","COMPACTADORA RODILLO CAT 825 C PATA DE C","466901,27","","0,004026","","4/5/2026 12:00:00 a. m.","1","GRUPO MAGNELEC C.A. (FERRETERIA)","","",""
"COP020","00","COMPACTADOR DE RODILLO CAT 815 C PATA DE","919380,23","","0,00282","","4/5/2026 12:00:00 a. m.","1","GRUPO MAGNELEC C.A. (FERRETERIA)","","",""
"COP021","00","COMPACTADORA DE RODILLO CAT 534 C","293509,55","","0,003191","","4/5/2026 12:00:00 a. m.","1","GRUPO MAGNELEC C.A. (FERRETERIA)","","",""
"COP022","00","COMPACTADORA DE RODILLO CAT 214 C","93208,92","","0,002967","","4/5/2026 12:00:00 a. m.","1","GRUPO MAGNELEC C.A. (FERRETERIA)","","",""
"COP023","00","COMPACTADORA CAUCHOS TAMPO CAT PS-200-B ","169362,76","","0,003269","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP024","00","FINISHER PAVIMENTADORA ASFALTO CAT MOD. ","715721,21","","0,003785","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP025","00","TIENDE TUBOS (SIDE BOOM) CAT 572-G 40 TO","743248,95","","0,002569","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP026","00","PERFILADORA DE ASFALTO CAT PR-450-C","1346656,98","","0,004086","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP027","00","RECUPERADORA DE ASFALTO CAT RR-250-B","909906,29","","0,003854","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP028","00","PAVIMENTADORA ASFALTO CAT AP 800 C","1431442,4","","0,003335","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP029","00","TRACTOR CAT D-6 R O SIM","319321,76","","0,003359","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP030","00","PAVIMENTADORA DE ASFALTO CAT AP 1050 B","1651664,33","","0,003268","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP031","00","RIPPER PARA TRACTOR CAT D-9","84785,45","","0,004606","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP032","00","RIPPER PARA TRACTOR CAT D-8","74324,89","","0,004581","","4/5/2026 12:00:00 a. m.","1","GRUPO MAGNELEC C.A. (FERRETERIA)","","",""
"COP033","00","CAMION ROQUERO EUCLID MOD. R-35 CAP 17 M","386929,92","","0,003215","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP034","00","PERFILADORA DE ASFALTO WIRTGEN 1900 DC","187188,62","","0,008943","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP035","00","RECUPERADORA DE ASFALTO CMI RS-500","583588,07","","0,004426","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP036","00","EXCAVADORA O&K RH-30","825832,18","","0,003517","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP037","00","PLANTA DE ASFALTO CEDARAPIDS MOD. H50C E","594599,17","","0,00317","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP038","00","MINICARGADOR MINISHOVEL BOBCAT 763 (0,38","37437,73","","0,004842","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP040","00","FINISHER ASFALTO CAT MOD. AP 200 C","672998,16","","0,003223","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP041","00","MINIFINISHER ASFALTO LEE BOY MODELO 900","47898,28","","0,004563","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP042","00","EXCAVADORA (JUMBO) CASE 9050 B","351253,94","","0,004541","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP043","00","EXCAVADORA (JUMBO) CASE 9030 B","227489,22","","0,004443","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP045","00","CAMIONETA FORD F-150 (SERVICIO AL TALLER","61111,6","","0,004398","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP046","00","CAMION FORD F- 350 ENGRASE LIVIANO","66066,55","","0,004161","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP047","00","CAMION FORD F- 350 SERVICIO AL CAMPO","71572,12","","0,004776","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP048","00","CAMION FORD F350 TECHADO CON ZORRA","66066,55","","0,004349","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP049","00","CAMION FORD F- 350 CON TECHO, LONA Y BAN","59459,92","","0,004358","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP050","00","CAMION FORD F- 7000 ENGRASE","232334,12","","0,002781","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP051","00","CAMION FORD F- 7000 ESTACAS","95796,53","","0,003394","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP052","00","CAMION FORD F- 7000 VOLTEO (6 M3)","111212,07","","0,003433","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP053","00","CAMION CISTERNA IVECO MP 190 E31H 20 TON","236738,53","","0,003465","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP055","00","CAMION IVECO IMPRIMADOR ROSCO MP 190 31H","116387,29","","0,00442","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP056","00","CAMION IVECO MP190 E-31H 20 TON 13000 LT","120020,94","","0,004362","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP057","00","CAMION IVECO MP-380-E37 H ROQUERO (CAP 2","243345,22","","0,003555","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP058","00","CAMION IVECO MP-380-E37 H VOLTEO 15 M3/2","231232,99","","0,003833","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP059","00","CHUTO MACK R-688 SX-HD (35 TON)","209404,58","","0,004142","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP060","00","CHUTO MACK MOD. R-686 LD (25 TON)","197693,21","","0,003884","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP061","00","CAMION PLATAFORMA MACK R-686-SX-LD (25 T","190491,94","","0,0034","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP062","00","BARREDORA MECANICA CHASIS FORD F-7000","352560,99","","0,002644","","4/5/2026 12:00:00 a. m.","1","ALQUIHERRAMIENTAS 2112 C.A.","","",""
"COP070","00","REMOLQUE ORINOCO CISTERNA 3 EJES 45000 L","23123,29","","0,006058","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP071","00","SEMI-REMOLQUE ORINOCO SILOS DE CEMENTO 4","40741,05","","0,00441","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP072","00","LOW-BOY ORINOCO L860M-CCB-CD-26 (60 TON)","60010,47","","0,004179","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP073","00","BATEA ORINOCO 3 EJES (CAP. 45TON)","61001,49","","0,003364","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP074","00","CAMIONETA FORD F-150","42943,28","","0,004979","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP075","00","CAMION FORD F- 350 ESTACAS","63864,35","","0,004429","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP076","00","RETROEXCAVADORA CASE 580 SUPER L O SIM","246648,53","","0,003032","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP077","00","RETROEXCAVADORA CAT 416B","255457,41","","0,002984","","4/5/2026 12:00:00 a. m.","1","GRUPO MAGNELEC C.A. (FERRETERIA)","","",""
"COP078","00","RETROEXCAVADORA CASE 580 K O SIM","121122,04","","0,003468","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP079","00","COMPACTADORA DE RODILLO CAT CB-224-C","198199,7","","0,002689","","4/5/2026 12:00:00 a. m.","1","GRUPO MAGNELEC C.A. (FERRETERIA)","","",""
"COP200","00","TRACTOR CATERPILLAR D3G XL","99099,87","","0,005187","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP201","00","TRACTOR CATERPILLAR D3G LGP","107908,74","","0,004968","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP202","00","TRACTOR CATERPILLAR D4G XL","111212,07","","0,005003","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP203","00","TRACTOR CATERPILLAR D4G LGP","122223,16","","0,004778","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP204","00","TRACTOR CATERPILLAR D5G XL ","122223,16","","0,005135","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP205","00","TRACTOR CATERPILLAR D5G LGP","126627,6","","0,005043","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP206","00","TRACTOR CATERPILLAR D6R FTC","225727,45","","0,005811","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP207","00","TRACTOR CATERPILLAR D6R STD PS DS","236187,99","","0,005652","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP208","00","TRACTOR CATERPILLAR D6R LGP","277479,63","","0,005145","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP209","00","TRACTOR CATERPILLAR D6M XL","189941,4","","0,006483","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP210","00","TRACTOR CATERPILLAR D6M LGP","214716,35","","0,005994","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP211","00","TRACTOR CATERPILLAR D7R LGP II","388691,69","","0,005422","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP212","00","TRACTOR CATERPILLAR D7R-DS II","367487,61","","0,004592","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP213","00","TRACTOR CATERPILLAR D8R II","454758,26","","0,005045","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP214","00","TRACTOR CATERPILLAR D10R","837393,8","","0,004618","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP215","00","TRACTOR JOHN DEERE 750C SERIE II","192914,39","","0,005649","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP216","00","TRACTOR JOHN DEERE 850C SERIE II","232279,06","","0,005685","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP217","00","TRACTOR JOHN DEERE 450H","94585,32","","0,004392","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP218","00","TRACTOR JOHN DEERE 550H LT","117268,17","","0,004309","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP219","00","TRACTOR JOHN DEERE 650H LT","127068,03","","0,004374","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP220","00","TRACTOR JOHN DEERE 1050C","499793,62","","0,004847","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP221","00","EXCAVADORA CATERPILLAR 311B","115065,97","","0,005592","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP222","00","EXCAVADORA CATERPILLAR 312C","127728,72","","0,00546","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP223","00","EXCAVADORA CATERPILLAR 315C","144245,33","","0,005806","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP224","00","EXCAVADORA CATERPILLAR 320 CL ","177829,2","","0,006362","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP225","00","EXCAVADORA CATERPILLAR 322 CL ","208660,25","","0,006525","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP226","00","EXCAVADORA CATERPILLAR 325 CL ","240041,86","","0,006512","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP227","00","EXCAVADORA CATERPILLAR 330 CL ","290692,93","","0,005927","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP228","00","EXCAVADORA CATERPILLAR 345 BL II ","421284,53","","0,005244","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP229","00","EXCAVADORA CATERPILLAR 365 B ME","646351,33","","0,004979","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP230","00","EXCAVADORA JOHN DEERE 200 C LC","178269,6","","0,006437","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP231","00","EXCAVADORA JOHN DEERE 120C","152118,28","","0,005649","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP232","00","EXCAVADORA JOHN DEERE 160 LC","178489,86","","0,005608","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP233","00","EXCAVADORA JOHN DEERE 230 CLC","218239,91","","0,006365","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP234","00","EXCAVADORA JOHN DEERE 270 C LC","250006,91","","0,006169","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP235","00","EXCAVADORA JOHN DEERE 330 CLC","331764,32","","0,005458","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP236","00","EXCAVADORA JOHN DEERE 450 CLC","477055,72","","0,004805","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP237","00","EXCAVADORA JOHN DEERE 600C","690725,99","","0,0048","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP238","00","EXCAVADORA VOLVO EC 140","133247,47","","0,006097","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP239","00","EXCAVADORA VOLVO EC 210","174486,24","","0,006032","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP240","00","EXCAVADORA VOLVO  EC 240","197283,59","","0,006166","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP242","00","EXCAVADORA VOLVO  EC 360","300046,85","","0,005464","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP243","00","EXCAVADORA VOLVO  EC 460","414540,22","","0,005374","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP244","00","EXCAVADORA O&K RH-30","853570,2","","0,0046","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP245","00","EXCAVADORA O&K RH-40","1031397,22","","0,004634","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP246","00","EXCAVADORA LIEBHERR R-942","315252,09","","0,005517","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP247","00","EXCAVADORA LIEBHERR R-962","474584,83","","0,005397","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP248","00","EXCAVADORA KOBELCO SK400","500630,45","","0,004953","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP249","00","EXCAVADORA KOBELCO SK200","222995,63","","0,005406","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP250","00","EXCAVADORA KOMATSU PC-200","260535,75","","0,005175","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP251","00","CARGADOR DE RUEDAS CATERPILLAR 914G","111952,01","","0,004946","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP252","00","CARGADOR DE RUEDAS CATERPILLAR 924G","135458,5","","0,004903","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP253","00","CARGADOR DE RUEDAS CATERPILLAR 928G","142849,13","","0,008205","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP254","00","CARGADOR DE RUEDAS CATERPILLAR 938G","167073,57","","0,007378","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP255","00","CARGADOR DE RUEDAS CATERPILLAR 950G","219151,63","","0,005166","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP256","00","CARGADOR DE RUEDAS CATERPILLAR 966E II","318128,17","","0,004949","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP257","00","CARGADOR DE RUEDAS CATERPILLAR 972G II","341251,47","","0,004967","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP258","00","CARGADOR DE RUEDAS CATERPILLAR 988G","711642,69","","0,00426","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP259","00","CARGADOR DE RUEDAS CATERPILLAR 990 II","1090208,56","","0,00431","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP260","00","CARGADOR DE RUEDAS JOHN DEERE 444H","120758,67","","0,005379","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
"COP261","00","CARGADOR DE RUEDAS JOHN DEERE 544H","141913,21","","0,005529","","4/5/2026 12:00:00 a. m.","1","VENEQUIP - CONSORCIO DE COGESTION","","",""
