"CodEqu","CodFam","Descri","CosEqu","CosDia","Deprec","Transp","FecEqu","Dep01","Provee","Man01","Rep01","TipEqu"
"ALB039","00","ASPERSOR/ROCIADOR -FUMIGADOR DE ESPALDA ","344,62","","0,009","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB040","00","REGLA DE MADERA","11,01","","0,02","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB041","00","PLOMADA IMPORTADA","34,12","","0,009","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB042","00","ESCUADRA METALICA ALUMINIO","19,82","","0,01","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB043","00","NIVEL, PLOMADA, ESCUADRA Y CINTA METRICA","71,59","","0,009","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB044","00","PIQUETA, TENAZA, CUCHARA PLANA (ALBAÑILE","89,19","","0,04","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB045","00","SIERRA ELECTRICA CIRCULAR","377,69","","0,02","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB046","00","TALADRO Y MECHA P/ ANCLAJES EN CONCRETO","33,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB047","00","TALADRO DE BAJA REVOLUCION PARA MEZCLADO","11,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB048","00","BARRA METALICA DE 1.47 MTS","84,8","","0,03","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB049","00","EQUIPO MENOR PARA DEMOLICION MANUAL","42,27","","0,04","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB050","00","EQUIPO LIVIANO DE ALBAÑILERIA","13,21","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB051","00","MARTILLO TIPO GOMA / MAZO DE GOMA","24,24","","0,01","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB052","00","HERRAMIENTAS MENORES PARA EXCAVACION","55,06","","0,064","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB053","00","BARRA METALICA PARA HOYAR L=1,47 MT","94,7","","0,02","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB054","00","HERRAMIENTAS PARA EXCAVACION A MANO","60,58","","0,044","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB055","00","HERRAMIENTAS MANUALES PARA EXCAVACION A ","120,02","","0,095","","4/5/2026 12:00:00 a. m.","1","","","",""
