"CodPar","CodIns","CanIns","Desper","Contad"
"EAA149","C-0037","0,015","5","10230"
"EAA149","REC009","1","5","10231"
"EAA150","C-0020","0,01","5","10232"
"EAA150","C-0022","0,02","3","10233"
"EAA150","REC009","0,25","5","10234"
"EAA151","C-0020","0,01","5","10235"
"EAA151","C-0022","0,02","3","10236"
"EAA152","AGR018","0,05","5","10237"
"EAA152","CEM041","0,3","5","10238"
"EAA152","COC323","1","5","10239"
"EAA152","VAL051","1","0","10240"
"EAA153","AGR018","0,05","5","10241"
"EAA153","CEM041","0,3","5","10242"
"EAA153","COC341","1","5","10243"
"EAA153","VAL051","1","0","10244"
"EAA154","AGR018","0,08","5","10245"
"EAA154","COC328","1","5","10246"
"EAA154","VAL051","1","0","10247"
"EAA155","AGR018","0,08","5","10248"
"EAA155","COC329","1","5","10249"
"EAA155","VAL051","1","0","10250"
"EAA156","AGR018","0,08","5","10251"
"EAA156","COC359","1","5","10252"
"EAA156","VAL051","1","0","10253"
"EAA157","AGR001","0,015","5","10254"
"EAA157","AGR023","0,4","5","10255"
"EAA157","CEM005","0,2","5","10256"
"EAA157","VAL140","0,2","0","10257"
"EAA158","AGR001","0,01","5","10258"
"EAA158","AGR023","0,45","5","10259"
"EAA158","CEM005","0,22","5","10260"
"EAA158","VAL140","0,2","0","10261"
"EAA159","REC011","0,09","5","10262"
"EAA159","REC037","1","5","10263"
"EAA160","AGR001","0,01","5","10264"
"EAA160","AGR018","0,06","5","10265"
"EAA160","CEM005","0,07","5","10266"
"EAA160","CEM041","0,305","5","10267"
"EAA160","ESP096","0,1","3","10268"
"EAA160","REC011","0,3","5","10269"
"EAA160","REC027","1","5","10270"
"EAA160","VAL016","1","0","10271"
"EAA161","AGR001","0,01","5","10272"
"EAA161","CEM005","0,07","5","10273"
"EAA161","ESP096","0,1","3","10274"
"EAA161","REC011","0,4","5","10275"
"EAA161","REC024","1","5","10276"
"EAA161","VAL016","1","0","10277"
"EAA162","CON104","0,03","5","10278"
"EAA162","VAL066","0,03","0","10279"
"EAA163","AGR001","0,007","5","10280"
"EAA163","AGR002","0,01","5","10281"
"EAA163","CEM041","0,17","5","10282"
"EAA163","VAL006","0,17","0","10283"
"EAA163","VAL021","0,17","0","10284"
"EAA164","AGR001","0,017","5","10285"
"EAA164","AGR002","0,01","5","10286"
"EAA164","CEM041","0,17","5","10287"
"EAA164","VAL006","0,17","0","10288"
"EAA164","VAL021","0,07","0","10289"
"EAA165","C-0017","0,004","5","10290"
"EAA165","C-0040","0,04","3","10291"
"EAA166","C-0017","0,005","5","10292"
"EAA166","C-0040","0,05","3","10293"
"EAA167","C-0016","0,04","3","10294"
"EAA168","C-0040","0,04","3","10295"
"EAA169","ACA148","0,75","5","10296"
"EAA169","AGR001","0,05","5","10297"
"EAA169","AGR002","0,1","5","10298"
"EAA169","CEM041","4,5","5","10299"
"EAA170","C-0011","0,03","5","10300"
"EAA171","C-0012","0,0025","3","10301"
"EAA171","C-0018","0,004","5","10302"
"EAA172","C-0012","0,0025","3","10303"
"EAA172","C-0018","0,004","5","10304"
"EAA173","C-0012","0,0025","3","10305"
"EAA173","C-0018","0,004","5","10306"
"EAA174","C-0012","0,0025","3","10307"
"EAA174","C-0018","0,004","5","10308"
"EAA175","C-0012","0,0025","3","10309"
"EAA175","C-0018","0,004","5","10310"
"EAA176","C-0012","0,0025","3","10311"
"EAA176","C-0018","0,004","5","10312"
"EAA177","CON023","0,07","5","10313"
"EAA177","VAL053","0,07","0","10314"
"EAA178","CON023","0,12","5","10315"
"EAA178","VAL053","0,12","0","10316"
"EAA179","COC360","1","0","10317"
"EAA179","HER003","0,01","5","10318"
"EAA180","ACA113","2","2","10319"
"EAA180","ACE124","2","5","10320"
"EAA180","LAM106","1","2","10321"
"EAA181","AGR001","0,0058","5","10322"
"EAA181","AGR018","0,0335","5","10323"
"EAA181","CEM005","0,07","5","10324"
"EAA181","CEM041","0,294","5","10325"
"EAA181","MT1823","0,2","3","10326"
"EAA181","REC011","0,15","5","10327"
"EAA181","REC115","1","5","10328"
"EAA182","AGR001","0,0058","5","10329"
"EAA182","CEM005","0,004","5","10330"
"EAA182","MT1823","0,1","3","10331"
"EAA182","REC011","0,15","5","10332"
"EAA182","REC115","0,3","5","10333"
"EAA183","REC104","1","0","10334"
"EAA184","REC064","0,01","5","10335"
"EAA185","C-0012","0,03","3","10336"
"EAA185","C-0043","0,007","3","10337"
"EAA186","C-0012","0,03","3","10338"
"EAA186","C-0043","0,007","3","10339"
"EAA187","AGR001","0,01","5","10340"
"EAA187","AGR002","0,02","5","10341"
"EAA187","ARC073","17","5","10342"
"EAA187","CEM002","0,022","5","10343"
"EAA187","CEM041","0,22","5","10344"
"EAA191","AGR001","0,015","5","10345"
"EAA191","AGR002","0,05","5","10346"
"EAA191","CEM041","0,4","5","10347"
"EAA191","CON211","0,04","2","10348"
"EAA191","CON213","0,0208","2","10349"
"EAA191","VAL132","1,782","0","10350"
"EAA191","VAL140","0,4","0","10351"
"EAA192","AGR001","0,3","5","10352"
"EAA192","AGR043","1","5","10353"
"EAA192","CON023","0,04","5","10354"
"EAA192","VAL263","1","0","10355"
"EAA193","AGR001","0,3","5","10356"
"EAA193","CON023","0,04","5","10357"
"EAA193","REC078","1","3","10358"
"EAA193","VAL263","1","0","10359"
"EAA194","AGR001","0,3","5","10360"
"EAA194","AGR031","1","5","10361"
"EAA194","CON023","0,04","5","10362"
"EAA194","VAL263","1","0","10363"
"EAA195","AGR001","0,3","5","10364"
"EAA195","CON023","0,04","5","10365"
"EAA195","REC078","1","3","10366"
"EAA195","VAL263","1","0","10367"
"EAA196","AGR001","0,3","5","10368"
"EAA196","CON023","0,04","5","10369"
"EAA196","REC078","1","3","10370"
"EAA196","VAL263","1","0","10371"
"EAA197","AGR031","1","5","10372"
"EAA197","CON023","0,04","5","10373"
"EAA197","VAL263","1","0","10374"
"EAA198","AGR001","0,3","5","10375"
"EAA198","CON023","0,04","5","10376"
"EAA198","REC078","1","3","10377"
"EAA198","VAL263","1","0","10378"
"EAA199","AGR001","0,3","5","10379"
"EAA199","AGR031","1","5","10380"
"EAA199","CON023","0,04","5","10381"
"EAA199","VAL263","1","0","10382"
"EAA200","AGR001","0,007","5","10383"
"EAA200","AGR018","0,04","5","10384"
"EAA200","CEM002","0,02","5","10385"
"EAA200","CEM041","0,34","5","10386"
"EAA200","MT116","1,2","5","10387"
"EAA201","AGR001","0,007","5","10388"
"EAA201","AGR018","0,04","5","10389"
"EAA201","CEM002","0,02","5","10390"
"EAA201","CEM041","0,34","5","10391"
"EAA201","MT116","1,2","5","10392"
"EAA202","AGR001","0,007","5","10393"
"EAA202","AGR018","0,04","5","10394"
"EAA202","CEM002","0,02","5","10395"
"EAA202","CEM041","0,34","5","10396"
"EAA202","REC046","1","10","10397"
"EAA203","AGR001","0,007","5","10398"
"EAA203","AGR018","0,04","5","10399"
"EAA203","CEM002","0,02","5","10400"
"EAA203","CEM041","0,34","5","10401"
"EAA203","REC046","1","10","10402"
"EAA204","AGR001","0,007","5","10403"
"EAA204","AGR018","0,04","5","10404"
"EAA204","CEM002","0,02","5","10405"
"EAA204","CEM041","0,34","5","10406"
"EAA204","REC046","1","10","10407"
"EAA205","AGR001","0,007","5","10408"
"EAA205","AGR018","0,04","5","10409"
"EAA205","CEM002","0,02","5","10410"
"EAA205","CEM041","0,34","5","10411"
"EAA205","REC046","1","10","10412"
"EAA206","AGR001","0,0067","5","10413"
"EAA206","AGR018","0,0383","5","10414"
"EAA206","CEM002","0,02","5","10415"
"EAA206","CEM041","0,336","5","10416"
"EAA206","MT116","1","5","10417"
"EAA207","AGR001","0,007","5","10418"
"EAA207","CEM041","0,2","5","10419"
"EAA207","CON020","0,25","5","10420"
"EAA207","PIN094","0,3","5","10421"
"EAA208","AGR001","0,01","5","10422"
"EAA208","AGR002","0,06","5","10423"
"EAA208","ARC048","60","5","10424"
"EAA208","CEM041","0,61","5","10425"
"EAA208","VAL036","60","0","10426"
"EAA209","AGR001","0,009","5","10427"
"EAA209","AGR018","0,0535","5","10428"
"EAA209","CEM041","0,69","5","10429"
"EAA209","CON450","0,07","5","10430"
"EAA209","CON452","0,01","5","10431"
"EAA209","VAL006","0,69","0","10432"
"EAA209","VAL021","0,0535","0","10433"
"EAA210","AGR001","0,009","5","10434"
"EAA210","AGR018","0,0535","5","10435"
"EAA210","CEM041","0,69","5","10436"
"EAA210","CON450","0,1","5","10437"
"EAA210","CON452","0,01","5","10438"
"EAA210","VAL006","0,69","0","10439"
"EAA210","VAL021","0,0535","0","10440"
"EAA211","AGR001","0,009","5","10441"
"EAA211","AGR018","0,0535","5","10442"
"EAA211","CEM041","0,69","5","10443"
"EAA211","CON450","0,15","5","10444"
"EAA211","CON452","0,01","5","10445"
"EAA211","VAL006","0,69","0","10446"
"EAA211","VAL021","0,0535","0","10447"
"EAA212","AGR001","0,009","5","10448"
"EAA212","AGR018","0,0535","5","10449"
"EAA212","CEM041","0,69","5","10450"
"EAA212","CON452","0,01","5","10451"
"EAA212","CON453","0,08","5","10452"
"EAA212","VAL006","0,69","0","10453"
"EAA212","VAL021","0,0535","0","10454"
"EAA213","AGR001","0,009","5","10455"
"EAA213","AGR018","0,0535","5","10456"
"EAA213","CEM041","0,69","5","10457"
"EAA213","CON452","0,01","5","10458"
"EAA213","CON453","0,12","5","10459"
"EAA213","VAL006","0,69","0","10460"
"EAA213","VAL021","0,0535","0","10461"
"EAA214","AGR001","0,009","5","10462"
"EAA214","AGR018","0,0535","5","10463"
"EAA214","CEM041","0,69","5","10464"
"EAA214","CON452","0,01","5","10465"
"EAA214","CON453","0,2","5","10466"
"EAA214","VAL006","0,69","0","10467"
"EAA214","VAL021","0,0535","0","10468"
"EAA215","ACA148","0,335","5","10469"
"EAA215","AGR018","0,042","5","10470"
"EAA215","CEM041","0,5485","5","10471"
"EAA215","MT120","0,02","5","10472"
"EAA215","REC021","0,335","5","10473"
"EAA215","REC114","0,05","5","10474"
"EAA215","VAL051","1","0","10475"
"EAA216","ACA148","0,335","5","10476"
"EAA216","AGR018","0,042","5","10477"
"EAA216","CEM041","0,5485","5","10478"
"EAA216","MT120","0,02","5","10479"
"EAA216","REC007","2,2","5","10480"
"EAA216","REC021","0,335","5","10481"
"EAA216","REC114","0,05","5","10482"
"EAA216","VAL051","1","0","10483"
"EAA217","ACA146","2,1","5","10484"
"EAA217","ACA148","0,1667","5","10485"
"EAA217","C-0022","0,035","3","10486"
"EAA217","C-0037","0,015","5","10487"
"EAA217","PIN102","0,05","5","10488"
"EAA217","REC009","1","5","10489"
"EAA217","REC109","0,335","5","10490"
"EAA217","REC111","0,1667","5","10491"
"EAA218","AGR018","0,042","5","10492"
"EAA218","CEM041","0,5485","5","10493"
"EAA218","REC021","0,335","5","10494"
"EAA218","VAL051","1","0","10495"
"EAA219","AGR018","0,042","5","10496"
"EAA219","CEM041","0,5485","5","10497"
"EAA219","REC007","2,2","5","10498"
"EAA219","REC021","0,335","5","10499"
"EAA219","VAL051","1","0","10500"
"EAA220","AGR001","0,016","5","10501"
"EAA220","AGR002","0,05","5","10502"
"EAA220","ARC096","16","5","10503"
"EAA220","CEM002","0,03","5","10504"
"EAA220","CEM041","0,25","5","10505"
"EAA221","AGR001","0,01","5","10506"
"EAA221","AGR002","0,06","5","10507"
"EAA221","ARC048","60","5","10508"
"EAA221","CEM002","0,7","5","10509"
"EAA221","CEM041","0,61","5","10510"
"EAA221","VAL036","60","0","10511"
"EAA222","AGR001","0,01","5","10512"
"EAA222","AGR002","0,08","5","10513"
"EAA222","ARC048","123","5","10514"
"EAA222","CEM002","0,2","5","10515"
"EAA222","CEM041","0,75","5","10516"
"EAA222","VAL036","123","0","10517"
"EAA223","AGR001","0,016","5","10518"
"EAA223","AGR002","0,05","5","10519"
"EAA223","ARC070","17","5","10520"
"EAA223","CEM002","0,03","5","10521"
"EAA223","CEM041","0,25","5","10522"
"EAA224","AGR001","0,012","5","10523"
"EAA224","AGR002","0,09","5","10524"
"EAA224","CEM041","0,047","5","10525"
"EAA224","COC005","13","5","10526"
"EAA225","AGR001","0,012","5","10527"
"EAA225","AGR002","0,09","5","10528"
"EAA225","CEM041","0,047","5","10529"
"EAA225","COC362","13","5","10530"
"EAA226","REC011","0,04","5","10531"
"EAA226","REC090","1","0","10532"
"EAA226","VAL069","1","0","10533"
"EAA227","AGR001","0,007","5","10534"
"EAA227","AGR002","0,01","5","10535"
"EAA227","AGR011","0,06","5","10536"
"EAA227","CEM001","0,17","5","10537"
"EAA227","CEM041","0,17","5","10538"
"EAA227","CON092","0,01","2","10539"
"EAA227","VAL006","0,17","0","10540"
"EAA227","VAL021","0,07","0","10541"
"EAA228","ACE669","0,04","3","10542"
"EAA228","MAU007","0,03","0","10543"
"EAA228","REC092","0,02","5","10544"
"EAA229","ACE669","0,02","3","10545"
"EAA229","MAU011","0,1","0","10546"
"EAA229","REC092","0,01","5","10547"
"EAA229","REC093","0,005","5","10548"
"EAA229","REC114","0,01","5","10549"
"EAA230","C-0011","0,05","5","10550"
"EAA230","CEM041","0,05","5","10551"
"EAA230","CON020","3,5","5","10552"
"EAA231","AGR018","0,042","5","10553"
"EAA231","CEM005","0,5","5","10554"
"EAA231","REC021","0,5","5","10555"
"EAA231","VAL051","1","0","10556"
"EAA232","MAU011","0,1","0","10557"
"EAA232","REC114","0,01","5","10558"
"EAA233","AGR001","0,01","5","10559"
"EAA233","AGR056","0,01","5","10560"
"EAA233","CEM002","0,5","5","10561"
"EAA233","CEM041","0,15","5","10562"
"EAA233","VAL006","0,15","0","10563"
"EAA233","VAL021","0,02","0","10564"
"EAA233","VAL055","0,5","0","10565"
"EAA234","AGR001","0,01","5","10566"
"EAA234","AGR056","0,01","5","10567"
"EAA234","CEM002","0,5","5","10568"
"EAA234","CEM041","0,15","5","10569"
"EAA234","VAL006","0,15","0","10570"
"EAA234","VAL021","0,02","0","10571"
"EAA234","VAL055","0,5","0","10572"
"EAA235","AGR001","0,015","5","10573"
"EAA235","AGR070","0,06","5","10574"
"EAA235","CEM001","0,2","5","10575"
"EAA235","CEM041","0,25","5","10576"
"EAA235","VAL006","0,25","0","10577"
"EAA235","VAL055","0,2","0","10578"
"EAA235","VAL134","6","0","10579"
"EAA236","REC053","1","5","10580"
"EAA237","C-0011","0,024","5","10581"
"EAA237","CEM041","0,05","5","10582"
"EAA238","C-0029","0,12","3","10583"
"EAA238","C-0050","0,07","3","10584"
"EAA238","COC018","12,5","5","10585"
"EAA238","VAL022","12,5","0","10586"
"EAA238","VAL201","0,19","0","10587"
"EAA239","C-0012","0,02","3","10588"
"EAA239","C-0018","0,005","5","10589"
"EAA240","REC140","1","5","10590"
"EAA241","AGR001","0,01","5","10591"
"EAA241","CEM005","0,07","5","10592"
"EAA241","ESP096","0,1","3","10593"
"EAA241","REC035","0,4","5","10594"
"EAA241","REC127","1","5","10595"
"EAA241","VAL016","1","0","10596"
"EAA242","MT3088","1","5","10597"
"EAA242","VAL068","1","0","10598"
"EAA243","REC006","1","5","10599"
"EAA243","VAL068","1","0","10600"
"EAA244","AGR001","0,012","5","10601"
"EAA244","AGR002","0,024","5","10602"
"EAA244","ARC076","17","5","10603"
"EAA244","CEM002","0,03","5","10604"
"EAA244","CEM041","0,2","5","10605"
"EAA342","AGR056","0,0294","5","10606"
"EAA342","CEM005","0,02","5","10607"
"EAA342","CEM041","0,2625","5","10608"
"EAA342","REC035","0,4","5","10609"
"EAA342","REC127","1","5","10610"
"EAA342","VAL006","0,2825","0","10611"
"EAA342","VAL021","0,0294","0","10612"
"EAA342","VAL056","1","0","10613"
"EAC001","ACE124","4","5","10614"
"EAC001","CAR001","1","5","10615"
"EAC002","CAR006","1","0","10616"
"EAC003","CAR004","1","0","10617"
"EAC004","CAR003","1","0","10618"
"EAC005","CAR002","1","0","10619"
"EAC006","CAR004","1","0","10620"
"EAC007","CAR020","1","0","10621"
"EAC008","CAR004","1","0","10622"
"EAC009","CAR052","1","0","10623"
"EAC010","CAR086","1","0","10624"
"EAC011","CAR081","1","1","10625"
"EAC012","CAR082","1","0","10626"
"EAC013","CAR120","1","0","10627"
"EAC014","VID023","1","5","10628"
"EAC015","CAR103","2,4","0","10629"
"EAC015","CAR104","3","0","10630"
"EAC015","CAR105","0,05","0","10631"
"EAC015","CAR106","0,0133","10","10632"
"EAC015","HER063","1,5","5","10633"
"EAC016","CAR083","1","0","10634"
"EAC017","CAR084","1","0","10635"
"EAC018","CAR057","1","0","10636"
"EAC019","CAR004","1","0","10637"
"EAC020","CAR094","1","0","10638"
"EAC021","CAR185","1","0","10639"
"EAC022","CAR186","1","0","10640"
"EAC023","CAR187","1","0","10641"
"EAC024","CAR053","1","5","10642"
"EAC025","CAR053","1","5","10643"
"EAC026","CAR196","1","5","10644"
"EAC027","CAR196","1","5","10645"
"EAC028","CAR047","1","2","10646"
"EAC028","CAR071","3","5","10647"
"EAC029","CAR047","1","2","10648"
"EAC029","CAR071","3","5","10649"
"EAC030","CAR232","1","2","10650"
"EAC031","CAR182","1","0","10651"
"EAC033","CAR071","3","5","10652"
"EAC033","CAR075","1","2","10653"
"EAC034","ACA193","1","0","10654"
"EAC034","CAR072","1","0","10655"
"EAD001","CON002","0,0417","3","10656"
"EAD002","CON067","0,5","5","10657"
"EAD003","CON119","1","0","10658"
"EAD004","CON067","0,5","5","10659"
"EAD004","PLO791","4","5","10660"
"EAD005","CON002","0,03","3","10661"
"EAD005","PIN040","0,02","2","10662"
"EAD005","PIN142","0,02","0","10663"
"EAD006","APA053","0,01","0","10664"
"EAD006","APA054","0,005","0","10665"
"EAD006","CON091","0,02","5","10666"
"EAD007","CON230","0,2","5","10667"
"EAD007","PIN040","0,25","2","10668"
"EAD008","CON067","0,2","5","10669"
"EAD009","CON091","0,02","5","10670"
"EAH001","CAR013","1","0","10671"
"EAH001","CON023","0,005","5","10672"
"EAH001","VAL061","1","0","10673"
"EAH002","CON023","0,005","5","10674"
"EAH002","LAM065","1","5","10675"
"EAH002","VAL264","1","0","10676"
"EAH003","ACE070","1","5","10677"
"EAH003","C-0030","0,003","3","10678"
"EAH003","ENC059","1","0","10679"
"EAH003","VAL114","1","0","10680"
"EAH003","VAL255","0,003","0","10681"
"EAH004","C-0030","0,0045","3","10682"
"EAH004","ENC054","0,2","5","10683"
"EAH004","HER105","1","5","10684"
"EAH004","VAL186","1","0","10685"
"EAH005","ACE411","7","5","10686"
"EAH005","VAL109","7","0","10687"
"EAH006","ACA010","1","0","10688"
"EAH006","LAM063","1","5","10689"
"EAH006","VAL262","1","0","10690"
"EAH007","ACA010","1","0","10691"
"EAH007","LAM046","1","0","10692"
"EAH007","VAL262","1","0","10693"
"EAH008","PLO028","0,5","5","10694"
"EAH008","PLO198","1","5","10695"
"EAH008","VAL069","1","0","10696"
"EAH009","ACE067","1","5","10697"
"EAH009","C-0030","0,006","3","10698"
"EAH009","ENC059","1","0","10699"
"EAH009","VAL186","1","0","10700"
"EAH010","LAM065","1","5","10701"
"EAH010","VAL016","1","0","10702"
"EAH011","CAR034","1","0","10703"
"EAH011","VAL261","1","0","10704"
"EAH012","ACE318","2","2","10705"
"EAH012","HER001","0,02","2","10706"
"EAH012","HER008","0,02","2","10707"
"EAH012","HER013","0,02","5","10708"
"EAH012","PLO304","1","5","10709"
"EAH012","VAL026","1","0","10710"
"EAH013","CAR031","1","0","10711"
"EAH013","ELA026","1","0","10712"
"EAH014","ACA010","1","0","10713"
"EAH014","LAM014","1","0","10714"
"EAH014","VAL016","1","0","10715"
"EAH014","VID021","1","5","10716"
"EAH016","ACA126","1","0","10717"
"EAH016","MT131","1","0","10718"
"EAH017","ACA010","1","0","10719"
"EAH017","LAM011","1","0","10720"
"EAH018","ACE124","4","5","10721"
"EAH018","CON023","0,002","5","10722"
"EAH018","LAM012","1","0","10723"
"EAH019","MT667","1","0","10724"
"EAH019","VAL192","1","0","10725"
"EAH020","C-0033","0,05","3","10726"
"EAH020","CAR005","0,3","0","10727"
"EAH020","CAR071","1,5","5","10728"
"EAH020","HER052","0,25","5","10729"
"EAH020","MT125","1","0","10730"
"EAH021","CAR058","1","0","10731"
"EAH021","CAR071","1,5","5","10732"
"EAH022","CON023","0,002","5","10733"
"EAH022","HER019","1","0","10734"
"EAH022","HER036","1","0","10735"
"EAH022","HER049","1","0","10736"
"EAH022","LAM026","1","5","10737"
"EAH022","VAL097","1","0","10738"
"EAH023","HER053","0,5","1","10739"
"EAH023","MT124","1","0","10740"
"EAH023","MT1696","2","0","10741"
"EAH024","ACE118","3","0","10742"
"EAH024","HER052","0,1","5","10743"
"EAH024","VAL109","3","0","10744"
"EAH025","C-0030","0,0045","3","10745"
"EAH025","ENC059","1","0","10746"
"EAH025","HER105","1","5","10747"
"EAH025","VAL012","1","0","10748"
"EAH026","ACA010","1","0","10749"
"EAH026","LAM009","1","0","10750"
"EAH026","VAL263","1","0","10751"
"EAH026","VID034","1","5","10752"
"EAH027","ACA140","0,2","5","10753"
"EAH027","ACE158","0,5","5","10754"
"EAH027","HER013","0,2","5","10755"
"EAH027","HER044","9","5","10756"
"EAH028","ACA140","0,2","5","10757"
"EAH028","ACE158","0,7","5","10758"
"EAH028","HER013","0,3","5","10759"
"EAH028","HER043","8","5","10760"
"EAH028","HER047","4","5","10761"
"EAH029","CON023","0,002","5","10762"
"EAH029","HER019","1","0","10763"
"EAH029","HER036","1","0","10764"
"EAH029","LAM031","1","5","10765"
"EAH030","LAM047","1","0","10766"
"EAH030","MT667","1","0","10767"
"EAH031","C-0030","0,003","3","10768"
"EAH031","ENC059","1","0","10769"
"EAH032","C-0030","0,0045","3","10770"
"EAH032","ENC059","1","0","10771"
"EAH033","CAR076","0,6","1","10772"
"EAH033","VAL016","1","0","10773"
"EAH034","CAR076","0,6","1","10774"
"EAH034","MEC041","0,25","0","10775"
"EAH035","CAR057","0,6","0","10776"
"EAH035","CAR071","1,5","5","10777"
"EAH035","CAR080","1","0","10778"
"EAH035","CAR119","0,6","0","10779"
"EAH036","CAR071","1,5","5","10780"
"EAH036","CAR080","1","0","10781"
"EAH037","CAR034","1","0","10782"
"EAH038","CAR076","0,6","1","10783"
"EAH038","MEC049","0,25","0","10784"
"EAH038","VAL016","1","0","10785"
"EAH039","CAR048","1","0","10786"
"EAH039","VAL016","1","0","10787"
"EAH040","CAR071","1,5","5","10788"
"EAH040","CAR080","1","0","10789"
"EAH041","CAR057","0,5","0","10790"
"EAH041","CAR071","1,5","5","10791"
"EAH041","CAR080","1","0","10792"
"EAH041","CAR119","0,5","0","10793"
"EAH042","ACE069","12","2","10794"
"EAH042","HER007","1","0","10795"
"EAH042","HER049","1","0","10796"
"EAH042","HER052","0,5","5","10797"
"EAH042","PIN006","0,04","5","10798"
"EAH042","PIN034","0,04","5","10799"
"EAH043","LAM013","1","0","10800"
"EAH043","VAL016","1","0","10801"
"EAH044","C-0030","0,003","3","10802"
"EAH044","ENC059","2","0","10803"
"EAH044","HER089","1","0","10804"
"EAH045","ACA010","1","0","10805"
"EAH045","VAL016","1","0","10806"
"EAH046","ACE346","1","3","10807"
"EAH046","ACE472","0,001","0","10808"
"EAH046","HER008","0,002","2","10809"
"EAH046","HER014","0,003","5","10810"
"EAH047","ACE073","1","3","10811"
"EAH047","HER003","0,05","5","10812"
"EAH048","ACE153","1","3","10813"
"EAH048","HER001","0,02","2","10814"
"EAH048","HER003","0,02","5","10815"
"EAH048","HER008","0,2","2","10816"
"EAH048","VAL103","1","0","10817"
"EAH049","C-0030","0,003","3","10818"
"EAH049","HER093","1","5","10819"
"EAH049","VAL012","1","0","10820"
"EAH050","C-0030","0,003","3","10821"
"EAH050","HER094","1","5","10822"
"EAH050","VAL012","1","0","10823"
"EAH051","CAR163","0,54","3","10824"
"EAH051","VAL208","1","0","10825"
"EAH051","VID044","0,54","0","10826"
"EAH051","VID047","0,516","0","10827"
"EAH052","CAR163","0,54","3","10828"
"EAH052","VAL208","0,54","0","10829"
"EAH052","VID044","0,54","0","10830"
"EAH052","VID049","0,54","0","10831"
"EAH053","C-0030","0,0045","3","10832"
"EAH053","ENC059","1","0","10833"
"EAH053","HER105","1","5","10834"
"EAH053","VAL012","1","0","10835"
"EAH054","C-0030","0,0045","3","10836"
"EAH054","ENC059","1","0","10837"
"EAH054","HER105","4,9","5","10838"
"EAH054","VAL012","1","0","10839"
"EAH055","C-0030","0,0045","3","10840"
"EAH055","ENC059","1","0","10841"
"EAH055","HER105","5","5","10842"
"EAH055","VAL012","1","0","10843"
"EAH056","C-0030","0,0045","3","10844"
"EAH056","ENC059","1","0","10845"
"EAH056","HER105","5,1","5","10846"
"EAH056","VAL012","1","0","10847"
"EAH057","ACE068","1","0","10848"
"EAH057","C-0050","0,002","3","10849"
"EAH057","VAL012","1","0","10850"
"EAH058","C-0050","0,002","3","10851"
"EAH058","HER133","1","0","10852"
"EAH058","VAL012","1","0","10853"
"EAH059","C-0050","0,002","3","10854"
"EAH059","HER134","1","0","10855"
"EAH059","VAL012","1","0","10856"
"EAH060","ACA026","1","1","10857"
"EAH060","C-0030","0,0045","3","10858"
"EAH060","VAL209","1","0","10859"
"EAH061","ACA027","1","1","10860"
"EAH061","C-0030","0,0045","3","10861"
"EAH061","VAL209","1","0","10862"
"EAH062","ACA030","1","1","10863"
"EAH062","C-0030","0,01","3","10864"
"EAH062","VAL209","1","0","10865"
"EAH063","C-0030","0,003","3","10866"
"EAH063","HER018","1","0","10867"
"EAH063","VAL169","1","0","10868"
"EAH064","C-0030","0,003","3","10869"
"EAH064","HER139","1","5","10870"
"EAH064","VAL208","1","0","10871"
"EAH065","C-0030","0,003","3","10872"
"EAH065","HER141","1","5","10873"
"EAH065","VAL208","1","0","10874"
"EAH066","C-0030","0,003","3","10875"
"EAH066","HER147","1","5","10876"
"EAH066","VAL208","1","0","10877"
"EAH067","CAR238","1","0","10878"
"EAH068","HER092","0,1","0","10879"
"EAH068","HER104","1","0","10880"
"EAH068","HER119","1","0","10881"
"EAH068","VAL252","1","0","10882"
"EAH069","HER092","0,1","0","10883"
"EAH069","HER104","1","0","10884"
"EAH069","HER117","1","0","10885"
"EAH069","VAL252","1","0","10886"
"EAI001","ASF007","0,5","5","10887"
"EAI001","ASF023","0,2","5","10888"
"EAI001","ASF037","1","10","10889"
"EAI002","ASF023","0,1","5","10890"
"EAI002","ASF025","0,005","5","10891"
"EAI002","ASF027","3,375","10","10892"
"EAI003","ASF023","0,1","5","10893"
"EAI003","ASF027","3,375","10","10894"
"EAI003","ASF043","0,0667","5","10895"
"EAI003","ASF133","0,25","5","10896"
"EAI004","ASF023","0,1","5","10897"
"EAI004","ASF072","0,2","5","10898"
"EAI005","C-0011","0,09","5","10899"
"EAI006","ASF023","0,1","5","10900"
"EAI006","ASF025","0,1","5","10901"
"EAI007","AGR018","0,02","5","10902"
"EAI007","ASF007","0,5","5","10903"
"EAI007","ASF023","0,2","5","10904"
"EAI007","ASF040","1","10","10905"
"EAI007","C-0029","0,05","3","10906"
"EAI007","COC087","1","5","10907"
"EAI008","ASF007","1","5","10908"
"EAI008","ASF015","1","10","10909"
"EAI008","ASF023","0,1","5","10910"
"EAI009","C-0011","0,06","5","10911"
"EAI010","AGR018","0,02","5","10912"
"EAI010","ASF098","0,0077","5","10913"
"EAI010","ASF129","0,1","5","10914"
"EAI010","ASF134","3,375","10","10915"
"EAI010","C-0029","0,05","3","10916"
"EAI010","HER039","0,02","0","10917"
"EAI010","MT9039","1","5","10918"
"EAI011","ASF007","0,5","5","10919"
"EAI011","ASF015","1","10","10920"
"EAI011","ASF023","0,1","5","10921"
"EAI012","AGR018","0,02","5","10922"
"EAI012","ASF023","0,1","5","10923"
"EAI012","ASF042","1","10","10924"
