"CodPar","Descri","CovPar","UniPar","RenPar","PreUni","UniCanRen","CanPar","Coste","RPC","UniMed"
"ARB025","EXCAVACION Y PLANTACION DE ARBOLES HASTA 3 MTS DE ALTURA.  INCLUYENDO EL SUMINISTRO Y COLOCACION DE TIERRA NEGRA ABONADA","E8111 S/C","pza","3","","U","","False","","0"
"ARB026","EXCAVACION Y PLANTACION DE ARBOLES HASTA 6 MTS DE ALTURA.  INCLUYENDO EL SUMINISTRO Y COLOCACION DE TIERRA NEGRA ABONADA","E8111 S/C","pza","3","","U","","False","","0"
"ARB027","EXCAVACION Y PLANTACION DE ARBOLES HASTA 12 MTS DE ALTURA.  INCLUYENDO EL SUMINISTRO Y COLOCACION DE TIERRA NEGRA ABONADA","E8111 S/C","pza","2","","U","","False","","0"
"ARB028","EXTRACCION DE ARBOLES CON ALTURA ENTRE 6 Y 10 MT PARA TRASLADO Y REUBICACION. INCLUYE TRATAMIENTO PARA PRESERVAR HASTA LA SIEMBRA","E123 S/C","und","2","","U","","False","","0"
"ARB029","EXTRACCION DE ARBOLES CON ALTURA INFERIOR A 5 MT PARA TRASLADO Y REUBICACION. INCLUYE TRATAMIENTO PARA PRESERVAR HASTA LA SIEMBRA","E123 S/C","und","3","","U","","False","","0"
"ARB031","MANTENIMIENTO DE ARBORIZACION","M.S/C","pza","32","","U","","False","","0"
"ARB032","MANTENIMIENTO DE VEGETACION ARBOREA","M.S/C","m2","300","","U","","False","","0"
"ARB033","MANTENIMIENTO DE PAISAJISMO CON GRAMA","E811 S/C","m2","450","","U","","False","","0"
"ARB034","CONSTRUCCION DE BASES Y SUB-BASES DE GRANZON CERNIDO, SEGUN ESPECIFICACION, INCLUYE EL GRANZON Y EL ACARREO LIBRE SOBRE EL CAUCE DEL RIO.","E.801100020","M3","40","","U","","False","","0"
"B01001","CORTE CON ESMERIL Y DISCO CON BORDE DE DIAMANTE","S/C","m","10","","U","","False","","0"
"B01002","CORTE CON ESMERIL Y DISCO CON BORDE DE DIAMANTE","S/C","m2","6","","U","","False","","0"
"B01003","CORTE DE CABILLAS CON EQUIPO DE OXICORTE","S/C","und","40","","U","","False","","0"
"B01004","DEMOLICION A MANO DE SOBRE PISO DE MEZCLA DE ARENA-CEMENTO CON ESPESOR HASTA 10 CM","S/C","m2","30","","U","","False","","0"
"B01005","DEMOLICION DE BASES DE CONCRETO EN UNIDADES A/C (PLACA) HASTA 15 CM","S/C","m2","10","","U","","False","","0"
"B01006","DEMOLICION A MANO DE RECUBRIMIENTO A BASE DE CANTO RODADO.","S/C","m","15","","U","","False","","0"
"B01007","DEMOLICION DE CERAMICA EN PAREDES. INCLUYE DEMOLICION DEL PEGO DE LA CERAMICA DEMOLIDA","S/C","m2","30","","U","","False","","0"
"B01008","DEMOLICION DE CERAMICAS EN PISOS","S/C","m2","35","","U","","False","","0"
"B01009","DEMOLICION DE ESTRUCTURA DE CONCRETO ARMADO EXISTENTE ( A MAQUINA, INCLUYE MARTILLO Y COMPRESOR)  PROMEDIO 35 CM","S/C","m3","7","","U","","False","","0"
"B01010","DEMOLICION DE FRISO EN MAL ESTADO","S/C","m2","25","","U","","False","","0"
"B01011","DEMOLICION DE LOSA DE PISO EN AREAS EXTERIORES (A MAQUINA Y MANO)","S/C","m2","15","","U","","False","","0"
"B01012","DEMOLICION DE PARED DE BLOQUES RELLENOS DE CONCRETO","S/C","m2","30","","U","","False","","0"
"B01013","DEMOLICION DE PARED DE BLOQUES DE ARCILLA","S/C","m2","35","","U","","False","","0"
"B01014","DEMOLICION DE REVESTIMIENTO EN MARMOL","S/C","m2","40","","U","","False","","0"
"B01015","DEMOLICION DE TECHOS DE MADERA Y TEJAS, INCLUYE CORTE DE MADERAS","S/C","m2","20","","U","","False","","0"
