"CodPar","Descri","CovPar","UniPar","RenPar","PreUni","UniCanRen","CanPar","Coste","RPC","UniMed"
"CCA127","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA), DE 1,80 MT. DE DIAMETRO (72 PULGADAS), CLASE 4.","C.050318004","m","6,25","","U","","False","","0"
"CCA128","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA), DE 1,80 MT. DE DIAMETRO (72 PULGADAS), CLASE 5.","C.050318005","m","6,25","","U","","False","","0"
"CCA129","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA), DE 1,80 MT. DE DIAMETRO (72 PULGADAS), CLASE 6.","C.050318006","m","6,25","","U","","False","","0"
"CCA130","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA), DE 1,80 MT. DE DIAMETRO (72 PULGADAS), CLASE 7.","C.050318007","m","6,25","","U","","False","","0"
"CCA131","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA), DE 2,10 MT. DE DIAMETRO (84 PULGADAS), CLASE 4.","C.050321004","m","5,4","","U","","False","","0"
"CCA132","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA), DE 2,10 MT. DE DIAMETRO (84 PULGADAS), CLASE 5.","C.050321005","m","5,4","","U","","False","","0"
"CCA133","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA), DE 2,10 MT. DE DIAMETRO (84 PULGADAS), CLASE 6.","C.050321006","m","5,4","","U","","False","","0"
"CCA134","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA), DE 2,44 MT. DE DIAMETRO (96 PULGADAS), CLASE 4.","C.050324004","m","4,7","","U","","False","","0"
"CCA135","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA), DE 2,44 MT. DE DIAMETRO (96 PULGADAS), CLASE 5.","C.050324005","m","4,7","","U","","False","","0"
"CCA136","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA), DE 2,70 MT. DE DIAMETRO (108 PULGADAS), CLASE 4.","C.050327004","m","4","","U","","False","","0"
"CCA137","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA), DE 2,70 MT. DE DIAMETRO (108 PULGADAS), CLASE 5.","C.050327005","m","4","","U","","False","","0"
"CCA138","REMOCION DE ALCANTARILLAS METALICAS EXISTENTES, INCLUYENDO LAS OPERACIONES NECESARIAS PARA DESARMAR Y EXTRAER DE SU SITIO LOS DIFERENTES ELEMENTOS METALICOS, BOTE Y TRANSPORTE HASTA 200 M.","C.0306 S/C","m2","50","","U","","False","","0"
"CCA139","S/T/C ALCANTARILLAS TUBULARES DE CONCRETO, DIAMETRO 6 PLG CLASE 1","C.0502 S/C","m","50","","U","","False","","0"
"CCA140","S/T/C ALCANTARILLAS TUBULARES DE CONCRETO, DIAMETRO 8 PLG CLASE 1","C.0502 S/C","m","40","","U","","False","","0"
"CCA141","S/T/C ALCANTARILLAS TUBULARES DE CONCRETO, DIAMETRO 10 PLG CLASE 1","C.0502 S/C","m","35","","U","","False","","0"
"CCA142","S/T/C ALCANTARILLAS TUBULARES DE CONCRETO, DIAMETRO 6 PLG CLASE 2","C.0502 S/C","m","50","","U","","False","","0"
"CCA143","S/T/C ALCANTARILLAS TUBULARES DE CONCRETO, DIAMETRO 8 PLG CLASE 2.","C.0502 S/C","m","45","","U","","False","","0"
"CCA144","S/T/C ALCANTARILLAS TUBULARES DE CONCRETO, DIAMETRO 10 PLG CLASE 2","C.0502 S/C","m","40","","U","","False","","0"
"CCA145","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0,53 MT. DE DIAMETRO (21 PULGADAS). CALIBRE 14","C.051105314","m","50","","U","","False","","0"
"CCA146","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0,46 MT. DE DIAMETRO (18 PULGADAS). CALIBRE 14","C.051104614","m","25","","U","","False","","0"
"CCA147","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0,61 MT. DE DIAMETRO (24 PULGADAS). CALIBRE 12","C.051106112","m","25","","U","","False","","0"
"CCA148","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0,76 MT. DE DIAMETRO (30 PULGADAS). CALIBRE 12","C.051107612","m","22","","U","","False","","0"
"CCA149","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0,91 MT. DE DIAMETRO (36 PULGADAS). CALIBRE 12","C.051109112","m","20","","U","","False","","0"
"CCA150","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,07 MT  DE DIAMETRO (42 PULGADAS). CALIBRE 8","C.051110708","m","15","","U","","False","","0"
"CCA151","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,22 MT. DE DIAMETRO (48 PULGADAS), CALIBRE 8","C.051112208","m","25","","U","","False","","0"
"CCA152","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,22 MT. DE DIAMETRO (48 PULGADAS), CALIBRE 10","C.051112210","m","25","","U","","False","","0"
"CCA153","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO DIAM= 6'" CLASE 1","C.0502 S/C","m","90","","U","","False","","0"
"CCA154","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLA CIRCULAR EN ACERO GALVANIZADO TIPO ARMCO D= 2,10 (84'"). TIPO MULTIPLATE 152 MM X 52 MM. LAMINAS ASTM-A-569. INCLUYE TORNILLERIA","C.0511 S/C","m","10","","U","","False","","0"
"CCA155","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLA EN ACERO GALVANIZADO ARMCO D= 1,50 M CORRUGACION 68 MM X 13 MM. LAMINAS ASTM-A-569. INCLUYE TORNILLERIA","C.0511 S/C","m","10","","U","","False","","0"
"CCA156","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLA ABOVEDADA EN ACERO GALVANIZADO TIPO ARMCO D= 1.83 M. TIPO MP68 CORRUGACION 68 MM X 13 MM. INCLUYE TORNILLERIA","C.0512 S/C","m","15","","U","","False","","0"
"CCA157","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLA ABOVEDADA EN ACERO GALVANIZADO TIPO ARMCO D= 1.52 E= 3.5 MM. TIPO MP68 CORRUGACION 68 MM X 13 MM. INCLUYE TORNILLERIA","C.0512 S/C","m","10","","U","","False","","0"
"CCA158","REMOCION DE ALCANTARILLAS METALICAS EXISTENTES. NO INCLUYE BOTE.","C.0306 S/C","m2","80","","U","","False","","0"
"CCA159","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) DE 0.46 MT. DE DIAMETRO, (18'"), CLASE 3","C.0502 S/C","m","27,5","","U","","False","","0"
"CCA160","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) DE 0.53 MT. DE DIAMETRO, 21'", CLASE 3","C.0502 S/C","m","27,5","","U","","False","","0"
"CCA161","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO DE 0.61 (CON JUNTA DE MORTERO) DE 0.61 MT DE DIAMETRO, 24'", CLASE 3","C.0502 S/C","m","14","","U","","False","","0"
"CCA162","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO), DE 0.61 MT DE DIAMETRO, 24'", CLASE 4","C.0502 S/C","m","14","","U","","False","","0"
"CCA163","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 0,70 MT DE DIAMETRO (27'"), CLASE 4.","C.0502 S/C","m","14","","U","","False","","0"
"CCA164","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 0,76 MT DE DIAMETRO (30'"), CLASE 4.","C.0502 S/C","m","12","","U","","False","","0"
"CCA165","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 0,80 MT DE DIAMETRO (33'"), CLASE 4.","C.0502 S/C","m","12","","U","","False","","0"
"CCA166","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 0,91 MT DE DIAMETRO (36'"), CLASE 4.","C.0502 S/C","m","12","","U","","False","","0"
"CCA167","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 1,07 MT DE DIAMETRO (42'"), CLASE 4.","C.0502 S/C","m","12","","U","","False","","0"
"CCA168","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 1,22 MT DE DIAMETRO (48'"), CLASE 4.","C.0502 S/C","m","12","","U","","False","","0"
"CCA169","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 1,37 MT DE DIAMETRO (54'"), CLASE 4.","C.0502 S/C","m","10","","U","","False","","0"
"CCA170","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 1,52 MT DE DIAMETRO (60'"), CLASE 4.","C.0502 S/C","m","10","","U","","False","","0"
"CCA171","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 1,67 MT DE DIAMETRO (66'"), CLASE 4.","C.0502 S/C","m","7,5","","U","","False","","0"
"CCA172","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 1,83 MT DE DIAMETRO (72'"), CLASE 4.","C.0502 S/C","m","7,5","","U","","False","","0"
"CCA173","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 2,13 MT DE DIAMETRO (84'"), CLASE 4.","C.0502 S/C","m","5","","U","","False","","0"
"CCA174","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 2,44 MT DE DIAMETRO (96'"), CLASE 4.","C.0502 S/C","m","5","","U","","False","","0"
"CCA175","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO) 2,70 MT DE DIAMETRO (108'"), CLASE 4.","C.0502 S/C","m","5","","U","","False","","0"
"CCA176","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 0,45 MT DE DIAMETRO (18'"), CLASE 3.","C.0503 S/C","m","30","","U","","False","","0"
"CCA177","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 0,50 MT DE DIAMETRO (21'"), CLASE 3.","C.0503 S/C","m","30","","U","","False","","0"
"CCA178","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 0,60 MT DE DIAMETRO (24'"), CLASE 3.","C.0503 S/C","m","27,5","","U","","False","","0"
"CCA179","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 0,70 MT DE DIAMETRO (27'"), CLASE 4.","C.0503 S/C","m","25","","U","","False","","0"
"CCA180","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 0,75 MT DE DIAMETRO (30'"), CLASE 4.","C.0503 S/C","m","22,5","","U","","False","","0"
"CCA181","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 0,80 MT DE DIAMETRO (33'"), CLASE 4.","C.0503 S/C","m","20","","U","","False","","0"
"CCA182","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 0,90 MT DE DIAMETRO (36'"), CLASE 4.","C.0503 S/C","m","20","","U","","False","","0"
"CCA183","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 1,05 MT DE DIAMETRO (42'"), CLASE 4.","C.0503 S/C","m","17,5","","U","","False","","0"
"CCA184","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 1,20 MT DE DIAMETRO (48'"), CLASE 4.","C.0503 S/C","m","15","","U","","False","","0"
"CCA185","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 1,35 MT DE DIAMETRO (54'"), CLASE 4.","C.0503 S/C","m","12,5","","U","","False","","0"
"CCA186","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 1,50 MT DE DIAMETRO (60'"), CLASE 4.","C.0503 S/C","m","12,5","","U","","False","","0"
"CCA187","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 1,65 MT DE DIAMETRO (66'"), CLASE 4.","C.0503 S/C","m","10","","U","","False","","0"
"CCA188","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 1,80 MT DE DIAMETRO (72'"), CLASE 4.","C.0503 S/C","m","10","","U","","False","","0"
"CCA189","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 2,10 MT DE DIAMETRO (84'"), CLASE 4.","C.0503 S/C","m","7,5","","U","","False","","0"
"CCA190","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 2,44 MT DE DIAMETRO (96'"), CLASE 4.","C.0503 S/C","m","7,5","","U","","False","","0"
"CCA191","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA) 2,70 MT DE DIAMETRO (108'"), CLASE 4.","C.0503 S/C","m","7,5","","U","","False","","0"
"CCA192","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0.91 MT. DE DIAMETRO (36 PULGADAS), CALIBRE 14","C.051109114","m","14","","U","","False","","0"
"CCA193","SUMINISTRO, TRANSPORTE Y COLOCACION DE TUBERIA PVC JUNTA MECANICA, ALCANTARILLADO D= 315 MM (12'") E= 6,2 MM CAMPANA X ESPIGA","U500000053","m","50","","U","","False","","0"
"CCA194","SUMINISTRO, TRANSPORTE Y COLOCACION DE TUBERIA PVC JUNTA MECANICA, ALCANTARILLADO D= 160 MM (06'") E= 3,2 MM CAMPANA X ESPIGA","U500000050","m","80","","U","","False","","0"
"CCA195","SUMINISTRO, TRANSPORTE Y COLOCACION DE TUBERIA PVC JUNTA MECANICA, ALCANTARILLADO D= 200 MM (08'") E= 4,0 MM CAMPANA X ESPIGA","U500000051","m","70","","U","","False","","0"
"CCA196","SUMINISTRO, TRANSPORTE Y COLOCACION DE TUBERIA PVC JUNTA MECANICA, ALCANTARILLADO D= 250 MM (10'") E= 4,9 MM CAMPANA X ESPIGA","U500000052","m","60","","U","","False","","0"
"CCA197","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE MORTERO), DE 0,10 MT. DE DIAMETRO (4 PULGADAS), CLASE 1.","C.050201001","m","75","","U","","False","","0"
"CCA198","SUMINISTRO Y COLOCACION DE ALCANTARILLAS TUBULARES DE CONCRETO (CON JUNTA DE GOMA), DE 0,40 MT. DE DIAMETRO (15 PULGADAS), CLASE 3.","C.050304003","m","22","","U","","False","","0"
"CCA199","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0,30 MT. DE DIAMETRO (12 PULGADAS). CALIBRE 14","C.051103014","m","25","","U","","False","","0"
"CCA200","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0,61 MT. DE DIAMETRO (24 PULGADAS). CALIBRE 8","C.051106108","m","35","","U","","False","","0"
"CCA201","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0,61 MT. DE DIAMETRO (24 PULGADAS). CALIBRE 10","C.051106110","m","35","","U","","False","","0"
"CCA202","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0,61 MT. DE DIAMETRO (24 PULGADAS). CALIBRE 14","C.051106114","m","25","","U","","False","","0"
"CCA203","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0,76 MT. DE DIAMETRO (30 PULGADAS). CALIBRE 8","C.051107608","m","22","","U","","False","","0"
"CCA204","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0,76 MT. DE DIAMETRO (30 PULGADAS). CALIBRE 10","C.051107610","m","22","","U","","False","","0"
"CCA205","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0,76 MT. DE DIAMETRO (30 PULGADAS). CALIBRE 14","C.051107614","m","22","","U","","False","","0"
"CCA206","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0.91 MT. DE DIAMETRO (36 PULGADAS), CALIBRE 8","C.051109108","m","20","","U","","False","","0"
"CCA207","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 0.91 MT. DE DIAMETRO (36 PULGADAS), CALIBRE 10","C.051109110","m","14","","U","","False","","0"
"CCA208","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,00 MT. DE DIAMETRO (39 PULGADAS), CALIBRE 8","C.051110008","m","25","","U","","False","","0"
"CCA209","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,00 MT. DE DIAMETRO (39 PULGADAS), CALIBRE 10","C.051110010","m","20","","U","","False","","0"
"CCA210","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,00 MT. DE DIAMETRO (39 PULGADAS), CALIBRE 12","C.051110012","m","20","","U","","False","","0"
"CCA211","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,00 MT. DE DIAMETRO (39 PULGADAS), CALIBRE 14","C.051110014","m","20","","U","","False","","0"
"CCA212","S/T/C DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,07 MT. DE DIAMETRO (42 '"), CALIBRE 8","C.0511 S/C","m","40","","U","","False","","0"
"CCA213","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,07 MT. DE DIAMETRO (42 PULGADAS), CALIBRE 10","C.051110710","m","20","","U","","False","","0"
"CCA214","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,07 MT. DE DIAMETRO (42 PULGADAS), CALIBRE 12","C.051110712","m","20","","U","","False","","0"
"CCA215","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,07 MT. DE DIAMETRO (42 PULGADAS), CALIBRE 14","C.051110714","m","20","","U","","False","","0"
"CCA216","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,22 MT. DE DIAMETRO (48 PULGADAS), CALIBRE 12","C.051112212","m","20","","U","","False","","0"
"CCA217","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,22 MT. DE DIAMETRO (48 PULGADAS), CALIBRE 14","C.051112214","m","14","","U","","False","","0"
"CCA218","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,30 MT. DE DIAMETRO (51 PULGADAS), CALIBRE 8","C.051113008","m","20","","U","","False","","0"
"CCA219","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,30 MT. DE DIAMETRO (51 PULGADAS), CALIBRE 10","C.051113010","m","20","","U","","False","","0"
"CCA220","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,30 MT. DE DIAMETRO (51 PULGADAS), CALIBRE 12","C.051113012","m","20","","U","","False","","0"
"CCA221","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,30 MT. DE DIAMETRO (51 PULGADAS), CALIBRE 14","C.051113014","m","20","","U","","False","","0"
"CCA222","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,37 MT. DE DIAMETRO (54 PULGADAS), CALIBRE 14","C.051113714","m","20","","U","","False","","0"
"CCA223","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,37 MT. DE DIAMETRO (54 PULGADAS), CALIBRE 8","C.051113708","m","20","","U","","False","","0"
"CCA224","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,37 MT. DE DIAMETRO (54 PULGADAS), CALIBRE 10","C.051113710","m","20","","U","","False","","0"
"CCA225","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,37 MT. DE DIAMETRO (54 PULGADAS), CALIBRE 12","C.051113712","m","20","","U","","False","","0"
"CCA226","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,52 MT. DE DIAMETRO (60 PULGADAS), CALIBRE 8","C.051115208","m","30","","U","","False","","0"
"CCA227","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,52 MT. DE DIAMETRO (60 PULGADAS), CALIBRE 10","C.051115210","m","30","","U","","False","","0"
"CCA228","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,52 MT. DE DIAMETRO (60 PULGADAS), CALIBRE 12","C.051115212","m","30","","U","","False","","0"
"CCA229","S/T/C DE ALCANTARILLAS METALICAS TUBULARES, CON REVESTIMIENTO EPOXICO, DE 0,60 MT. DE DIAMETRO (24 PULGADAS). CALIBRE 14","C.051506014","m","35","","U","","False","","0"
"CCA230","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,98 MT. DE DIAMETRO (78 PULGADAS), CALIBRE 8","C.051119808","m","30","","U","","False","","0"
"CCA231","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS DE 2,13 MT. DE DIAMETRO (84 PULGADAS). CALIBRE 8","C.051121308","m","30","","U","","False","","0"
"CCA232","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,90 MT. DE DIAMETRO (75 PULGADAS), CALIBRE 8","C.051119008","m","30","","U","","False","","0"
"CCA233","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,90 MT. DE DIAMETRO (75 PULGADAS), CALIBRE 10","C.051119010","m","30","","U","","False","","0"
"CCA234","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,83 MT. DE DIAMETRO (72 PULGADAS), CALIBRE 8","C.051118308","m","30","","U","","False","","0"
"CCA235","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,83 MT. DE DIAMETRO (72 PULGADAS), CALIBRE 10","C.051118310","m","30","","U","","False","","0"
"CCA236","S/T/C DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,00 MT. DE DIAMETRO (40 PULGADAS), CALIBRE 14","C.0511 S/C","m","14","","U","","False","","0"
"CCA237","S/T/C DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,00 MT. DE DIAMETRO (40 PULGADAS), CALIBRE 12","C.0511 S/C","m","28","","U","","False","","0"
"CCA238","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,00 MT. DE DIAMETRO (40 PULGADAS), CALIBRE 10","C.0511 S/C","m","16","","U","","False","","0"
"CCA239","S/T/C DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,00 MT. DE DIAMETRO (40 PULGADAS), CALIBRE 8","C.0511 S/C","m","16","","U","","False","","0"
"CCA240","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,60 MT. DE DIAMETRO (63 PULGADAS), CALIBRE 8","C.051116008","m","30","","U","","False","","0"
"CCA241","SUMINISTRO, TRANSPORTE Y COLOCACION DE ALCANTARILLAS METALICAS TUBULARES, GALVANIZADAS, DE 1,60 MT. DE DIAMETRO (63 PULGADAS), CALIBRE 10","C.051116010","m","30","","U","","False","","0"
