"CodPar","CodIns","CanIns","Deprec","Contad"
"ARB001","ALB013","3","1","3308"
"ARB001","ARB012","3","0,011","3309"
"ARB001","COP074","1","0,004979","3310"
"ARB001","MOV002","3","0,02","3311"
"ARB002","ALB013","2","1","3312"
"ARB002","ALB094","1","0,02","3313"
"ARB002","ARB001","1","1","3314"
"ARB002","COP074","0,25","0,004979","3315"
"ARB003","ARB004","0,25","1","3316"
"ARB003","COP052","0,25","0,003433","3317"
"ARB003","ESP012","0,25","1","3318"
"ARB003","SUB013","1","1","3319"
"ARB004","ARB007","1","0,01","3320"
"ARB004","CAR045","1","0,008","3321"
"ARB004","SUB013","1","1","3322"
"ARB004","VEH025","0,5","0,003","3323"
"ARB005","ARB004","1","1","3324"
"ARB005","ARB007","1","0,01","3325"
"ARB005","ARB010","1","1","3326"
"ARB005","COP074","1","0,004979","3327"
"ARB005","SUB059","0,5","1","3328"
"ARB006","ARB004","1","1","3329"
"ARB006","ARB008","1","1","3330"
"ARB006","ARB010","1","1","3331"
"ARB006","COP052","1","0,003433","3332"
"ARB006","SUB059","1","1","3333"
"ARB007","ARB005","1","1","3334"
"ARB007","CAR045","1","0,008","3335"
"ARB007","COP052","1","0,003433","3336"
"ARB007","SUB059","1","1","3337"
"ARB008","ARB004","1","1","3338"
"ARB008","ARB005","2","1","3339"
"ARB008","LIM005","2","0,011","3340"
"ARB008","VEH027","1","0,00399","3341"
"ARB009","ARB004","1","1","3342"
"ARB009","ARB010","1","1","3343"
"ARB009","CAR045","1","0,008","3344"
"ARB009","LIM005","2","0,011","3345"
"ARB009","VEH027","1","0,00399","3346"
"ARB010","ALB053","1","0,02","3347"
"ARB010","ARB008","1","1","3348"
"ARB010","CAR045","1","0,008","3349"
"ARB010","COP075","1","0,004429","3350"
"ARB010","LIM005","2","0,011","3351"
"ARB010","SUB064","0,5","1","3352"
"ARB011","ARB008","1","1","3353"
"ARB011","ARB010","2","1","3354"
"ARB011","CAR045","1","0,008","3355"
"ARB011","COP075","1","0,004429","3356"
"ARB011","COP078","0,2","0,003468","3357"
"ARB011","LIM005","2","0,011","3358"
"ARB011","SUB006","2","0,045","3359"
"ARB011","SUB064","0,5","1","3360"
"ARB012","ALB053","2","0,02","3361"
"ARB012","ARB004","1","1","3362"
"ARB012","COP052","1","0,003433","3363"
"ARB012","LIM005","2","0,011","3364"
"ARB013","ARB008","1","1","3365"
"ARB013","CAR045","1","0,008","3366"
"ARB013","LIM005","2","0,011","3367"
"ARB013","SUB064","0,25","1","3368"
"ARB013","VEH027","1","0,00399","3369"
"ARB014","ARB008","1","1","3370"
"ARB014","ARB010","2","1","3371"
"ARB014","CAR045","2","0,008","3372"
"ARB014","LIM005","2","0,011","3373"
"ARB014","SUB006","2","0,045","3374"
"ARB014","SUB064","1","1","3375"
"ARB014","VEH027","0,5","0,00399","3376"
"ARB015","ALB053","1","0,02","3377"
"ARB015","ARB008","1","1","3378"
"ARB015","CAR045","2","0,008","3379"
"ARB015","COP052","1","0,003433","3380"
"ARB015","LIM005","2","0,011","3381"
"ARB016","ALB002","2","0,025","3382"
"ARB016","ALB053","4","0,02","3383"
"ARB016","ALB081","4","0,034","3384"
"ARB016","ALB133","2","0,008","3385"
"ARB016","COP074","0,25","0,004979","3386"
"ARB017","ALB002","2","0,025","3387"
"ARB017","ALB053","4","0,02","3388"
"ARB017","ALB081","4","0,034","3389"
"ARB017","ALB133","2","0,008","3390"
"ARB017","COP074","0,25","0,004979","3391"
"ARB018","ALB002","2","0,025","3392"
"ARB018","ALB053","4","0,02","3393"
"ARB018","ALB081","4","0,034","3394"
"ARB018","ALB133","2","0,008","3395"
"ARB018","COP074","0,25","0,004979","3396"
"ARB019","ALB013","2","1","3397"
"ARB019","ARB001","1","1","3398"
"ARB019","COP074","0,25","0,004979","3399"
"ARB020","COP046","1","0,004161","3400"
"ARB020","ESP012","1","1","3401"
"ARB021","ALB002","2","0,025","3402"
"ARB021","ALB056","4","0,011","3403"
"ARB021","ALB081","4","0,034","3404"
"ARB021","ALB133","2","0,008","3405"
"ARB022","ALB002","2","0,025","3406"
"ARB022","ALB056","4","0,011","3407"
"ARB022","ALB081","4","0,034","3408"
"ARB022","ALB133","2","0,008","3409"
"ARB023","ALB002","2","0,025","3410"
"ARB023","ALB056","4","0,011","3411"
"ARB023","ALB081","4","0,034","3412"
"ARB023","ALB133","2","0,008","3413"
"ARB024","ALB066","2","0,02","3414"
"ARB024","DEM020","2","0,03","3415"
"ARB024","SUB070","2","0,009","3416"
"ARB025","ALB002","2","0,025","3417"
"ARB025","ALB053","4","0,02","3418"
"ARB025","ALB072","2","0,033","3419"
"ARB025","ALB081","4","0,034","3420"
"ARB025","COP074","0,25","0,004979","3421"
"ARB025","SUB080","0,5","0,0037","3422"
"ARB025","VEH005","1","1","3423"
"ARB026","ALB002","2","0,025","3424"
"ARB026","ALB053","4","0,02","3425"
"ARB026","ALB072","2","0,033","3426"
"ARB026","ALB081","4","0,034","3427"
"ARB026","COP074","0,25","0,004979","3428"
"ARB026","SUB080","0,5","0,0037","3429"
"ARB026","VEH005","1","1","3430"
"ARB027","ALB002","2","0,025","3431"
"ARB027","ALB053","4","0,02","3432"
"ARB027","ALB072","2","0,033","3433"
"ARB027","ALB081","4","0,034","3434"
"ARB027","COP074","0,25","0,004979","3435"
"ARB027","COP304","0,5","0,007811","3436"
"ARB027","SUB080","0,5","0,0037","3437"
"ARB027","VEH005","1","1","3438"
"ARB028","ALB053","2","0,02","3439"
"ARB028","ARB004","1","1","3440"
"ARB028","ARB005","2","1","3441"
"ARB028","ARB015","1","0,04","3442"
"ARB028","LIM005","2","0,011","3443"
"ARB028","SUB080","1","0,0037","3444"
"ARB029","ALB053","2","0,02","3445"
"ARB029","ARB004","1","1","3446"
"ARB029","ARB005","2","1","3447"
"ARB029","LIM005","2","0,011","3448"
"ARB029","SUB080","1","0,0037","3449"
"ARB031","ALB016","1","0,01","3450"
"ARB031","ALB152","1","0,005","3451"
"ARB031","SUB070","1","0,009","3452"
"ARB032","ALB016","1","0,01","3453"
"ARB032","ALB152","1","0,005","3454"
"ARB032","CAR045","1","0,008","3455"
"ARB032","SUB070","1","0,009","3456"
"ARB033","ALB002","2","0,025","3457"
"ARB033","ALB081","2","0,034","3458"
"ARB033","ALB133","1","0,008","3459"
"ARB033","ARB011","1","0,03","3460"
"ARB033","COP074","0,5","0,004979","3461"
"ARB034","COP046","1","0,004161","3462"
"ARB034","ESP012","1","1","3463"
"ARB035","COP046","1","0,004161","3464"
"ARB035","ESP012","1","1","3465"
"ARB036","COP046","1","0,004161","3466"
"ARB036","ESP012","1","1","3467"
"ARB037","COP046","1","0,004161","3468"
"ARB037","ESP012","1","1","3469"
"ARB038","COP046","1","0,004161","3470"
"ARB038","ESP012","1","1","3471"
"ARB039","COP046","1","0,004161","3472"
"ARB039","ESP012","1","1","3473"
"ARB040","COP046","1","0,004161","3474"
"ARB040","ESP012","1","1","3475"
"ARB041","ALB002","2","0,025","3476"
"ARB041","ALB056","2","0,011","3477"
"ARB041","ALB081","4","0,034","3478"
"ARB041","ALB133","2","0,008","3479"
"ARB041","COP075","1","0,004429","3480"
"B01001","ALB101","1","0,035","3481"
"B01002","ALB101","1","0,035","3482"
"B01003","HER038","1","1","3483"
"B01004","ALB002","2","0,025","3484"
"B01004","ALB048","2","0,03","3485"
"B01004","ALB081","2","0,034","3486"
"B01004","DEM008","3","0,05","3487"
"B01004","DEM009","3","0,01","3488"
"B01004","DEM012","1","1","3489"
"B01005","ALB003","1","0,02","3490"
"B01005","COPA01","1","0,004632","3491"
"B01005","DEM001","1","0,006","3492"
"B01005","DEM004","2","0,01","3493"
"B01006","ALB002","1","0,025","3494"
"B01006","ALB048","2","0,03","3495"
"B01006","ALB081","2","0,034","3496"
"B01006","DEM008","2","0,05","3497"
"B01006","DEM009","3","0,01","3498"
"B01007","ALB002","2","0,025","3499"
"B01007","ALB080","3","0,03","3500"
"B01007","ALB081","2","0,034","3501"
"B01007","DEM008","3","0,05","3502"
"B01007","DEM009","3","0,01","3503"
"B01007","SUB003","1","0,009","3504"
"B01007","SUB071","1","0,009","3505"
"B01008","ALB013","1","1","3506"
"B01008","DEM008","2","0,05","3507"
"B01008","DEM009","2","0,01","3508"
"B01008","SUB006","1","0,045","3509"
"B01009","ALB049","2","0,04","3510"
"B01009","COPA01","1","0,004632","3511"
"B01009","DEM001","1","0,006","3512"
"B01009","HER103","1","0,004","3513"
"B01010","ALB013","1","1","3514"
"B01010","ALB080","1","0,03","3515"
"B01010","DEM008","2","0,05","3516"
"B01010","DEM009","2","0,01","3517"
"B01010","SUB006","1","0,045","3518"
"B01010","SUB023","2","1","3519"
"B01011","ALB013","1","1","3520"
"B01011","COPA01","1","0,004632","3521"
"B01011","DEM001","1","0,006","3522"
"B01011","DEM008","2","0,05","3523"
"B01011","DEM009","2","0,01","3524"
"B01011","SUB006","2","0,045","3525"
"B01012","ALB001","2","1","3526"
"B01012","ALB048","1","0,03","3527"
"B01012","ALB081","1","0,034","3528"
"B01012","DEM004","2","0,01","3529"
"B01012","SUB023","2","1","3530"
"B01013","ALB001","2","1","3531"
"B01013","ALB048","1","0,03","3532"
"B01013","ALB081","1","0,034","3533"
"B01013","DEM004","2","0,01","3534"
"B01013","SUB023","2","1","3535"
"B01014","ALB013","1","1","3536"
"B01014","ALB080","2","0,03","3537"
"B01014","DEM008","2","0,05","3538"
"B01014","DEM009","2","0,01","3539"
"B01014","SUB006","1","0,045","3540"
"B01015","ALB045","1","0,02","3541"
"B01015","ALB048","1","0,03","3542"
"B01015","ALB066","1","0,02","3543"
"B01015","ALB084","2","1","3544"
"B01015","DEM008","2","0,05","3545"
"B01015","SUB003","2","0,009","3546"
"B01015","SUB020","1","0,009","3547"
"B01016","ALB066","1","0,02","3548"
"B01016","CAR004","1","0,007","3549"
"B01016","CAR025","1","0,005","3550"
"B01017","ESP012","1","1","3551"
"B01018","DEM003","2","1","3552"
"B01018","PLO002","1","0,03","3553"
"B01019","ALB097","0,5","0,003","3554"
"B01019","ALB144","1","0,015","3555"
"B01019","ELE028","1","0,01","3556"
"B01019","ELE029","1","0,02","3557"
"B01019","HER001","1","0,02","3558"
"B01019","SUB071","1","0,009","3559"
"B01020","DEM003","1","1","3560"
"B01020","HER004","0,5","0,04","3561"
"B01021","ALB063","1","0,015","3562"
"B01021","ALB066","1","0,02","3563"
"B01021","ALB097","1","0,003","3564"
"B01021","ALB129","1","0,03","3565"
"B01021","ELE022","1","0,01","3566"
"B01021","SUB073","1","0,009","3567"
"B01022","ALB063","1","0,015","3568"
"B01022","ALB066","1","0,02","3569"
"B01022","ALB097","1","0,003","3570"
"B01022","ALB129","1","0,03","3571"
"B01022","ELE022","1","0,01","3572"
"B01022","SUB073","1","0,009","3573"
"B01023","ALB066","1","0,02","3574"
"B01023","ALB084","1","1","3575"
"B01023","ALB149","2","0,01","3576"
"B01023","DEM008","1","0,05","3577"
"B01023","ELE014","1","0,015","3578"
"B01023","SUB003","2","0,009","3579"
"B01023","SUB020","1","0,009","3580"
"B01024","ALB066","1","0,02","3581"
"B01024","ALB084","1","1","3582"
"B01024","ALB149","2","0,01","3583"
"B01024","DEM008","1","0,05","3584"
"B01024","ELE014","1","0,015","3585"
"B01024","SUB003","2","0,009","3586"
"B01024","SUB020","1","0,009","3587"
"B01025","ALB004","1","0,006","3588"
"B01025","ALB066","1","0,02","3589"
"B01025","ALB084","1","1","3590"
"B01025","ALB149","2","0,01","3591"
"B01025","DEM008","1","0,05","3592"
"B01025","ELE014","1","0,015","3593"
"B01025","SUB003","2","0,009","3594"
"B01025","SUB020","1","0,009","3595"
"B01026","ESP012","1","1","3596"
"B01026","HER013","1","1","3597"
"B01027","ESP012","1","1","3598"
"B01028","ALB048","2","0,03","3599"
"B01028","ALB065","2","0,01","3600"
"B01028","ALB101","1","0,035","3601"
"B01028","ALB164","1","1","3602"
"B01029","ALB004","1","0,006","3603"
"B01029","ALB019","1","1","3604"
"B01029","ALB066","1","0,02","3605"
"B01029","ALB149","2","0,01","3606"
"B01029","DEM008","1","0,05","3607"
"B01029","ELE014","1","0,015","3608"
"B01030","ALB101","1","0,035","3609"
"B01030","ESP012","1","1","3610"
"B01031","ALB082","1","0,01","3611"
"B01031","ALB097","1","0,003","3612"
"B01031","ALB144","1","0,015","3613"
"B01032","ALB010","1","1","3614"
"B01032","ELE003","1","1","3615"
"B01032","ELE019","1","1","3616"
"B01032","HER022","1","1","3617"
"B01033","ALB097","0,5","0,003","3618"
"B01033","ALB144","1","0,015","3619"
"B01033","ELE028","1","0,01","3620"
"B01033","ELE029","1","0,02","3621"
"B01033","HER001","1","0,02","3622"
"B01033","SUB071","1","0,009","3623"
"B01034","DEM003","2","1","3624"
"B01035","ALB063","1","0,015","3625"
"B01035","ALB066","1","0,02","3626"
"B01035","ALB097","1","0,003","3627"
"B01035","ALB129","1","0,03","3628"
"B01035","ELE022","1","0,01","3629"
"B01036","CAR019","1","1","3630"
"B01036","ESP012","1","1","3631"
"B01037","ALB010","1","1","3632"
"B01037","ELE003","1","1","3633"
"B01037","HER022","1","1","3634"
"B01038","ALB097","1","0,003","3635"
"B01038","ALB123","0,25","1","3636"
"B01038","ALB137","2","0,025","3637"
"B01038","ALB143","1","1","3638"
"B01038","ALB144","1","0,015","3639"
"B01038","ALB162","1","0,01","3640"
"B01038","ALB164","1","1","3641"
"B01039","ALB004","1","0,006","3642"
"B01039","HER103","1","0,004","3643"
"B01039","SUB002","1","0,006","3644"
"B01039","SUB069","1","0,009","3645"
"B01040","ESP012","1","1","3646"
"B01041","ESP012","1","1","3647"
"B01041","HER067","1","1","3648"
"B01041","SUB003","2","0,009","3649"
"B01042","ESP012","1","1","3650"
"B01042","SUB003","2","0,009","3651"
"B01043","DEM004","1","0,01","3652"
"B01043","DEM038","1","0,05","3653"
"B01043","ELE003","1","1","3654"
"B01043","ELE010","1","1","3655"
"B01043","SUB021","1","1","3656"
"B01044","SUB003","2","0,009","3657"
"B01044","SUB021","2","1","3658"
"B01045","ALB164","1","1","3659"
"B01046","COP074","0,25","0,004979","3660"
"B01046","ELE003","1","1","3661"
"B01046","SUB021","1","1","3662"
"B01047","DEM004","2","0,01","3663"
"B01047","DEM008","2","0,05","3664"
"B01047","ESP012","1","1","3665"
"B01048","ALB002","2","0,025","3666"
"B01048","ALB048","2","0,03","3667"
"B01048","ALB080","3","0,03","3668"
"B01048","ALB081","2","0,034","3669"
"B01048","DEM008","3","0,05","3670"
"B01048","DEM009","3","0,01","3671"
"B01048","SUB003","2","0,009","3672"
"B01049","ALB048","1","0,03","3673"
"B01049","ALB066","2","0,02","3674"
"B01049","ALB084","2","1","3675"
"B01049","ALB089","1","0,03","3676"
"B01049","DEM008","1","0,05","3677"
"B01050","ALB048","1","0,03","3678"
"B01050","ALB066","2","0,02","3679"
"B01050","ALB084","2","1","3680"
"B01050","ALB089","1","0,03","3681"
"B01050","DEM008","1","0,05","3682"
"B01051","ELE003","1","1","3683"
"B01051","SUB021","1","1","3684"
"B01052","ALB051","1","0,01","3685"
"B01052","ALB058","1","0,015","3686"
"B01052","ALB097","1","0,003","3687"
"B01052","ALB137","1","0,025","3688"
"B01053","ESP012","1","1","3689"
"B01053","SUB003","1","0,009","3690"
"B01053","SUB071","2","0,009","3691"
"B01054","DEM003","2","1","3692"
"B01054","PLO002","0,5","0,03","3693"
"B01055","ALB048","1","0,03","3694"
"B01055","ALB066","1","0,02","3695"
"B01055","ALB084","2","1","3696"
"B01055","DEM008","1","0,05","3697"
"B01056","ALB143","1","1","3698"
"B01056","MEC004","1","0,01","3699"
"B01057","ELE003","1","1","3700"
"B01057","SUB021","1","1","3701"
"B01058","ESP012","1","1","3702"
"B01058","SUB068","1","0,005","3703"
"B01059","ALB058","1","0,015","3704"
"B01059","DEM008","2","0,05","3705"
"B01060","ALB058","1","0,015","3706"
"B01060","DEM008","2","0,05","3707"
"B01061","HER030","1","0,05","3708"
"B01062","ALB089","1","0,03","3709"
"B01062","ALB195","1","1","3710"
"B01062","COP075","0,5","0,004429","3711"
"B01062","GMV013","1","0,0032","3712"
"B01062","HER003","1","0,01","3713"
"B01062","HER014","1","1","3714"
"B01062","HER023","1","1","3715"
"B01063","ALB081","2","0,034","3716"
"B01063","ALB112","2","0,02","3717"
"B01063","DEM003","4","1","3718"
"B01063","LIM018","2","0,03","3719"
"B01063","SUB020","0,5","0,009","3720"
"B01064","ALB058","1","0,015","3721"
"B01064","DEM008","1","0,05","3722"
"B01064","ELE003","1","1","3723"
"B01065","DEM004","2","0,01","3724"
"B01065","DEM008","2","0,05","3725"
"B01065","ESP012","1","1","3726"
"B01065","HER024","1","0,003","3727"
"B01065","HER061","1","1","3728"
"B01065","SUB003","3","0,009","3729"
"B01066","ALB089","1","0,03","3730"
"B01066","ALB195","1","1","3731"
"B01066","GMV013","1","0,0032","3732"
"B01066","HER003","1","0,01","3733"
"B01066","HER014","1","1","3734"
"B01066","HER023","1","1","3735"
"B01067","ESP012","1","1","3736"
"B01068","ALB097","1","0,003","3737"
"B01068","SUB008","1","1","3738"
"B01069","ALB097","1","0,003","3739"
"B01069","DEM005","1","0,022","3740"
"B01070","ALB048","1","0,03","3741"
"B01070","ALB066","1","0,02","3742"
"B01070","ALB084","2","1","3743"
"B01070","DEM008","2","0,05","3744"
"B01070","ELE014","1","0,015","3745"
"B01070","SUB003","2","0,009","3746"
"B01070","SUB020","1","0,009","3747"
"B01071","ALB048","1","0,03","3748"
"B01071","ALB066","1","0,02","3749"
"B01071","ALB084","2","1","3750"
"B01071","DEM008","2","0,05","3751"
"B01071","ELE014","1","0,015","3752"
"B01071","SUB003","2","0,009","3753"
"B01071","SUB020","1","0,009","3754"
"B01072","ALB066","1","0,02","3755"
"B01072","DEM008","1","0,05","3756"
"B01072","ELE014","1","0,015","3757"
"B01072","SUB003","1","0,009","3758"
"B01072","SUB020","1","0,009","3759"
"B01073","ALB066","1","0,02","3760"
"B01073","DEM008","1","0,05","3761"
"B01073","ELE014","1","0,015","3762"
"B01073","SUB003","1","0,009","3763"
"B01073","SUB020","1","0,009","3764"
"B01074","ALB048","1","0,03","3765"
"B01074","ALB066","1","0,02","3766"
"B01074","ALB084","2","1","3767"
"B01074","DEM008","2","0,05","3768"
"B01074","ELE014","1","0,015","3769"
"B01074","SUB003","2","0,009","3770"
"B01074","SUB020","1","0,009","3771"
"B01075","ALB097","1","0,003","3772"
"B01075","SUB008","1","1","3773"
"B01076","HER030","1","0,05","3774"
"B01077","ALB010","1","1","3775"
"B01077","HER042","1","1","3776"
"B01078","HER030","1","0,05","3777"
"B01079","HER030","1","0,05","3778"
"B01080","ESP012","1","1","3779"
"B01080","SUB020","1","0,009","3780"
"B01081","ESP012","1","1","3781"
"B01081","SUB020","1","0,009","3782"
"B01082","ELE003","1","1","3783"
"B01082","ESP012","1","1","3784"
"B01082","SUB003","2","0,009","3785"
"B01083","HER006","0,5","1","3786"
"B01083","SUB003","2","0,009","3787"
"B01083","SUB008","1","1","3788"
"B01084","ALB097","1","0,003","3789"
"B01084","SUB008","1","1","3790"
"B01085","COP074","0,2","0,004979","3791"
"B01085","ELE003","1","1","3792"
"B01085","SUB021","1","1","3793"
"B01086","ELE019","1","1","3794"
"B01086","HER119","2","0,006","3795"
"B01086","SUB051","0,5","0,002","3796"
"B01087","HER119","1","0,006","3797"
"B01088","ALB002","1","0,025","3798"
"B01088","ALB048","1","0,03","3799"
"B01088","ALB081","2","0,034","3800"
"B01088","DEM008","1","0,05","3801"
"B01088","PIN024","2","0,03","3802"
"B01089","ESP012","1","1","3803"
"B01090","ALB002","1","0,025","3804"
"B01090","ALB056","2","0,011","3805"
"B01090","ALB079","2","0,034","3806"
"B01090","SUB006","2","0,045","3807"
"B01091","ALB059","1","0,03","3808"
"B01091","ALB067","1","0,039","3809"
"B01091","LIM006","2","0,025","3810"
"B01091","PIN024","3","0,03","3811"
"B01092","ALB084","1","1","3812"
"B01092","DEM008","1","0,05","3813"
"B01092","DEM009","1","0,01","3814"
"B01092","PLO002","1","0,03","3815"
"B01093","ALB011","1","0,05","3816"
"B01093","ALB080","1","0,03","3817"
"B01094","ALB011","1","0,05","3818"
"B01095","ALB048","1","0,03","3819"
"B01095","ALB066","1","0,02","3820"
"B01095","DEM008","1","0,05","3821"
"B01096","ALB002","2","0,025","3822"
"B01096","ALB048","2","0,03","3823"
"B01096","ALB080","3","0,03","3824"
"B01096","ALB081","2","0,034","3825"
"B01096","DEM008","3","0,05","3826"
"B01096","DEM009","3","0,01","3827"
"B01096","SUB071","2","0,009","3828"
"B01097","ALB048","1","0,03","3829"
"B01097","ALB066","1","0,02","3830"
"B01097","ALB084","2","1","3831"
"B01097","DEM008","2","0,05","3832"
"B01097","SUB003","2","0,009","3833"
"B01097","SUB020","1","0,009","3834"
"B01098","PLO002","1","0,03","3835"
"B01099","ALB002","1","0,025","3836"
"B01099","ALB048","2","0,03","3837"
"B01099","ALB080","2","0,03","3838"
"B01099","ALB081","1","0,034","3839"
"B01099","LIM018","1","0,03","3840"
"B01100","ALB002","1","0,025","3841"
"B01100","ALB048","2","0,03","3842"
"B01100","ALB080","2","0,03","3843"
"B01100","ALB081","1","0,034","3844"
"B01100","LIM018","1","0,03","3845"
"B01101","ESP012","1","1","3846"
"B01101","MED002","1","1","3847"
"B01101","MED008","1","0,006","3848"
"B01102","DEM004","1","0,01","3849"
"B01102","DEM038","1","0,05","3850"
"B01102","ELE003","1","1","3851"
"B01102","ELE010","1","1","3852"
"B01102","SUB003","2","0,009","3853"
"B01102","SUB021","1","1","3854"
"B01103","ELE003","1","1","3855"
"B01103","HER132","1","1","3856"
"B01103","SUB021","1","1","3857"
"B01104","ALB013","2","1","3858"
"B01104","COPA01","1","0,004632","3859"
"B01104","DEM004","2","0,01","3860"
"B01105","ALB002","2","0,025","3861"
"B01105","ALB080","3","0,03","3862"
"B01105","ALB081","2","0,034","3863"
"B01105","DEM008","3","0,05","3864"
"B01105","DEM009","3","0,01","3865"
"B01105","SUB071","2","0,009","3866"
"B01106","ALB002","2","0,025","3867"
"B01106","ALB080","3","0,03","3868"
"B01106","ALB081","2","0,034","3869"
"B01106","DEM008","3","0,05","3870"
"B01106","DEM009","3","0,01","3871"
"B01106","DEM042","1","1","3872"
"B01106","SUB071","2","0,009","3873"
"B01107","ALB013","2","1","3874"
"B01107","ARB004","1","1","3875"
"B01107","ARB005","2","1","3876"
"B01107","ARB012","2","0,011","3877"
"B01107","ARB016","1","0,02","3878"
"B01107","COP048","1","0,004349","3879"
"B01108","ESP012","1","1","3880"
"B01109","ALB129","1","0,03","3881"
"B01109","COP074","0,5","0,004979","3882"
"B01109","ESP012","1","1","3883"
"B01109","LIM016","1","0,02","3884"
"B01109","PIN002","0,25","1","3885"
"B01109","SUB070","1","0,009","3886"
"B01110","ALB056","1","0,011","3887"
"B01110","ALB081","2","0,034","3888"
"B01110","COPA01","1","0,004632","3889"
"B01110","DEM001","1","0,006","3890"
"B01110","DEM004","1","0,01","3891"
"B01111","ALB013","1","1","3892"
"B01111","CON047","1","0,005","3893"
"B01111","COPA01","1","0,004632","3894"
"B01111","DEM001","1","0,006","3895"
"B01111","DEM008","2","0,05","3896"
"B01111","DEM009","2","0,01","3897"
"B01111","SUB006","2","0,045","3898"
"B01112","ALB048","1","0,03","3899"
"B01112","ALB066","1","0,02","3900"
"B01112","ALB084","2","1","3901"
"B01112","DEM008","2","0,05","3902"
"B01112","DEM020","1","0,03","3903"
"B01112","ELE014","1","0,015","3904"
"B01112","SUB003","2","0,009","3905"
"B01112","SUB020","1","0,009","3906"
"B02001","ALB013","2","1","3907"
"B02001","ALB016","1","0,01","3908"
"B02001","CPT016","1","0,006","3909"
"B02002","ALB010","1","1","3910"
"B02002","ALB080","2","0,03","3911"
"B02002","COP075","0,25","0,004429","3912"
"B02002","SUB023","2","1","3913"
"B02003","ALB010","1","1","3914"
"B02003","ALB081","2","0,034","3915"
"B02003","CAR003","1","1","3916"
"B02003","COP075","0,25","0,004429","3917"
"B02004","ALB120","1","0,002","3918"
"B02004","HER015","1","1","3919"
"B02004","HER064","1","0,003","3920"
"B02005","CON021","1","1","3921"
"B02005","COP075","0,25","0,004429","3922"
"B02005","ESP012","1","1","3923"
"B02006","CON021","1","1","3924"
"B02006","COP075","0,25","0,004429","3925"
"B02006","ESP012","1","1","3926"
"B02006","SUB017","1","1","3927"
"B02007","CON007","1","0,007","3928"
"B02007","CON021","1","1","3929"
"B02007","ESP012","1","1","3930"
"B02007","HER028","1","1","3931"
"B02007","SUB003","2","0,009","3932"
"B02008","ALB001","2","1","3933"
"B02008","ALB081","2","0,034","3934"
"B02008","CON012","1","0,03","3935"
"B02008","CON014","1","1","3936"
"B02008","HER027","1","0,007","3937"
"B02009","ALB001","1","1","3938"
"B02009","ALB081","2","0,034","3939"
"B02009","COM001","1","1","3940"
"B02009","CON014","1","1","3941"
"B02010","CON007","1","0,007","3942"
"B02010","CON021","1","1","3943"
"B02010","ESP012","1","1","3944"
"B02010","HER028","1","1","3945"
"B02010","SUB003","2","0,009","3946"
"B02011","ALB001","1","1","3947"
"B02011","ALB022","2","0,01","3948"
"B02011","ALB075","1","0,09","3949"
"B02011","ALB081","2","0,034","3950"
"B02011","ALB163","1","0,0158","3951"
"B02011","CON016","1","0,009","3952"
"B02012","CAR019","1","1","3953"
"B02013","CAR026","1","1","3954"
"B02013","VEH045","0,5","0,00537","3955"
"B02014","COP038","1","0,004842","3956"
"B02014","CPT028","1","1","3957"
"B02014","MOV003","1","1","3958"
"B02015","ALB013","4","1","3959"
"B02016","ALB004","1","0,006","3960"
"B02016","COP016","1","0,00252","3961"
"B02016","CPT007","1","1","3962"
"B02016","CPT013","1","1","3963"
"B02016","VEH005","1","1","3964"
"B02017","ALB013","4","1","3965"
"B02017","ALB052","1","0,064","3966"
"B03001","ALB173","1","1","3967"
"B03001","COP074","0,25","0,004979","3968"
"B03002","HER095","2","0,011","3969"
"B03002","HER096","2","0,031","3970"
"B03002","HER106","2","0,009","3971"
"B03002","SUB008","2","1","3972"
"B03003","ALB164","1","1","3973"
"B03003","CON045","1","1","3974"
"B03003","HER092","1","1","3975"
"B03003","HER099","2","0,01","3976"
"B03003","SOL002","1","1","3977"
"B03003","SUB003","4","0,009","3978"
"B03003","SUB020","1","0,009","3979"
"B03004","COP075","1","0,004429","3980"
"B03004","ESP012","1","1","3981"
"B03004","HER023","1","1","3982"
"B03004","HER035","1","1","3983"
"B03004","HER039","1","1","3984"
"B03004","SUB008","1","1","3985"
"B03005","COP075","1","0,004429","3986"
"B03005","ESP012","1","1","3987"
"B03005","HER023","1","1","3988"
"B03005","HER035","1","1","3989"
"B03005","HER039","1","1","3990"
"B03005","SUB008","1","1","3991"
"B03006","COP075","0,25","0,004429","3992"
"B03006","HER023","1","1","3993"
"B03006","HER034","1","1","3994"
"B03006","HER038","1","1","3995"
"B03006","SUB017","1","1","3996"
"B03006","SUB023","1","1","3997"
"B03007","ALB149","1","0,01","3998"
"B03007","HER001","1","0,02","3999"
"B03007","MED001","1","0,01","4000"
"B03008","COP075","0,25","0,004429","4001"
"B03008","HER023","1","1","4002"
"B03008","HER035","1","1","4003"
"B03008","HER038","1","1","4004"
"B03008","SUB003","2","0,009","4005"
"B03009","ALB010","1","1","4006"
"B03009","HER042","1","1","4007"
"B03010","HER022","1","1","4008"
"B03010","HER061","1","1","4009"
"B03010","HER080","1","0,023","4010"
"B03010","HER092","1","1","4011"
"B03011","HER022","1","1","4012"
"B03011","HER061","1","1","4013"
"B03011","HER080","1","0,023","4014"
"B03011","HER092","1","1","4015"
"B03012","ALB010","1","1","4016"
"B03013","ALB010","1","1","4017"
